date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,1710261000.0,1614762000.0,1625687000.0,1586008000.0,1460037000.0,1286340000.0,1327523000.0,1263460000.0,1127698000.0,1169267000.0,1158718000.0,846041000.0,819190000.0,710120000.0,574223000.0,494918000.0,466713000.0,480359000.0,452737000.0,496722000.0,603606000.0,575000000.0,469500000.0,313200000.0,117000000.0,63100000.0
,costOfRevenue,0.0,1042289000.0,1072907000.0,1039790000.0,947677000.0,836516000.0,892110000.0,855266000.0,737952000.0,763930000.0,751490000.0,540949000.0,524133000.0,451280000.0,365602000.0,0.0,0.0,309489000.0,0.0,0.0,0.0,-35300000.0,-21800000.0,182100000.0,60600000.0,38000000.0
,grossProfit,1710261000.0,572473000.0,552780000.0,546218000.0,512360000.0,449824000.0,435413000.0,408194000.0,389746000.0,405337000.0,407228000.0,305092000.0,295057000.0,258840000.0,208621000.0,494918000.0,466713000.0,170870000.0,452737000.0,496722000.0,603606000.0,610300000.0,491300000.0,131100000.0,56400000.0,25100000.0
,grossProfitRatio,1.0,0.354524691564453,0.340028554082059,0.344398010602721,0.350922613604998,0.349692927219864,0.327989044257614,0.323076314248176,0.345612034427657,0.346659060761999,0.3514470302524,0.360611365170246,0.360181398698715,0.364501774347998,0.363310072915923,1.0,1.0,0.355713122893503,1.0,1.0,1.0,1.06139130434783,1.04643237486688,0.418582375478927,0.482051282051282,0.397781299524564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,421910000.0,412407000.0,407285000.0,376863000.0,351408000.0,297257000.0,298040000.0,297519000.0,341354000.0,341586000.0,373772000.0,233061000.0,229027000.0,206009000.0,176701000.0,470074000.0,465832000.0,161743000.0,442688000.0,481987000.0,585446000.0,529500000.0,413000000.0,87700000.0,36000000.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,1628477000.0,480962000.0,480177000.0,453917000.0,419798000.0,355179000.0,357799000.0,354466000.0,341354000.0,341105000.0,371363000.0,233061000.0,229349000.0,207660000.0,163463000.0,468901000.0,454229000.0,160148000.0,444163000.0,481987000.0,585446000.0,564800000.0,434800000.0,101000000.0,41100000.0,21800000.0
,costAndExpenses,1628477000.0,1523251000.0,1553084000.0,1493707000.0,1367475000.0,1191695000.0,1249909000.0,1209732000.0,1079306000.0,1105035000.0,1122853000.0,774010000.0,753482000.0,658940000.0,529065000.0,468901000.0,454229000.0,469637000.0,444163000.0,481987000.0,585446000.0,529500000.0,413000000.0,283100000.0,101700000.0,59800000.0
,interestExpense,1923000.0,4309000.0,4743000.0,7689000.0,5570000.0,2465000.0,2011000.0,2307000.0,1547000.0,1132000.0,5627000.0,993000.0,433000.0,803000.0,674000.0,667000.0,0.0,0.0,0.0,408000.0,2942000.0,0.0,1000000.0,0.0,400000.0,700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,51629000.0,68555000.0,72892000.0,77054000.0,68390000.0,57922000.0,59759000.0,56947000.0,50848000.0,53467000.0,57932000.0,28323000.0,27965000.0,24986000.0,24747000.0,25943000.0,30237000.0,30125000.0,34338000.0,34937000.0,36829000.0,35300000.0,21800000.0,13300000.0,5100000.0,2800000.0
,EBITDA,133413000.0,158787000.0,134552000.0,166050000.0,162844000.0,150370000.0,138929000.0,110579000.0,86025000.0,114282000.0,55483000.0,98645000.0,110380000.0,79840000.0,76880000.0,55713000.0,46098000.0,44081000.0,9892000.0,35531000.0,106600000.0,71200000.0,52600000.0,29900000.0,21400000.0,6100000.0
