Date,2018-09-30,2017-09-30
Revenue,129917810.219,78654378.5736
Revenue Growth,0.6518,
Cost of Revenue,131088905.1095,82398134.2161
Gross Profit,-1171094.8905,-3743755.6425
R&D Expenses,7583503.6496,6644598.2546
SG&A Expense,29602773.7226,11489768.2817
Operating Expenses,61082189.781,24776557.3277
Operating Income,-62253284.6715,-28520312.9702
Interest Expense,11265255.4745,7543785.7358
Earnings before Tax,-72622773.7226,-36846072.8258
Income Tax Expense,349343.0657,89678.0018
Net Income - Non-Controlling int,-9197.0803,5266.3256
Net Income - Discontinued ops,0.0,0.0
Net Income,-72972116.7883,-36935750.8276
Preferred Dividends,19787591.2409,8841859.7653
Net Income Com,-92759708.0292,-45777610.5928
EPS,-6.7883,-3.882
EPS Diluted,-6.7883,-3.882
Weighted Average Shs Out,,
Weighted Average Shs Out (Dil),59766994.8905,53394741.0472
Dividend per Share,0.0,0.0
Gross Margin,-0.009,-0.0476
EBITDA Margin,-0.0439,-0.0268
EBIT Margin,-0.4723,-0.3725
Profit Margin,-0.1042,-0.0876
Free Cash Flow margin,-0.8892,-0.6296
EBITDA,-39122335.7664,-13986909.4192
EBIT,-61357518.2482,-29302287.09
Consolidated Income,-72981313.8686,-36930484.502
Earnings Before Tax Margin,-0.559,-0.4685
Net Profit Margin,-0.5617,-0.4696
