date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1045363000.0,2049682000.0,1541788000.0,1470830000.0,1039235000.0,709789000.0,1584589000.0,1171202000.0,218598000.0,-168303000.0,-370028000.0,-715291000.0,-1163032000.0,1623237000.0,2266206000.0,1330663000.0
,depreciationAndAmortization,71053000.0,70999000.0,59021000.0,46776000.0,82943000.0,101437000.0,101915000.0,95671000.0,139174000.0,207591000.0,162051000.0,158048000.0,153237000.0,117607000.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396062000.0,2440148000.0,3048108000.0,3302617000.0,0.0,0.0,0.0
,changeInWorkingCapital,-1641707000.0,-1597998000.0,336846000.0,-1620350000.0,-776913000.0,5852139000.0,-2570445000.0,-1904428000.0,-23536677000.0,2919800000.0,8848441000.0,-891352000.0,11328739000.0,-7735285000.0,0.0,-8278000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116714000.0,-108162000.0,35050000.0,45281000.0,-1339956000.0,-1374260000.0,62873000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151374000.0,219580000.0,-67012000.0
,otherWorkingCapital,0.0,-11347483000.0,-9749485000.0,-10086331000.0,-8465981000.0,-7689068000.0,-13541207000.0,-10970762000.0,-9066334000.0,14470343000.0,11550543000.0,2702102000.0,3593454000.0,-7735285000.0,0.0,0.0
,otherNonCashItems,1597175000.0,76974000.0,904531000.0,2299051000.0,902825000.0,2730805000.0,824337000.0,1330817000.0,1116520000.0,1162304000.0,2438545000.0,2804199000.0,684640000.0,3110642000.0,-15969122000.0,-1221539000.0
,netCashProvidedByOperatingActivites,1935945000.0,1963107000.0,45742000.0,-2448740000.0,-541286000.0,2397043000.0,1654989000.0,3547941000.0,583155000.0,1099613000.0,-371885000.0,411509000.0,1890435000.0,-850296000.0,-4396614000.0,2709258000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-111650000.0,-60280000.0,-18377000.0,-24347000.0,-21826000.0,-59247000.0,-30271000.0,-25637000.0,-37020000.0,-36484000.0,-54160000.0,-23627000.0,-50113000.0,-32307000.0,-24190000.0,-7353000.0
,acquisitionsNet,0.0,0.0,-98000000.0,-169000000.0,0.0,0.0,0.0,-146000000.0,-188000000.0,-24000000.0,-22000000.0,0.0,-337000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,5052000.0,-7150000.0,5843000.0,5846000.0,5850000.0,2345000.0,330000.0,-143000.0,4801000.0,5004000.0,-23292000.0,0.0,0.0
,netCashUsedForInvestingActivites,-166820000.0,-60280000.0,-116596000.0,-188208000.0,-28976000.0,-53404000.0,-24425000.0,-165904000.0,-222981000.0,-59898000.0,-76189000.0,-18826000.0,-381680000.0,-55599000.0,-24190000.0,-7353000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1889000.0,-403401000.0,-1009354000.0,-1766129000.0,-420714000.0,-517629000.0,-1817284000.0,-2107451000.0,-932148000.0,-1064605000.0,-246292000.0,-323993000.0,-980162000.0,-5497113000.0,-7499857000.0,-2936728000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7501240000.0,0.0,0.0
,commonStockRepurchased,-504912000.0,-585340000.0,-567161000.0,-30192000.0,-27623000.0,-61031000.0,-36252000.0,-24140000.0,-22364000.0,-36711000.0,-25154000.0,-56685000.0,-31863000.0,-16045000.0,0.0,0.0
,dividendsPaid,-2385576000.0,-2396744000.0,-3046404000.0,-2842582000.0,-2018669000.0,-3497346000.0,-2348596000.0,-1469479000.0,-614530000.0,-702832000.0,-599390000.0,-260629000.0,-319897000.0,-78794000.0,-1551957000.0,0.0
,otherFinancingActivites,-240295000.0,-85626000.0,74334000.0,-189911000.0,-283905000.0,-267010000.0,516685000.0,276172000.0,512069000.0,575199000.0,147561000.0,102994000.0,-1713961000.0,-5519633000.0,5880343000.0,-2424853000.0
,netCashUsedProvidedByFinancingActivities,-2244036000.0,-1921379000.0,-1330186000.0,2771339000.0,570170000.0,-1919402000.0,-1049907000.0,-3259614000.0,-405411000.0,-873515000.0,84624000.0,55676000.0,-1873647000.0,1644442000.0,4463315000.0,-2738350000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,15716000.0,-2958000.0,9712000.0,20853000.0,21000.0,615000.0,-183000.0,73000.0,-5000.0,-77000.0,-25000.0,0.0,0.0,639000.0,518000.0,-2832000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
