Date,2018-12-31,2017-12-31
Cash and cash equivalents,25000000.0,24502000.0
Short-term investments,0.0,3043000.0
Cash and short-term investments,25000000.0,27545000.0
Receivables,158000000.0,74204000.0
Inventories,58000000.0,32313000.0
Total current assets,300000000.0,161855000.0
Property, Plant & Equipment Net,329000000.0,264269000.0
Goodwill and Intangible Assets,570540000.0,182063000.0
Long-term investments,0.0,0.0
Tax assets,0.0,
Total non-current assets,457717000.0,
Total assets,1343000000.0,619572000.0
Payables,66000000.0,25132000.0
Short-term debt,45093000.0,8773000.0
Total current liabilities,223000000.0,62457000.0
Long-term debt,225000000.0,147024000.0
Total debt,155797000.0,
Deferred revenue,0.0,
Tax Liabilities,4573000.0,
Deposit Liabilities,0.0,
Total non-current liabilities,167686000.0,
Total liabilities,512000000.0,230143000.0
Other comprehensive income,-436000.0,
Retained earnings (deficit),28000000.0,18480000.0
Total shareholders equity,831000000.0,391389000.0
Investments,0.0,3043000.0
Net Debt,245093000.0,131295000.0
Other Assets,59000000.0,-133193484.0
Other Liabilities,111907000.0,28552000.0
