Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,141733.0,80310.0,56512.0,11778.0
Stock-based compensation,7063941.0,6397756.0,3641466.0,1457313.0
Operating Cash Flow,-45558480.0,-31469909.0,-17801971.0,-5485480.0
Capital Expenditure,-33871.0,-38907.0,-30364.0,-32082.0
Acquisitions and disposals,0.0,0.0,0.0,0.0
Investment purchases and sales,-5011623.0,0.0,0.0,0.0
Investing Cash flow,-5363642.0,-47387.0,-188987.0,-56332.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,286140.0,69777043.0,0.0,0.0
Dividend payments,0.0,0.0,0.0,0.0
Financing Cash Flow,286140.0,66703235.0,-13673.0,70639162.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-50635982.0,35185939.0,-18004631.0,65097350.0
Free Cash Flow,-45592351.0,-31508816.0,-17832335.0,-5517562.0
Net Cash/Marketcap,0.6956,0.361,0.4112,0.4112
