date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,revenue,4828000000.0,6220000000.0,10734000000.0,13949000000.0,10304000000.0,13145000000.0,19566000000.0,10397000000.0,9502000000.0,10573000000.0,9129000000.0,8015000000.0,15211000000.0,11362000000.0,10578000000.0,10741000000.0,9189000000.0,7352000000.0,4316000000.0,3075000000.0,2784103000.0,715500000.0
,costOfRevenue,4436000000.0,5506000000.0,3883000000.0,11627000000.0,7559000000.0,9937000000.0,10669000000.0,4794000000.0,4057000000.0,3567000000.0,3046000000.0,2692000000.0,3841000000.0,3055000000.0,2732000000.0,1345000000.0,1280000000.0,1078000000.0,775000000.0,614000000.0,494089000.0,168100000.0
,grossProfit,392000000.0,714000000.0,6851000000.0,2322000000.0,2745000000.0,3208000000.0,8897000000.0,5603000000.0,5445000000.0,7006000000.0,6083000000.0,5323000000.0,11370000000.0,8307000000.0,7846000000.0,9396000000.0,7909000000.0,6274000000.0,3541000000.0,2461000000.0,2290014000.0,547400000.0
,grossProfitRatio,0.0811930405965203,0.114790996784566,0.638252282466928,0.166463545773891,0.266401397515528,0.244047166222898,0.454717366860881,0.538905453496201,0.573037255314671,0.662631230492765,0.666338043597327,0.664129756706176,0.747485372427848,0.731121281464531,0.741728114955568,0.874778884647612,0.860703014473827,0.853373231773667,0.820435588507878,0.800325203252032,0.822532068677057,0.765059399021663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,338000000.0,-2337000000.0,650000000.0,-6858000000.0,-4847000000.0,-5565000000.0,-5968000000.0,-936000000.0,-554000000.0,585000000.0,563000000.0,648000000.0,653000000.0,513000000.0,397000000.0,1633000000.0,1616000000.0,1481000000.0,1027000000.0,111000000.0,93008000.0,53800000.0
,SellingAndMarketingExpenses,0.0,2812000000.0,4363000000.0,7730000000.0,5492000000.0,6420000000.0,6815000000.0,1553000000.0,1246000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,34000000.0,-4000000.0,58000000.0,54000000.0,-78000000.0,-24000000.0,-113000000.0,-1000000.0,14000000.0,-92000000.0,-92000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
