date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY
,revenue,2002669000.0,1903711000.0,1870262000.0,1807476000.0,1690949000.0,1657197000.0,1591315000.0,1056200000.0,1084546000.0,1133380000.0,1063289000.0,801494000.0,565186000.0,555430000.0,506252000.0,316674000.0,323186000.0,341341000.0,310754000.0,593044000.0,623465000.0,500300000.0,362000000.0,301900000.0,348200000.0,338000000.0,347500000.0,673500000.0,720100000.0,1170400000.0,1098700000.0,572900000.0,501000000.0,531900000.0
,costOfRevenue,1367145000.0,1301579000.0,1292484000.0,1228046000.0,1097344000.0,1109727000.0,1097060000.0,747186000.0,823452000.0,892883000.0,845106000.0,577386000.0,335299000.0,337079000.0,315163000.0,123640000.0,149989000.0,144275000.0,151958000.0,99613000.0,127900000.0,115500000.0,109800000.0,106300000.0,122300000.0,83700000.0,91100000.0,318700000.0,361600000.0,687700000.0,588600000.0,299700000.0,245500000.0,287300000.0
,grossProfit,635524000.0,602132000.0,577778000.0,579430000.0,593605000.0,547470000.0,494255000.0,309014000.0,261094000.0,240497000.0,218183000.0,224108000.0,229887000.0,218351000.0,191089000.0,193034000.0,173197000.0,197066000.0,158796000.0,493431000.0,495565000.0,384800000.0,252200000.0,195600000.0,225900000.0,254300000.0,256400000.0,354800000.0,358500000.0,482700000.0,510100000.0,273200000.0,255500000.0,244600000.0
,grossProfitRatio,0.317338511756062,0.316293807200778,0.308928909425524,0.320574104441774,0.3510484349321,0.330359033959149,0.310595325249872,0.292571482673736,0.240740365092859,0.212194497873617,0.205196329502139,0.279612823052949,0.406745743879006,0.39312064526583,0.377458261893286,0.609566936344632,0.53590502063827,0.577328829528243,0.511002271893524,0.832031012875942,0.794856166745527,0.769138516889866,0.696685082872928,0.647896654521365,0.648765077541643,0.752366863905325,0.737841726618705,0.526800296956199,0.497847521177614,0.412423103212577,0.464275962501138,0.476872054459766,0.50998003992016,0.459860876104531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,329524000.0,370007000.0,355513000.0,339151000.0,340567000.0,320221000.0,278392000.0,108872000.0,106161000.0,97176000.0,90709000.0,85041000.0,94583000.0,92967000.0,90833000.0,116798000.0,144051000.0,171509000.0,178310000.0,452183000.0,437453000.0,306200000.0,186900000.0,162900000.0,221000000.0,237200000.0,235400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-520000.0,1275000.0,-1016000.0,-6000.0,-273000.0,100000.0,1258000.0,3000.0,1179000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,329524000.0,370007000.0,355513000.0,339151000.0,340567000.0,320221000.0,278392000.0,108872000.0,106161000.0,97176000.0,90709000.0,80041000.0,94583000.0,92967000.0,88623000.0,104050000.0,144051000.0,171509000.0,177503000.0,462088000.0,450100000.0,313900000.0,195500000.0,171000000.0,229800000.0,246300000.0,242200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,1696669000.0,1671586000.0,1647997000.0,1567197000.0,1437911000.0,1429948000.0,1375452000.0,856058000.0,929613000.0,990059000.0,935815000.0,657427000.0,429882000.0,430046000.0,403786000.0,227690000.0,294040000.0,315784000.0,329461000.0,561701000.0,578000000.0,429400000.0,305300000.0,277300000.0,352100000.0,330000000.0,333300000.0,650500000.0,726000000.0,1243300000.0,1095200000.0,520200000.0,452400000.0,474400000.0
,interestExpense,121541000.0,138448000.0,203780000.0,173685000.0,142982000.0,120691000.0,166196000.0,144561000.0,125062000.0,100706000.0,84096000.0,68490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,17629000.0,17851000.0,18807000.0,18614000.0,22359000.0,25654000.0,24499000.0,12631000.0,10608000.0,10607000.0,14240000.0,10398000.0,10057000.0,10202000.0,9888000.0,11220000.0,11823000.0,16011000.0,13863000.0,9973000.0,12647000.0,7700000.0,8600000.0,8100000.0,8800000.0,9100000.0,6800000.0,19000000.0,10200000.0,40700000.0,34300000.0,5500000.0,4700000.0,4600000.0
,EBITDA,323629000.0,249976000.0,241072000.0,258893000.0,275397000.0,252903000.0,240362000.0,212773000.0,165541000.0,153928000.0,141714000.0,154465000.0,145361000.0,135586000.0,112354000.0,100204000.0,40969000.0,41568000.0,-4844000.0,41316000.0,58112000.0,78600000.0,65300000.0,32700000.0,4900000.0,17100000.0,21000000.0,42000000.0,4300000.0,-32200000.0,37800000.0,58200000.0,53300000.0,62100000.0
,EBITDARatio,0.16159884633956,0.131309846925295,0.128897448592764,0.14323454363986,0.162865349575889,0.152608893209437,0.151046147368686,0.201451429653475,0.152636218288574,0.135813231219891,0.133278911001619,0.192721342892149,0.257191437862934,0.244109968852961,0.221932950388344,0.316426356442272,0.126766010903938,0.121778514740392,-0.0155878926739479,0.0696676806442692,0.0932081191406093,0.157105736558065,0.180386740331492,0.108314011262007,0.0140723721998851,0.0505917159763314,0.060431654676259,0.0623608017817372,0.00597139286210249,-0.027511961722488,0.0344042959861655,0.10158840984465,0.106387225548902,0.116751269035533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,306000000.0,232125000.0,222265000.0,240279000.0,253038000.0,227249000.0,215863000.0,200142000.0,154933000.0,143321000.0,127474000.0,144067000.0,135304000.0,125384000.0,102466000.0,88984000.0,29146000.0,25557000.0,-18707000.0,31343000.0,45465000.0,70900000.0,56700000.0,24600000.0,-3900000.0,8000000.0,14200000.0,23000000.0,-5900000.0,-72900000.0,3500000.0,52700000.0,48600000.0,57500000.0
,operatingIncomeRatio,0.152796093613073,0.121932898428385,0.118841638230366,0.132936204962058,0.149642597145153,0.137128536921078,0.135650703977528,0.189492520355993,0.142855167046856,0.126454498932397,0.119886503104988,0.179748070478382,0.239397295757503,0.22574221774121,0.202401175699059,0.280995597996678,0.0901833619030527,0.0748723417345118,-0.0601987424136133,0.0528510532102171,0.0729230991314669,0.14171497101739,0.156629834254144,0.0814839350778403,-0.011200459506031,0.0236686390532544,0.040863309352518,0.0341499628804751,-0.00819330648521039,-0.0622863978127136,0.00318558296168199,0.0919881305637982,0.0970059880239521,0.108103026884753
,totalOtherIncomeExpensesNet,-55818000.0,27561000.0,49725000.0,15183000.0,10355000.0,-5891000.0,26433000.0,1713000.0,23846000.0,80542000.0,42192000.0,-47532000.0,15739000.0,37084000.0,-3000000.0,30653000.0,-526000.0,-17947000.0,-10393000.0,-2850000.0,250191000.0,293700000.0,-12300000.0,-13400000.0,1000000.0,4400000.0,-700000.0,34800000.0,41700000.0,2700000.0,456500000.0,-1400000.0,4600000.0,100000.0
,incomeBeforeTax,134715000.0,133828000.0,79559000.0,89168000.0,126429000.0,107705000.0,82487000.0,63487000.0,53717000.0,123157000.0,85570000.0,28537000.0,94572000.0,126603000.0,68480000.0,80519000.0,6106000.0,-17428000.0,-47661000.0,36217000.0,252437000.0,318600000.0,-35400000.0,-50700000.0,-63500000.0,-45000000.0,-42500000.0,-1900000.0,-24200000.0,-130800000.0,397600000.0,45400000.0,46800000.0,49100000.0
,incomeBeforeTaxRatio,0.0672677312126967,0.0702984854318749,0.0425389597821054,0.0493328818750567,0.0747680740223389,0.0649922730972841,0.0518357459082583,0.0601088808937701,0.0495294805384004,0.108663466798426,0.0804767095305227,0.0356047581142217,0.167328985502118,0.227936913742506,0.135268601407994,0.254264638082065,0.0188931451238606,-0.0510574469518751,-0.153372120712847,0.0610696676806443,0.404893618727595,0.636817909254447,-0.0977900552486188,-0.167936402782378,-0.182366456059736,-0.133136094674556,-0.122302158273381,-0.00282108389012621,-0.033606443549507,-0.111756664388243,0.361882224447074,0.0792459417001222,0.0934131736526946,0.0923105846963715
,incomeTaxExpense,41777000.0,32813000.0,21552000.0,-1582000.0,49163000.0,41233000.0,33251000.0,24795000.0,23095000.0,48137000.0,31486000.0,3731000.0,34068000.0,52800000.0,25768000.0,40352000.0,-6960000.0,574000.0,-6353000.0,15017000.0,82867000.0,82500000.0,-59600000.0,1100000.0,1400000.0,300000.0,-24500000.0,5300000.0,8100000.0,18800000.0,21700000.0,19900000.0,16600000.0,18400000.0
