date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-111500000.0,-560000000.0,288100000.0,140900000.0
,depreciationAndAmortization,536900000.0,482400000.0,88700000.0,79700000.0
,deferredIncomeTax,-231200000.0,-147600000.0,21400000.0,81700000.0
,stockBasedCompensation,45100000.0,68000000.0,10800000.0,20500000.0
,changeInWorkingCapital,720600000.0,-81800000.0,-571600000.0,-97000000.0
,accountsReceivables,-42300000.0,-15200000.0,9500000.0,-34200000.0
,inventory,0.0,0.0,0.0,0.0
,accountsPayables,5000000.0,-19600000.0,-12600000.0,-11700000.0
,otherWorkingCapital,48700000.0,-671900000.0,-590100000.0,-18500000.0
,otherNonCashItems,66400000.0,-78800000.0,-9100000.0,7300000.0
,netCashProvidedByOperatingActivites,195600000.0,-63000000.0,325400000.0,286500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0
,acquisitionsNet,-21000000.0,-6078000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,7700000.0,-8200000.0,-7300000.0,6800000.0
,netCashUsedForInvestingActivites,-134300000.0,-6154600000.0,-65300000.0,-206600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1069200000.0,-853400000.0,-1638200000.0,-1270300000.0
,commonStockIssued,2248200000.0,2148400000.0,0.0,0.0
,commonStockRepurchased,-1067900000.0,0.0,0.0,0.0
,dividendsPaid,-64100000.0,-96100000.0,-58100000.0,-74200000.0
,otherFinancingActivites,-264900000.0,-126200000.0,-7100000.0,-3200000.0
,netCashUsedProvidedByFinancingActivities,189300000.0,6321800000.0,-609700000.0,-18800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,5300000.0,-5600000.0,-2600000.0,28700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,255900000.0,0.0,-352200000.0,89800000.0
,cashAtEndOfPeriod,354500000.0,98600000.0,90200000.0,442400000.0
,cashAtBeginningOfPeriod,98600000.0,0.0,442400000.0,352600000.0
,operatingCashFlow,195600000.0,-63000000.0,325400000.0,286500000.0
,capitalExpenditure,-121400000.0,-68900000.0,-58200000.0,-62100000.0
,freeCashFlow,74200000.0,-131900000.0,267200000.0,224400000.0
