date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-03-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY
,revenue,226886000.0,200494000.0,194404000.0,184340000.0,175961000.0,162615000.0,151481000.0,145290000.0,0.0,147121000.0,138123000.0,126418000.0,111247000.0,106033000.0,105453000.0,103657000.0,91602000.0,81346000.0,75534000.0,67540000.0,60852000.0,57580000.0,51000000.0,42600000.0,38500000.0,34400000.0,32500000.0,30000000.0,27100000.0,24900000.0,23700000.0,22200000.0,22400000.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,84717000.0,73379000.0,70889000.0,70134000.0,69099000.0,64870000.0,60292000.0,61813000.0,0.0,61516000.0,65228000.0,63531000.0,58143000.0,53719000.0,39986000.0,38698000.0,32133000.0,28816000.0,26945000.0,23793000.0,20845000.0,19750000.0,17200000.0,14100000.0,12600000.0,11200000.0,10200000.0,9900000.0,8700000.0,7600000.0,6900000.0,6400000.0,6400000.0,0.0
,SellingAndMarketingExpenses,1469000.0,1534000.0,1406000.0,1481000.0,1458000.0,1526000.0,1546000.0,1464000.0,0.0,1730000.0,1819000.0,1633000.0,1687000.0,0.0,2024000.0,1894000.0,1977000.0,1748000.0,1440000.0,1180000.0,1237000.0,1196000.0,1000000.0,700000.0,700000.0,600000.0,500000.0,500000.0,500000.0,400000.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191000.0,417000.0,3137000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
