Date,2019-03-31,2018-03-31,2018-03,2017-03,2016-03,2015-03,2014-03
Depreciation & Amortization,3659.0,1525.0,0000000.0,000000.0,000000.0,000000.0,000000.0
Stock-based compensation,0.0,0.0,,,,,
Operating Cash Flow,-2041313.0,-1332905.0,-1000000.0,-0000000.0,000000.0,000000.0,000000.0
Capital Expenditure,0.0,18918.0,-0000000.0,000000.0,000000.0,000000.0,000000.0
Acquisitions and disposals,-0.0,-0.0,,,,,
Investment purchases and sales,0.0,-310500000.0,-310000000,0,0,0,0
Investing Cash flow,26930417.0,-310518918.0,-311000000.0,000000.0,000000.0,000000.0,000000.0
Issuance (repayment) of debt,-0.0,-543339.0,-1000000.0,000000.0,000000.0,000000.0,000000.0
Issuance (buybacks) of shares,-135265.0,-457687.0,,,,,
Dividend payments,-0.0,-0.0,,,,,
Financing Cash Flow,-25236515.0,312325937.0,312000000.0,0000000.0,000000.0,000000.0,000000.0
Effect of forex changes on cash,0.0,0.0,,,,,
Net cash flow / Change in cash,-347411.0,474114.0,0000000.0,0000000.0,000000.0,000000.0,000000.0
Free Cash Flow,-2041313.0,-1351823.0,-1000000.0,-0000000.0,000000.0,000000.0,000000.0
Net Cash/Marketcap,0.0,0.0,,,,,
