Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-215186.0,0.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,
Investment purchases and sales,0.0,
Investing Cash flow,-206999985.0,0.0
Issuance (repayment) of debt,-300000.0,18000.0
Issuance (buybacks) of shares,-252927.0,0.0
Dividend payments,-0.0,0.0
Financing Cash Flow,207466598.0,18000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,251427.0,
Free Cash Flow,-215186.0,
Net Cash/Marketcap,0.0,
