date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,23811000.0,-40712000.0,51869000.0,72346000.0,77426000.0
,depreciationAndAmortization,4619000.0,4649000.0,4434000.0,3811000.0,3206000.0
,deferredIncomeTax,7645000.0,-6640000.0,-2139000.0,-64000.0,1237000.0
,stockBasedCompensation,2938000.0,2131000.0,1645000.0,4651000.0,2344000.0
,changeInWorkingCapital,133206000.0,87349000.0,-169321000.0,-152873000.0,172335000.0
,accountsReceivables,8463000.0,-1038000.0,-10200000.0,-39587000.0,9217000.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,99357000.0,64336000.0,-83774000.0,-102548000.0,104264000.0
,otherNonCashItems,2461000.0,6788000.0,1190000.0,-664000.0,2496000.0
,netCashProvidedByOperatingActivites,174680000.0,53565000.0,-112322000.0,-72793000.0,259044000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1697000.0,-7058000.0,-8599000.0,-4826000.0,-2811000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-100000000.0,-195000000.0,-191000000.0,-542500000.0,-595000000.0
,salesMaturitiesOfInvestments,170000000.0,166000000.0,370000000.0,587500000.0,354000000.0
,otherInvestingActivites,0.0,0.0,225000.0,-1500000.0,0.0
,netCashUsedForInvestingActivites,68303000.0,-36058000.0,170626000.0,38674000.0,-243811000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-47047000.0,-15621000.0,-15570000.0,-15548000.0,-15260000.0
,otherFinancingActivites,1641000.0,1630000.0,30000.0,1926000.0,6401000.0
,netCashUsedProvidedByFinancingActivities,-45406000.0,-13991000.0,-15540000.0,-13622000.0,-8859000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,1731000.0,-471000.0,-553000.0,2650000.0,-85000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,199308000.0,3045000.0,42211000.0,-45091000.0,6289000.0
,cashAtEndOfPeriod,366671000.0,167363000.0,164318000.0,122107000.0,167198000.0
,cashAtBeginningOfPeriod,167363000.0,164318000.0,122107000.0,167198000.0,160909000.0
,operatingCashFlow,174680000.0,53565000.0,-112322000.0,-72793000.0,259044000.0
,capitalExpenditure,-1697000.0,-7058000.0,-8599000.0,-4826000.0,-2811000.0
,freeCashFlow,172983000.0,46507000.0,-120921000.0,-77619000.0,256233000.0
