date,,2021-06-30_FY,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY
,revenue,1375790000.0,1482599000.0,1499025000.0,1169348000.0,853295000.0
,costOfRevenue,728586000.0,983175000.0,1026903000.0,804674000.0,645757000.0
,grossProfit,647204000.0,499424000.0,472122000.0,364674000.0,207538000.0
,grossProfitRatio,0.470423538476076,0.33685710026784,0.314952719267524,0.311860968676562,0.243219519626858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,51321000.0,77536000.0,72661000.0,63374000.0,31110000.0
,SellingAndMarketingExpenses,29737000.0,26899000.0,25003000.0,24539000.0,21902000.0
,otherExpenses,-46630000.0,-72776000.0,-25437000.0,-5832000.0,-6325000.0
,operatingExpenses,34428000.0,31659000.0,72227000.0,82081000.0,46687000.0
,costAndExpenses,763014000.0,1014834000.0,1099130000.0,886755000.0,692444000.0
,interestExpense,1151000.0,4363000.0,465000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,165833000.0,133520000.0,113574000.0,111147000.0
,EBITDA,401598000.0,662952000.0,536119000.0,402450000.0,271716000.0
,EBITDARatio,0.291903560863213,0.447155299578645,0.35764513600507,0.344166150709626,0.318431492039681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,612776000.0,467765000.0,399895000.0,282593000.0,160851000.0
,operatingIncomeRatio,0.470613247661344,0.329503797048292,0.283179399943296,0.254150175995512,0.196582658986634
,totalOtherIncomeExpensesNet,-34689000.0,-20757000.0,-24598000.0,-14597000.0,-6892000.0
,incomeBeforeTax,647465000.0,488522000.0,424493000.0,297190000.0,167743000.0
,incomeBeforeTaxRatio,0.470613247661344,0.329503797048292,0.283179399943296,0.254150175995512,0.196582658986634
,incomeTaxExpense,165355000.0,121924000.0,108713000.0,66288000.0,0.0
,netIncome,235092000.0,370832000.0,293421000.0,222588000.0,167743000.0
,netIncomeRatio,0.170877822923557,0.250122926023827,0.19574123180067,0.190352230473734,0.196582658986634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.0,14.4,11.36,8.64,6.56
,EPSDiluted,9.11999985103364,14.4,11.36,8.64,6.56
,weightedAverageShsOut,0.0,25778141.0,25778141.0,25742405.0,25700500.0
,weightedAverageShsOutDil,25777632.0,25778141.0,25778141.0,25782298.0,25700500.0
