date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2011-10-12_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,21298000.0,-21541000.0,-177604000.0,7914000.0,21554000.0,64575000.0,69246000.0,67158000.0,59379000.0,42694000.0,42694000.0,54434000.0,123442000.0,57888000.0,63472000.0,-12236000.0,38609000.0,56102000.0,12661000.0,37595000.0,6958000.0,44000000.0,41425000.0,36100000.0,45300000.0,60400000.0,65800000.0,-118300000.0,16200000.0,56500000.0,76000000.0,88300000.0,92900000.0
,depreciationAndAmortization,56600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69313000.0,0.0,0.0,60611000.0,56001000.0,50021000.0,50647000.0,51598000.0,56029000.0,45190000.0,44988000.0,46106000.0,47766000.0,47700000.0,35800000.0,33600000.0,32600000.0,42900000.0,38100000.0,31900000.0,30700000.0,30000000.0,27200000.0
,deferredIncomeTax,0.0,-22971000.0,-7704000.0,19026000.0,-22055000.0,-1902000.0,-9419000.0,-11485000.0,-2209000.0,333000.0,333000.0,-16815000.0,-22981000.0,3265000.0,8004000.0,-12726000.0,3020000.0,17364000.0,7779000.0,17891000.0,9276000.0,8273000.0,10371000.0,0.0,2900000.0,18500000.0,20400000.0,-70200000.0,100000.0,9700000.0,0.0,9900000.0,13900000.0
,stockBasedCompensation,0.0,3583000.0,6288000.0,6214000.0,5889000.0,7244000.0,7859000.0,7337000.0,6520000.0,5762000.0,5762000.0,5767000.0,4599000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-27247000.0,10345000.0,-1311000.0,66547000.0,-76799000.0,-46844000.0,-3324000.0,30265000.0,56777000.0,0.0,-78371000.0,-44402000.0,132229000.0,25861000.0,-5892000.0,98069000.0,-10766000.0,35213000.0,-19200000.0,47319000.0,-136327000.0,31944000.0,20496000.0,27400000.0,-14300000.0,25500000.0,45200000.0,-68200000.0,66000000.0,-46200000.0,18600000.0,34700000.0,-47900000.0
,accountsReceivables,0.0,-5473000.0,-621000.0,-10189000.0,8372000.0,-13312000.0,-5404000.0,-777000.0,-3379000.0,3771000.0,3771000.0,-598000.0,16542000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,-17387000.0,-32138000.0,9198000.0,-10778000.0,-8054000.0,-21456000.0,2704000.0,-12615000.0,-7280000.0,-7280000.0,-7592000.0,28207000.0,-9975000.0,8493000.0,-8869000.0,-6195000.0,-4276000.0,3060000.0,-2612000.0,3801000.0,11351000.0,-1965000.0,16400000.0,0.0,-14200000.0,-5200000.0,11500000.0,-10500000.0,800000.0,-3200000.0,-8200000.0,1000000.0
,accountsPayables,0.0,10337000.0,13774000.0,13065000.0,-8174000.0,26042000.0,-4175000.0,24822000.0,6953000.0,13606000.0,13606000.0,21064000.0,2390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,219582000.0,246829000.0,236484000.0,237795000.0,171248000.0,248047000.0,294891000.0,298215000.0,267950000.0,211173000.0,211173000.0,289544000.0,333946000.0,201717000.0,175856000.0,181748000.0,83679000.0,94445000.0,59232000.0,78432000.0,31113000.0,167440000.0,135496000.0,115000000.0,87600000.0,101900000.0,76400000.0,31200000.0,99400000.0,33400000.0,79600000.0,61000000.0,26300000.0
,otherNonCashItems,0.0,1672000.0,1159000.0,1157000.0,1153000.0,1184000.0,1315000.0,1305000.0,3177000.0,60527000.0,0.0,54880000.0,-57946000.0,-12568000.0,29850000.0,-14658000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,-100000.0,0.0,0.0,-100000.0,800000.0,1400000.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,0.0,102835000.0,-5952000.0,104262000.0,116110000.0,133743000.0,99577000.0,173635000.0,112846000.0,140307000.0,0.0,168005000.0,163868000.0,53425000.0,100332000.0,-28427000.0,42868000.0,39584000.0,46752000.0,74342000.0,63899000.0,103408000.0,81658000.0,100400000.0,85200000.0,96600000.0,115800000.0,46300000.0,45400000.0,81500000.0,110200000.0,125700000.0,69300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-28136000.0,-27765000.0,-42129000.0,-132304000.0,-160158000.0,-99889000.0,-66046000.0,-103047000.0,-58752000.0,-64491000.0,-17000000.0,-36491000.0,-26257000.0,-52469000.0,-28960000.0,-44460000.0,-31024000.0,-18587000.0,-66758000.0,-51152000.0,-47845000.0,-29215000.0,-24160000.0,-188000000.0,-57700000.0,-37500000.0,-25800000.0,-83500000.0,-112800000.0,-90300000.0,-46600000.0,-35400000.0,-56900000.0
,acquisitionsNet,0.0,-1000000.0,-179000000.0,0.0,0.0,0.0,-8000000.0,-211000000.0,0.0,0.0,-0.0,-228000000.0,0.0,0.0,-8000000.0,-158000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154400000.0,-700000.0,0.0,0.0,-27200000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401000.0,158500000.0,0.0,0.0,2900000.0,22100000.0,0.0,0.0,0.0,0.0,158000000.0
