Date,2018-07,2017-07,2016-07,2015-07,2014-07
Cash and cash equivalents,24000000.0,21000000.0,12000000.0,8000000.0,19000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,62000000.0,51000000.0,33000000.0,37000000.0,40000000.0
Inventories,54000000.0,46000000.0,37000000.0,42000000.0,45000000.0
Total current assets,663000000.0,659000000.0,142000000.0,146000000.0,139000000.0
Property, Plant & Equipment Net,117000000.0,105000000.0,80000000.0,81000000.0,92000000.0
Goodwill and Intangible Assets,533000000,544000000,56000000,59000000,41000000
Long-term investments,,,,,
Tax assets,000000.0,000000.0,000000.0,0000000.0,0000000.0
Total non-current assets,343000000.0,566000000.0,50000000.0,69000000.0,72000000.0
Total assets,818000000.0,792000000.0,237000000.0,242000000.0,251000000.0
Payables,39000000.0,30000000.0,26000000.0,36000000.0,37000000.0
Short-term debt,000000.0,3000000.0,000000.0,000000.0,000000.0
Total current liabilities,59000000.0,53000000.0,44000000.0,50000000.0,58000000.0
Long-term debt,306000000.0,523000000.0,36000000.0,53000000.0,60000000.0
Total debt,306000000.0,523000000.0,36000000.0,53000000.0,60000000.0
Deferred revenue,,,,,
Tax Liabilities,32000000.0,38000000.0,10000000.0,13000000.0,10000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,343000000.0,566000000.0,50000000.0,69000000.0,72000000.0
Total liabilities,402000000.0,619000000.0,94000000.0,119000000.0,131000000.0
Other comprehensive income,-10000000.0,-10000000.0,-12000000.0,-10000000.0,1000000.0
Retained earnings (deficit),204000000.0,141000000.0,119000000.0,101000000.0,91000000.0
Total shareholders equity,416000000.0,174000000.0,143000000.0,123000000.0,120000000.0
Investments,,,,,
Net Debt,282000000,505000000,24000000,45000000,41000000
Other Assets,22000000,15000000,12000000,10000000,7000000
Other Liabilities,5000000,5000000,4000000,7000000,8000000
