Date,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31
Depreciation & Amortization,651000000.0,101425000.0,585000000.0,55702000.0,599000000.0,105916000.0,520000000.0,134491000.0,519000000.0,118825000.0,80105000.0
Stock-based compensation,41000000.0,12161000.0,39000000.0,6315000.0,38000000.0,12148000.0,34000000.0,16331000.0,32000000.0,14924000.0,9399000.0
Operating Cash Flow,1985000000.0,137232000.0,1848000000.0,83719000.0,1682000000.0,69479000.0,1407000000.0,143468000.0,1377000000.0,133328000.0,76771000.0
Capital Expenditure,-362000000.0,0.0,-354000000.0,0.0,-333000000.0,0.0,-307000000.0,0.0,-270000000.0,0.0,0.0
Acquisitions and disposals,-306000000.0,-0.0,-303000000.0,-0.0,-282000000.0,-0.0,-242000000.0,-0.0,-203000000.0,-0.0,-0.0
Investment purchases and sales,-13000000,0.0,-10000000,0.0,-6000000,0.0,-16000000,0.0,-6000000,0.0,0.0
Investing Cash flow,-1271000000.0,-271489000.0,-422000000.0,-190467000.0,-668000000.0,199583000.0,-422000000.0,-175893000.0,-565000000.0,-405518000.0,-447447000.0
Issuance (repayment) of debt,-211000000.0,-5295000.0,-860000000.0,-146500000.0,-474000000.0,-3744000.0,-525000000.0,-1007000.0,-300000000.0,-1934000.0,-12275000.0
Issuance (buybacks) of shares,-743000000.0,-3762000.0,-739000000.0,27798000.0,-729000000.0,-9297000.0,-523000000.0,-4352000.0,-639000000.0,101741000.0,-934000.0
Dividend payments,,-5205000.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Financing Cash Flow,-713000000.0,4930000.0,-1471000000.0,230540000.0,-1005000000.0,-264117000.0,-1124000000.0,36758000.0,-670000000.0,271275000.0,370475000.0
Effect of forex changes on cash,2000000.0,0.0,-6000000.0,0.0,31000000.0,0.0,-15000000.0,0.0,2000000.0,0.0,0.0
Net cash flow / Change in cash,3000000.0,-129327000.0,-51000000.0,123792000.0,40000000.0,4945000.0,-154000000.0,4333000.0,144000000.0,-915000.0,-201000.0
Free Cash Flow,1623000000.0,137232000.0,1494000000.0,83719000.0,1349000000.0,69479000.0,1100000000.0,143468000.0,1107000000.0,133328000.0,76771000.0
Net Cash/Marketcap,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
