Date,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30
Revenue,108716000.0,114065000.0,112165000.0,120172000.0,122882000.0,129162000.0,112120000.0
Revenue Growth,-0.0468943146451585,0.0169393304506753,-0.0666294977199348,-0.0220536775117593,-0.0486211114724145,0.151997859436318,
Cost of Revenue,43628000.0,4679000.0,29870000.0,31487000.0,36583000.0,46069000.0,38816000.0
Gross Profit,65088000.0,109386000.0,82295000.0,88685000.0,86299000.0,83093000.0,73304000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,9884000.0,9735000.0,60224000.0,63641000.0,61441000.0,59389000.0,51433000.0
Operating Expenses,63109000.0,112019000.0,79923000.0,80895000.0,80713000.0,77750000.0,64734000.0
Operating Income,1979000.0,2046000.0,2372000.0,7790000.0,5586000.0,5343000.0,8570000.0
Interest Expense,32000.0,39000.0,80000.0,130000.0,112000.0,109000.0,19000.0
Earnings before Tax,2393000.0,2197000.0,2298000.0,9353000.0,5474000.0,5241000.0,8551000.0
Income Tax Expense,630000.0,-2922000.0,469000.0,3648000.0,2135000.0,2044000.0,3335000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,1763000.0,5119000.0,1829000.0,5705000.0,3339000.0,3197000.0,5216000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,1763000.0,5119000.0,1829000.0,5705000.0,3339000.0,3197000.0,5216000.0
EPS,0.53,1.54,0.55,1.74,1.02,0.99,1.61
EPS Diluted,0.53,1.54,0.55,1.74,1.02,0.99,1.61
Weighted Average Shs Out,3342.0,3318.0,3303802.0,3287253.0,3268804.0,,
Weighted Average Shs Out (Dil),3343.0,3320.0,3299000.0,3283000.0,3268000.0,3243000.0,3243000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.598697523824,0.958979529216,0.7337,0.738,0.7023,0.6433,0.6538
EBITDA Margin,0.0961496007947,0.100951212028,0.113,0.16,0.123,0.113,
EBIT Margin,0.018203392325,0.0179371411038,0.0212,0.0789,0.0455,0.0414,0.0764
Profit Margin,0.0162165642592,0.0448779204839,0.016,0.047,0.027,0.025,0.047
Free Cash Flow margin,0.00784613120424,0.027317757419,0.0471,0.055,0.057,0.0203,
EBITDA,10453000.0,11515000.0,12671000.0,19212000.0,15071000.0,14644000.0,
EBIT,1979000.0,2046000.0,2378000.0,9483000.0,5586000.0,5350000.0,8570000.0
Consolidated Income,1763000.0,5119000.0,1829000.0,5705000.0,3339000.0,3197000.0,5216000.0
Earnings Before Tax Margin,0.022011479451,0.0192609477053,0.0205,0.0778,0.0445,0.0406,0.0763
Net Profit Margin,0.0162165642592,0.0448779204839,0.0163,0.0475,0.0272,0.0248,0.0465
