date,,2020-12-27_FY,2019-12-29_FY,2018-12-30_FY,2017-12-31_FY,2016-12-25_FY,2015-12-27_FY,2014-12-28_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,revenue,3170561000.0,4139389000.0,4126413000.0,4213346000.0,4260673000.0,4377676000.0,4442711000.0,4129230000.0,3987795000.0,3841264000.0,3628287000.0,3601656000.0
,costOfRevenue,982702000.0,1276524000.0,1295588000.0,2536703000.0,1354853000.0,1419689000.0,1435359000.0,2491464000.0,2398626000.0,1226098000.0,2186421000.0,1184074000.0
,grossProfit,2187859000.0,2862865000.0,2830825000.0,1676643000.0,2905820000.0,2957987000.0,3007352000.0,1637766000.0,1589169000.0,2615166000.0,1441866000.0,2417582000.0
,grossProfitRatio,0.690054220688389,0.691615356759174,0.68602561110582,0.397936224558819,0.682009626178775,0.675698018766122,0.676918215026816,0.396627458388126,0.398508198139573,0.680808712965316,0.397395795867306,0.671241784334762
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,254356000.0,2465879000.0,2447116000.0,306956000.0,2483605000.0,2499996000.0,2572396000.0,268928000.0,326473000.0,2275245000.0,252793000.0,2126057000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,131000.0,5535000.0,36863000.0,14912000.0,104627000.0,36667000.0,52081000.0,-246000.0,-128000.0,0.0,2993000.0,0.0
,operatingExpenses,254356000.0,2671775000.0,2685572000.0,1478222000.0,2809068000.0,2730018000.0,2826480000.0,1397301000.0,1400477000.0,2401714000.0,1273243000.0,2468720000.0
,costAndExpenses,3345534000.0,3948299000.0,3981160000.0,4014925000.0,4163921000.0,4149707000.0,4261839000.0,3888765000.0,3799103000.0,3627812000.0,3459664000.0,3652794000.0
,interestExpense,64442000.0,-49257000.0,-44937000.0,41392000.0,-45726000.0,-56176000.0,-59658000.0,74773000.0,86642000.0,0.0,91428000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,180261000.0,196811000.0,201593000.0,192282000.0,193838000.0,190399000.0,190911000.0,164094000.0,155482000.0,153689000.0,156267000.0,186074000.0
,EBITDA,5288000.0,387901000.0,346846000.0,390703000.0,290590000.0,418368000.0,371783000.0,404559000.0,344174000.0,367141000.0,324890000.0,134936000.0
,EBITDARatio,0.00166784364028953,0.0937097238263908,0.0840550861002037,0.0927298636285745,0.0682028402555183,0.0955685162629669,0.0836838137794693,0.0979744407552982,0.0863068437570136,0.0955781742676369,0.089543633124943,0.0374649883275915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-174973000.0,191090000.0,145253000.0,198421000.0,96752000.0,227969000.0,180872000.0,240465000.0,188692000.0,213452000.0,168623000.0,-51138000.0
,operatingIncomeRatio,-0.0551867634781353,0.0461638178967959,0.0352007906140272,0.0470934501937415,0.0227081496280048,0.0520753477415871,0.0407120787285061,0.0582348282851767,0.0473173771470198,0.0555681671449814,0.0464745484577157,-0.014198468704396
,totalOtherIncomeExpensesNet,131000.0,-143000.0,-11000.0,-38486000.0,1609000.0,-939000.0,-1244000.0,6668000.0,-28640000.0,830000.0,3281000.0,99713000.0
,incomeBeforeTax,-239521000.0,141690000.0,100305000.0,118543000.0,52635000.0,170854000.0,119970000.0,172360000.0,73410000.0,130895000.0,80476000.0,-67305000.0
,incomeBeforeTaxRatio,-0.075545305704574,0.0342296894541682,0.0243080370287705,0.0281351211127688,0.0123536821530308,0.0390284708141946,0.0270037821501331,0.041741438476423,0.0184086694526675,0.0340760228924646,0.0221801638073284,-0.0186872372042194
,incomeTaxExpense,-80726000.0,7573000.0,-9233000.0,15985000.0,10144000.0,39294000.0,24044000.0,-42208000.0,12106000.0,21716000.0,21300000.0,-2462000.0
,netIncome,-158795000.0,130573000.0,107098000.0,100243000.0,39388000.0,127327000.0,91090000.0,208367000.0,49971000.0,100005000.0,52968000.0,-64463000.0
,netIncomeRatio,-0.0500841964560846,0.0315440273914822,0.0259542610010195,0.0237917797399027,0.00924454892454784,0.0290855239172566,0.0205032467788249,0.0504614661813462,0.0125309851684954,0.0260343990936317,0.0145986246402228,-0.0178981557372498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.81700116712818,1.45441,1.13843,1.04,0.34457,1.01387,0.70988,1.69,0.45,0.941453908721193,0.498002,-0.62
,EPSDiluted,-1.81700116712818,1.45441,1.13843,1.01,0.34457,1.01387,0.70988,1.63,0.44,0.937350617214521,0.493851,-0.62
,weightedAverageShsOut,87394000.0,89777000.0,94075000.0,96365000.0,114311000.0,125585000.0,128317000.0,122972000.0,111999000.0,106224000.0,106361000.0,104442000.0
,weightedAverageShsOutDil,87394000.0,89777000.0,94075000.0,99707000.0,114311000.0,125585000.0,128317000.0,128074000.0,114821000.0,106689000.0,107255000.0,104442000.0
