date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2004-01-31_FY,2003-01-31_FY,2002-01-31_FY,2001-01-31_FY,2000-01-31_FY,1999-01-31_FY,1998-01-31_FY,1997-01-31_FY,1996-01-31_FY,1995-01-31_FY,1994-01-31_FY,1993-01-31_FY,1992-01-31_FY,1991-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-101916000.0,-111513000.0,-100521000.0,-489253000.0,-252134000.0,-189303000.0,152736000.0,128048000.0,109408000.0,126105000.0,98847000.0,75111000.0,70153000.0,63755000.0,32501000.0,15943000.0,241000.0,-11340000.0,-3945000.0,-2282000.0,-8200000.0,-25176000.0,-600000.0,4500000.0,1100000.0,1100000.0,800000.0,-6300000.0,-8800000.0,-5500000.0,1700000.0
,depreciationAndAmortization,1196000.0,1816000.0,2329000.0,2455000.0,3461000.0,4719000.0,7135000.0,10130000.0,8312000.0,9438000.0,10107000.0,8015000.0,20879000.0,9460000.0,3155000.0,1863000.0,2137000.0,2736000.0,3315000.0,3182000.0,3370000.0,3022000.0,1600000.0,600000.0,500000.0,400000.0,500000.0,600000.0,1800000.0,1000000.0,500000.0
,deferredIncomeTax,731000.0,-80000.0,-2004000.0,-104169000.0,-95580000.0,-112836000.0,45573000.0,31416000.0,24385000.0,27737000.0,13448000.0,17463000.0,29593000.0,26772000.0,4969000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1174000.0,-800000.0,1000000.0,-1100000.0,0.0,0.0,0.0,0.0,-300000.0,200000.0
,stockBasedCompensation,804000.0,971000.0,-2405000.0,8744000.0,6805000.0,11449000.0,18492000.0,20018000.0,11491000.0,11742000.0,11444000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,11587000.0,8083000.0,26594000.0,-29634000.0,20394000.0,35985000.0,-19691000.0,-6326000.0,16635000.0,-10045000.0,-7059000.0,-443000.0,-26559000.0,-16965000.0,-11400000.0,-548000.0,8596000.0,18975000.0,-11922000.0,-1410000.0,11606000.0,16655000.0,-22800000.0,-15000000.0,-200000.0,-1500000.0,1300000.0,-600000.0,7300000.0,2700000.0,-1300000.0
,accountsReceivables,4020000.0,6927000.0,13103000.0,-6481000.0,4159000.0,-12893000.0,-28031000.0,-6683000.0,-10942000.0,-17252000.0,3638000.0,-19925000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279000.0,7160000.0,11577000.0,-5163000.0,818000.0,5447000.0,4261000.0,-1400000.0,-10900000.0,-1300000.0,-700000.0,300000.0,-2900000.0,2400000.0,-700000.0,500000.0
,accountsPayables,0.0,0.0,204000.0,23212000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-104000.0,29000.0,-282000.0,-3272000.0,-8015000.0,8158000.0,-7414000.0,6102000.0,-3745000.0,2130000.0,-28387000.0,8595000.0,502000.0,4065000.0,-3700000.0,0.0,0.0,0.0,-5038000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,19758000.0,-60250000.0,17120000.0,22781000.0,36281000.0,34879000.0,29654000.0,23362000.0,-19517000.0,2411000.0,6605000.0,2014000.0,665000.0,2486000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,0.0,100000.0,200000.0,100000.0,-100000.0
,netCashProvidedByOperatingActivites,20423000.0,30312000.0,56082000.0,2074000.0,122176000.0,190241000.0,162521000.0,232789000.0,202169000.0,177609000.0,165723000.0,118718000.0,89243000.0,83687000.0,31711000.0,12117000.0,4437000.0,11163000.0,-9867000.0,240000.0,7699000.0,3329000.0,-22000000.0,-8800000.0,700000.0,200000.0,-1600000.0,-5600000.0,1200000.0,-500000.0,1100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-602000.0,-626000.0,-829000.0,-870000.0,-3636000.0,-1433000.0,-1505000.0,-1209000.0,-1595000.0,-3242000.0,-3190000.0,-3873000.0,-7701000.0,-349000.0,-739000.0,-731000.0,-30000.0,-248000.0,-1729000.0,-2554000.0,-1871000.0,-2832000.0,-1900000.0,-700000.0,-300000.0,-100000.0,-100000.0,-100000.0,-100000.0,0.0,-100000.0
,acquisitionsNet,0.0,18695000.0,-6278000.0,-8166000.0,164699000.0,-152400000.0,-56500000.0,-201031000.0,-240641000.0,-145600000.0,-178030000.0,-21900000.0,-33743000.0,-584817000.0,-173691000.0,-66914000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-5998000.0,0.0,0.0,0.0,0.0,-63500000.0,-2000000.0,-196400000.0,-2328000.0,-663000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,6341000.0,5395000.0,0.0,0.0,0.0,0.0,0.0,183400000.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,77743000.0,-6001000.0,1450000.0,339551000.0,9100000.0,794000.0,24000000.0,3858000.0,-2917000.0,-8684000.0,2066000.0,6243000.0,-630000.0,0.0,0.0,-320000.0,-19000.0,0.0,-450000.0,340000.0,-161000.0,-165000.0,-700000.0,0.0,0.0,0.0,0.0,-100000.0,-800000.0,-1000000.0,-1400000.0
