date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2018-02-15_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,revenue,804965000.0,818182000.0,728418000.0,728139000.0,728139000.0,639639000.0,520850000.0,253415000.0,205558000.0,166156000.0,142189000.0,60640000.0
,costOfRevenue,299779000.0,301522000.0,267710000.0,0.0,253507000.0,228745000.0,189857000.0,104269000.0,87583000.0,77917000.0,67186000.0,30027000.0
,grossProfit,505186000.0,516660000.0,460708000.0,728139000.0,474632000.0,410894000.0,330993000.0,149146000.0,117975000.0,88239000.0,75003000.0,30613000.0
,grossProfitRatio,0.627587534861764,0.631473193005957,0.632477506047352,1.0,0.651842574014028,0.642384219849009,0.635486224440818,0.588544482370815,0.573925607371156,0.531061171429259,0.527488061664404,0.504831794195251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,77882000.0,71947000.0,61027000.0,54459000.0,54459000.0,52400000.0,38534000.0,28253000.0,19952000.0,16497000.0,13038000.0,4493000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,3363000.0,1537000.0,822000.0,537077000.0,2992000.0,1558000.0,-62000.0,14000.0,99000.0,92000.0,0.0,0.0
,operatingExpenses,377564000.0,354035000.0,312030000.0,591536000.0,338029000.0,321487000.0,283605000.0,100469000.0,90015000.0,73521000.0,57698000.0,20405000.0
,costAndExpenses,677343000.0,655557000.0,579740000.0,591536000.0,591536000.0,550232000.0,473462000.0,204738000.0,177598000.0,151438000.0,124884000.0,50432000.0
,interestExpense,106938000.0,99587000.0,77202000.0,0.0,84005000.0,76044000.0,50667000.0,25932000.0,25470000.0,19071000.0,17480000.0,8831000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,299682000.0,282088000.0,251003000.0,283570000.0,283570000.0,269087000.0,245071000.0,72216000.0,70063000.0,57024000.0,44660000.0,15912000.0
,EBITDA,427304000.0,444713000.0,399681000.0,420173000.0,420173000.0,358494000.0,292459000.0,120893000.0,98023000.0,71742000.0,61965000.0,26120000.0
,EBITDARatio,0.53083550216469,0.543537990324891,0.548697313904928,0.577050535680687,0.577050535680687,0.560463011167237,0.561503311894019,0.477055422922874,0.476862977845669,0.431774958472761,0.435793204818938,0.430738786279683
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,127622000.0,162625000.0,148678000.0,136603000.0,136603000.0,89407000.0,47388000.0,48677000.0,27960000.0,14718000.0,17305000.0,10208000.0
,operatingIncomeRatio,0.158543539160088,0.198763844719146,0.204110826476007,0.187605663204416,0.187605663204416,0.139777280622351,0.0909820485744456,0.192084130773632,0.136020004086438,0.0885794073039794,0.121704210592943,0.168337730870712
,totalOtherIncomeExpensesNet,1196000.0,-4978000.0,44552000.0,-2992000.0,47898000.0,30135000.0,-12927000.0,911000.0,-1347000.0,-959000.0,-2136000.0,-4465000.0
,incomeBeforeTax,16430000.0,55846000.0,111781000.0,94561000.0,94561000.0,43758000.0,-16082000.0,23686000.0,1415000.0,-5006000.0,0.0,-2682000.0
