date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,36988000.0,40235000.0,40079000.0,24768000.0,26130000.0
,depreciationAndAmortization,8693000.0,8903000.0,3346000.0,3615000.0,4038000.0
,deferredIncomeTax,-3058000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,3212000.0,5576000.0,7769000.0,8686000.0,9555000.0
,changeInWorkingCapital,-2604352000.0,70056000.0,19923000.0,3188652000.0,-547861000.0
,accountsReceivables,1334000.0,-1650000.0,-2246000.0,-999000.0,1000.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-2456534000.0,147818000.0,77762000.0,57839000.0,-3130813000.0
,otherNonCashItems,2613731000.0,-73618000.0,-18328000.0,-3182097000.0,545839000.0
,netCashProvidedByOperatingActivites,55214000.0,51152000.0,52789000.0,43624000.0,37701000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3059000.0,-3623000.0,-2879000.0,-2065000.0,-932000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,55000000.0
,purchasesOfInvestments,-572369000.0,-637959000.0,-451174000.0,-137631000.0,-105860000.0
,salesMaturitiesOfInvestments,585125000.0,323338000.0,151003000.0,120557000.0,207357000.0
,otherInvestingActivites,-141622000.0,-204481000.0,-103310000.0,-171387000.0,-253179000.0
,netCashUsedForInvestingActivites,-131925000.0,-522725000.0,-406360000.0,-190526000.0,-97614000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,556920000.0,-44000.0,-255000.0,-224000.0,-204000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-10405000.0,-15815000.0,-5000.0,0.0,-2201000.0
,dividendsPaid,-21476000.0,-20198000.0,-18673000.0,-15646000.0,-14074000.0
,otherFinancingActivites,-508602000.0,577686000.0,392427000.0,124526000.0,120624000.0
,netCashUsedProvidedByFinancingActivities,16437000.0,541629000.0,373494000.0,108656000.0,104145000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-60274000.0,70056000.0,19923000.0,-38246000.0,44232000.0
,cashAtEndOfPeriod,87544000.0,147818000.0,77762000.0,57839000.0,96085000.0
,cashAtBeginningOfPeriod,147818000.0,77762000.0,57839000.0,96085000.0,51853000.0
,operatingCashFlow,55214000.0,51152000.0,52789000.0,43624000.0,37701000.0
,capitalExpenditure,-3059000.0,-3623000.0,850000.0,-2065000.0,-932000.0
,freeCashFlow,52155000.0,47529000.0,49910000.0,41559000.0,36769000.0
