date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY,1988-06-30_FY,1987-06-30_FY,1986-06-30_FY
,revenue,3245652000.0,3472739000.0,3073274000.0,2593746000.0,2519428000.0,2751561000.0,2459878000.0,2462171000.0,2375445000.0,2212849000.0,1893208000.0,1923148000.0,2089456000.0,2014109000.0,1900780000.0,1717055000.0,1517004000.0,1464367000.0,1446569000.0,1625755000.0,1571705000.0,1527900000.0,1491400000.0,1160300000.0,1143700000.0,1054800000.0,936300000.0,831400000.0,817800000.0,814000000.0,651300000.0,630300000.0,542900000.0,491000000.0,490200000.0
,costOfRevenue,2307916000.0,2465116000.0,2189279000.0,1856051000.0,1812006000.0,1981747000.0,1772952000.0,1779209000.0,1720973000.0,1599739000.0,1377486000.0,1403138000.0,1520173000.0,1466057000.0,1386895000.0,1262206000.0,1114861000.0,1085072000.0,1080879000.0,1216456000.0,1157127000.0,1122500000.0,1078500000.0,840600000.0,833300000.0,769100000.0,670600000.0,600500000.0,594900000.0,589200000.0,481600000.0,460300000.0,390600000.0,358300000.0,350400000.0
,grossProfit,937736000.0,1007623000.0,883995000.0,737695000.0,707422000.0,769814000.0,686926000.0,682962000.0,654472000.0,613110000.0,515722000.0,520010000.0,569283000.0,548052000.0,513885000.0,454849000.0,402143000.0,379295000.0,365690000.0,409299000.0,414578000.0,405400000.0,412900000.0,319700000.0,310400000.0,285700000.0,265700000.0,230900000.0,222900000.0,224800000.0,169700000.0,170000000.0,152300000.0,132700000.0,139800000.0
,grossProfitRatio,0.288920685273714,0.290152240061807,0.28763950106629,0.284412968733253,0.280786750008335,0.279773553993533,0.279252060468039,0.277382033985454,0.275515534983971,0.27706815964397,0.272406412818877,0.270395206193179,0.272455127076139,0.272106425223263,0.270354801712981,0.264900658394751,0.265090270032248,0.259016353140982,0.252798172779867,0.251759336431381,0.2637759630465,0.265331500752667,0.276853962719592,0.275532189950875,0.271399842616071,0.270857034508912,0.283776567339528,0.277724320423382,0.272560528246515,0.276167076167076,0.260555811454015,0.269712835157861,0.280530484435439,0.270264765784114,0.285189718482252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,717980000.0,742241000.0,658168000.0,563105000.0,553827000.0,585195000.0,522568000.0,506563000.0,486077000.0,462347000.0,405672000.0,410912000.0,416459000.0,413041000.0,398293000.0,366881000.0,350695000.0,343041000.0,334856000.0,354298000.0,333873000.0,340300000.0,333400000.0,255400000.0,245800000.0,234800000.0,224200000.0,197700000.0,205700000.0,196600000.0,132300000.0,127800000.0,119000000.0,111100000.0,112700000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,94000.0,526000.0,1381000.0,917000.0,-1060000.0,-70000.0,1271000.0,1431000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,717980000.0,742241000.0,658168000.0,563105000.0,553827000.0,585195000.0,522568000.0,506563000.0,486077000.0,462347000.0,405672000.0,410912000.0,416459000.0,413041000.0,398293000.0,366881000.0,350695000.0,343041000.0,334856000.0,354298000.0,356861000.0,363000000.0,354400000.0,269000000.0,261200000.0,248800000.0,237800000.0,210500000.0,218300000.0,207700000.0,140500000.0,136600000.0,127300000.0,118800000.0,119800000.0
,costAndExpenses,3025896000.0,3207357000.0,2847447000.0,2419156000.0,2365833000.0,2566942000.0,2295520000.0,2285772000.0,2207050000.0,2062086000.0,1783158000.0,1814050000.0,1936632000.0,1879098000.0,1785188000.0,1629087000.0,1465556000.0,1428113000.0,1415735000.0,1570754000.0,1513988000.0,1485500000.0,1432900000.0,1109600000.0,1094500000.0,1017900000.0,908400000.0,811000000.0,813200000.0,796900000.0,622100000.0,596900000.0,517900000.0,477100000.0,470200000.0
,interestExpense,37264000.0,40788000.0,24142000.0,8831000.0,9004000.0,8121000.0,900000.0,621000.0,457000.0,2081000.0,5738000.0,5523000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,62749000.0,62119000.0,49863000.0,39677000.0,41546000.0,42375000.0,28000000.0,25734000.0,22701000.0,22616000.0,21616000.0,22391000.0,14044000.0,13743000.0,12337000.0,16471000.0,16252000.0,15205000.0,17548000.0,22509000.0,22988000.0,22700000.0,21000000.0,13600000.0,15400000.0,14000000.0,13600000.0,12800000.0,12600000.0,11100000.0,8200000.0,8800000.0,8300000.0,7700000.0,7100000.0
,EBITDA,282505000.0,327501000.0,275690000.0,214267000.0,195141000.0,226994000.0,192358000.0,202133000.0,191096000.0,173379000.0,131666000.0,131489000.0,166868000.0,148754000.0,127929000.0,104439000.0,67700000.0,51459000.0,48382000.0,77510000.0,80705000.0,65100000.0,79500000.0,64300000.0,64600000.0,50900000.0,41500000.0,33200000.0,17200000.0,28200000.0,37400000.0,42200000.0,33300000.0,21600000.0,27100000.0
,EBITDARatio,0.0870410629358909,0.0943062522118708,0.089705636399488,0.0826090912525745,0.0774544857007225,0.0824964447453645,0.0781981870645617,0.0820954352886132,0.0804464005691565,0.0783510307300679,0.0695465051911887,0.0683717529800099,0.0798619353554227,0.0738559829681512,0.0673034228053746,0.0608244931001045,0.0446274367107799,0.0351407809654274,0.03344603679465,0.0476763103911721,0.051348694570546,0.0426075004908698,0.0533056188815878,0.0554167025769198,0.0564833435341436,0.0482555934774365,0.0443234006194596,0.0399326437334616,0.0210320371729029,0.0346437346437346,0.0574236143098419,0.0669522449627162,0.0613372628476699,0.0439918533604888,0.0552835577315381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,219756000.0,265382000.0,225827000.0,174590000.0,153595000.0,184619000.0,164358000.0,176399000.0,168395000.0,150763000.0,110050000.0,109098000.0,152824000.0,135011000.0,115592000.0,87968000.0,51448000.0,36254000.0,30834000.0,55001000.0,57717000.0,42400000.0,58500000.0,50700000.0,49200000.0,36900000.0,27900000.0,20400000.0,4600000.0,17100000.0,29200000.0,33400000.0,25000000.0,13900000.0,20000000.0
,operatingIncomeRatio,0.0677078134069826,0.0764186424606053,0.0734809196967143,0.0673119110352363,0.0609642347389963,0.0670960956344417,0.0668155087366121,0.0716436835621896,0.07088987537072,0.0681307219787703,0.0581288479659921,0.0567288633012124,0.0731405686456188,0.0670326183935428,0.0608129294289713,0.0512319057921849,0.0339142151240208,0.024757454927624,0.0213152639106742,0.0338310508040879,0.0367225401713426,0.0277505072321487,0.0392248893656967,0.0436955959665604,0.0430182740229081,0.0349829351535836,0.0297981416212752,0.0245369256675487,0.00562484715089264,0.021007371007371,0.0448334101028712,0.0529906393780739,0.0460489961318843,0.0283095723014257,0.0407996736026112
,totalOtherIncomeExpensesNet,-127985000.0,-30713000.0,2376000.0,917000.0,-65854000.0,-879000.0,2153000.0,1431000.0,-1578000.0,3793000.0,425000.0,-38860000.0,-227000.0,1179000.0,717000.0,3101000.0,432000.0,-24000.0,-341000.0,-548000.0,0.0,0.0,900000.0,1000000.0,500000.0,400000.0,200000.0,400000.0,400000.0,700000.0,-3400000.0,300000.0,0.0,0.0,-12500000.0
,incomeBeforeTax,55236000.0,194481000.0,204718000.0,166966000.0,78978000.0,175871000.0,166262000.0,177665000.0,166826000.0,152888000.0,105017000.0,65814000.0,151715000.0,133830000.0,113099000.0,86339000.0,46471000.0,30932000.0,23755000.0,45348000.0,50548000.0,32600000.0,49800000.0,45100000.0,40800000.0,29700000.0,21700000.0,15300000.0,-1900000.0,7500000.0,20300000.0,29400000.0,22900000.0,11200000.0,3400000.0
,incomeBeforeTaxRatio,0.0170184603894687,0.0560021930815993,0.066612348915196,0.0643725330082437,0.0313475915961877,0.0639168094038257,0.0675895308629127,0.0721578639339022,0.0702293675500801,0.0690910224782622,0.0554703973361617,0.0342220151543199,0.0726098084860366,0.0664462548948443,0.0595013625985122,0.0502831883661269,0.0306334063720333,0.0211231200921627,0.0164216155606819,0.0278935017883998,0.0321612516343716,0.0213364749001898,0.0333914442805418,0.03886925795053,0.0356736906531433,0.0281569965870307,0.023176332372103,0.0184026942506615,-0.00232330643189044,0.00921375921375921,0.0311684323660372,0.0466444550214184,0.042180880456806,0.0228105906313646,0.0069359445124439
,incomeTaxExpense,31194000.0,50488000.0,63093000.0,33056000.0,49401000.0,60387000.0,53441000.0,59516000.0,58047000.0,56129000.0,39114000.0,23554000.0,56259000.0,47808000.0,40800000.0,31000000.0,15000000.0,11100000.0,9000000.0,17300000.0,19500000.0,12700000.0,19700000.0,18000000.0,17500000.0,12800000.0,9000000.0,6400000.0,-200000.0,3200000.0,8100000.0,11100000.0,8000000.0,5000000.0,1200000.0
,netIncome,24042000.0,143993000.0,141625000.0,133910000.0,29577000.0,115484000.0,112821000.0,118149000.0,108779000.0,96759000.0,65903000.0,42260000.0,95456000.0,86022000.0,72299000.0,55339000.0,31471000.0,19832000.0,2655000.0,28048000.0,31048000.0,19900000.0,30100000.0,27100000.0,23300000.0,16900000.0,12700000.0,8900000.0,-1700000.0,4300000.0,12200000.0,18300000.0,14900000.0,6200000.0,2200000.0
,netIncomeRatio,0.00740744848800796,0.0414638128578047,0.0460827768692281,0.0516280314263617,0.0117395694578293,0.0419703579168334,0.0458644697013429,0.047985700424544,0.0457931040289293,0.043725984014273,0.0348102268741734,0.0219743878266259,0.0456846183887098,0.0427097043903781,0.0380364902829365,0.0322290200372149,0.0207454957271042,0.013543053073444,0.00183537736533826,0.017252292012019,0.019754343213262,0.0130244125924471,0.0201823789727773,0.0233560286132897,0.0203724752994666,0.0160219946909367,0.0135640286233045,0.0107048352177051,-0.0020787478601125,0.00528255528255528,0.0187317672347612,0.0290337934316992,0.0274452016946031,0.0126272912423625,0.00448796409628723
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
