Date,2018-09,2017-09,2016-09,2015-09,2014-09
Cash and cash equivalents,0000000.0,4000000.0,1000000.0,0000000.0,0000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,0000000.0,0000000.0,0000000.0,0000000.0,0000000.0
Inventories,,,,,
Total current assets,11000000.0,5000000.0,8000000.0,7000000.0,0000000.0
Property, Plant & Equipment Net,11000000.0,5000000.0,8000000.0,7000000.0,0000000.0
Goodwill and Intangible Assets,0,0,0,0,0
Long-term investments,,,,,
Tax assets,,,,,
Total non-current assets,7000000.0,3000000.0,0000000.0,0000000.0,0000000.0
Total assets,12000000.0,9000000.0,8000000.0,8000000.0,0000000.0
Payables,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0
Short-term debt,0000000.0,000000.0,1000000.0,2000000.0,0000000.0
Total current liabilities,2000000.0,1000000.0,2000000.0,4000000.0,5000000.0
Long-term debt,7000000.0,3000000.0,000000.0,000000.0,000000.0
Total debt,7000000.0,3000000.0,000000.0,000000.0,000000.0
Deferred revenue,,,,,
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,7000000.0,3000000.0,0000000.0,0000000.0,0000000.0
Total liabilities,9000000.0,4000000.0,2000000.0,4000000.0,5000000.0
Other comprehensive income,7000000.0,7000000.0,000000.0,0000000.0,000000.0
Retained earnings (deficit),-63000000.0,-60000000.0,-50000000.0,-48000000.0,-46000000.0
Total shareholders equity,3000000.0,5000000.0,6000000.0,4000000.0,-5000000.0
Investments,,,,,
Net Debt,7000000,-1000000,0,2000000,0
Other Assets,0,0,0,0,0
Other Liabilities,0,0,0,1000000,2000000
