date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY,2000-05-31_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY,1994-05-31_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY,1989-05-31_FY,1988-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-237203000.0,-32417000.0,-63146000.0,-104161000.0,-12676000.0,8878000.0,40070000.0,29855000.0,32436000.0,32911000.0,26585000.0,12275000.0,22911000.0,23623000.0,15515000.0,10636000.0,4788000.0,5776000.0,4402000.0,3909000.0,2740000.0,1484000.0,300000.0,1400000.0,800000.0,-9300000.0,-5900000.0,-300000.0,1900000.0,-11900000.0,2000000.0,4700000.0,2900000.0,2400000.0
,depreciationAndAmortization,45908000.0,49059000.0,64862000.0,52143000.0,48673000.0,19426000.0,22787000.0,21468000.0,19664000.0,17469000.0,14584000.0,12509000.0,12116000.0,11563000.0,8223000.0,6760000.0,6315000.0,2892000.0,2555000.0,2693000.0,2773000.0,2957000.0,2200000.0,1500000.0,1400000.0,3400000.0,4000000.0,4300000.0,3500000.0,3200000.0,5800000.0,4100000.0,2800000.0,2900000.0
,deferredIncomeTax,-3974000.0,3795000.0,-31734000.0,-46540000.0,-4236000.0,2411000.0,-729000.0,-1040000.0,5089000.0,-717000.0,-1405000.0,-782000.0,2350000.0,2299000.0,2085000.0,-482000.0,655000.0,311000.0,312000.0,-47000.0,138000.0,71000.0,300000.0,600000.0,400000.0,-1900000.0,-400000.0,-100000.0,-800000.0,-100000.0,0.0,-800000.0,600000.0,0.0
,stockBasedCompensation,6307000.0,10055000.0,12256000.0,7876000.0,7313000.0,3469000.0,4838000.0,4239000.0,3931000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,37348000.0,-47963000.0,-34271000.0,-4360000.0,31237000.0,24927000.0,23801000.0,-443000.0,17095000.0,26486000.0,23190000.0,-2502000.0,9666000.0,29950000.0,21010000.0,130000.0,21377000.0,7999000.0,1020000.0,2109000.0,1571000.0,-787000.0,2700000.0,1600000.0,900000.0,-4200000.0,-3800000.0,-1500000.0,-700000.0,3700000.0,-4600000.0,-8400000.0,-600000.0,0.0
,accountsReceivables,46147000.0,0.0,15386000.0,-39820000.0,16518000.0,17050000.0,-43192000.0,-6812000.0,-10964000.0,0.0,0.0,4382000.0,7320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,2702000.0,9551000.0,-21000.0,614000.0,2119000.0,372000.0,-925000.0,822000.0,-1405000.0,-3629000.0,-1231000.0,-311000.0,-3461000.0,-3929000.0,-993000.0,-667000.0,-1073000.0,-430000.0,-696000.0,-557000.0,-424000.0,745000.0,400000.0,-500000.0,-600000.0,500000.0,1000000.0,800000.0,-700000.0,-500000.0,-1400000.0,-900000.0,-900000.0,0.0
,accountsPayables,3782000.0,-5356000.0,-8994000.0,6424000.0,8361000.0,-13365000.0,10789000.0,-295000.0,3210000.0,-5965000.0,3578000.0,4324000.0,-6545000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-2275000.0,167042000.0,215005000.0,249276000.0,253636000.0,222399000.0,197472000.0,173671000.0,174114000.0,157019000.0,130533000.0,107343000.0,109845000.0,100179000.0,70229000.0,49219000.0,49089000.0,27712000.0,19713000.0,18693000.0,16584000.0,15013000.0,15800000.0,13100000.0,11500000.0,10600000.0,14800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,4835000.0,5286000.0,3058000.0,-1878000.0,1543000.0,5111000.0,223000.0,2047000.0,222000.0,6044000.0,5032000.0,5094000.0,4837000.0,4567000.0,2216000.0,1311000.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-200000.0,-400000.0,9500000.0,6600000.0,1100000.0,100000.0,2600000.0,0.0,-100000.0,600000.0,0.0
,netCashProvidedByOperatingActivites,52764000.0,58836000.0,41859000.0,-13728000.0,79564000.0,17261000.0,43471000.0,52861000.0,58643000.0,36652000.0,28480000.0,43797000.0,38962000.0,24735000.0,6726000.0,7373000.0,-2916000.0,2624000.0,6566000.0,5281000.0,4586000.0,3930000.0,3200000.0,1700000.0,3900000.0,3800000.0,700000.0,4300000.0,3900000.0,7900000.0,3500000.0,-400000.0,6400000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,-25802000.0,0.0,0.0,0.0,-9000.0,0.0,0.0,0.0,-25612000.0,-16497000.0,-7081000.0,-4748000.0,-3330000.0,-2597000.0,-2043000.0,-1563000.0,-2312000.0,-17900000.0,-2000000.0,-1400000.0,-800000.0,-500000.0,-7600000.0,-1100000.0,-3900000.0,-7300000.0,-5200000.0,-2400000.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-48000000.0,-262100000.0,0.0,-10000000.0,-19000000.0,-19000000.0,-41000000.0,0.0,0.0,-53000000.0,0.0,0.0,-34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2300000.0,0.0,0.0,-3100000.0,-1100000.0,0.0
