Date,2018-12-31,2017-12-31
Revenue,25222962.963,15336213.6685
Revenue Growth,0.6447,
Cost of Revenue,15438518.5185,8278083.2679
Gross Profit,9784444.4444,7058130.4006
R&D Expenses,0.0,0.0
SG&A Expense,3006666.6667,2197957.5805
Operating Expenses,4238518.5185,4149253.7313
Operating Income,5545925.9259,2908876.6693
Interest Expense,2051111.1111,506677.1406
Earnings before Tax,2982962.963,2732128.8295
Income Tax Expense,974814.8148,624509.0338
Net Income - Non-Controlling int,0.0,0.0
Net Income - Discontinued ops,0.0,0.0
Net Income,2008148.1481,2107619.7958
Preferred Dividends,0.0,0.0
Net Income Com,2008148.1481,2107619.7958
EPS,0.0074,0.0157
EPS Diluted,0.0074,0.0157
Weighted Average Shs Out,159578709.6296,
Weighted Average Shs Out (Dil),137458310.3704,114928262.3723
Dividend per Share,0.0,0.0
Gross Margin,0.3879,0.4602
EBITDA Margin,0.5289,0.5098
EBIT Margin,0.1996,0.2112
Profit Margin,0.0593,0.1076
Free Cash Flow margin,-0.7881,-1.2664
EBITDA,18011851.8519,9959937.1563
EBIT,5034074.0741,3238805.9701
Consolidated Income,2008148.1481,2107619.7958
Earnings Before Tax Margin,0.1183,0.1781
Net Profit Margin,0.0796,0.1374
