date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,revenue,3930000000.0,6364000000.0,7124000000.0,5988400000.0,4782400000.0,5432500000.0,9109500000.0,8985800000.0,8567327000.0,5029113000.0,4079768000.0,3136329000.0,5016103000.0,2966864453.0,3037567362.0,1454259542.0
,costOfRevenue,4119000000.0,5662000000.0,6408000000.0,5685700000.0,4573800000.0,4775100000.0,8581100000.0,8019000000.0,7218987000.0,4277566000.0,3807909000.0,2773738000.0,4461808000.0,2567205841.0,2642354726.0,1253450419.0
,grossProfit,-189000000.0,702000000.0,716000000.0,302700000.0,208600000.0,657400000.0,528400000.0,966800000.0,1348340000.0,751547000.0,271859000.0,362591000.0,554295000.0,399658612.0,395212636.0,200809123.0
,grossProfitRatio,-0.0480916030534351,0.110307982401006,0.100505334081976,0.0505477256028321,0.0436182669789227,0.121012425218592,0.0580053789999451,0.107591978454896,0.157381643072571,0.149439274878095,0.0666358969431595,0.115610001374218,0.110503113672108,0.134707405185255,0.130108270500965,0.138083414411593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,86000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
