date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,10363000000.0,7414000000.0,169000000.0,-913000000.0,119055000000.0,19475000000.0,16823000000.0,18879000000.0,28970000000.0,0.0,-27756000000.0,-59103000000.0,0.0
,depreciationAndAmortization,14836000000.0,12028000000.0,13307000000.0,13965000000.0,24055000000.0,8507000000.0,7188000000.0,5928000000.0,7909000000.0,20725000000.0,10150000000.0,5198000000.0,0.0
,deferredIncomeTax,2798000000.0,764000000.0,467000000.0,-913000000.0,0.0,2960000000.0,860000000.0,2355000000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-8350000000.0,-9261000000.0,2026000000.0,376000000.0,5920000000.0,3462000000.0,-11543000000.0,-20697000000.0,19747000000.0,-2687000000.0,4082000000.0,1546000000.0,0.0
,accountsReceivables,87000000.0,102000000.0,708000000.0,1131000000.0,-2235000000.0,-2347000000.0,-777000000.0,-1098000000.0,-3608351000000.0,-8858270000000.0,-5114060000000.0,-2042177000000.0,0.0
,inventory,15000000.0,420000000.0,66000000.0,343000000.0,0.0,-427000000.0,-672000000.0,-568000000.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,-23028000000.0,251000000.0,206000000.0,2246000000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-7756000000.0,594000000.0,9855000000.0,7829000000.0,7453000000.0,1533000000.0,-1929000000.0,9614000000.0,30311000000.0,10564000000.0,13251000000.0,9169000000.0,7623000000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,25277000000.0,26353000000.0,27112000000.0,26114000000.0,-427161000000.0,28495000000.0,24920000000.0,28220000000.0,-5209983000000.0,-1967412000000.0,-5890000000.0,-2321958000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,-45078000000.0,-35134000000.0,-29874000000.0,-904000000.0,-460000000.0,-19000000.0,-488000000.0,-6551000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-3496000000.0,-4762000000.0,-11032000000.0,-11303000000.0,-8857776000000.0,-63020000000.0,-35120000000.0,-29466000000.0,-5945011000000.0,-1891044000000.0,-2270970000000.0,-1406242000000.0,-5519000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2330000000.0,-2573000000.0,-799000000.0,-372000000.0,-1166000000.0,460000000.0,1286000000.0,380000000.0,-1557783000000.0,-1731726000000.0,-602410000000.0,-465208000000.0,321000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,1436000000.0,808000000.0,452000000.0,473000000.0,0.0,0.0,-7712000000.0,-4747000000.0,0.0,0.0,0.0,0.0,13000000.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-31561000000.0,-29593000000.0,-14638000000.0,-19114000000.0,8906841000000.0,35386000000.0,16935000000.0,2778000000.0,11319097000000.0,4138523000000.0,1400321000000.0,4171316000000.0,2376000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-6522000000.0,-8620000000.0,1314000000.0,-3853000000.0,2889935000000.0,861000000.0,6735000000.0,1532000000.0,164103000000.0,280067000000.0,-876539000000.0,443116000000.0,5426000000.0
,cashAtEndOfPeriod,7377000000.0,13899000000.0,22519000000.0,21205000000.0,4087376000000.0,17633000000.0,16169000000.0,6499000000.0,674915000000.0,510812000000.0,230745000000.0,1107284000000.0,9610000000.0
,cashAtBeginningOfPeriod,13899000000.0,22519000000.0,21205000000.0,25058000000.0,1197441000000.0,16169000000.0,6499000000.0,6987000000.0,510812000000.0,230745000000.0,1107284000000.0,664168000000.0,3301000000.0
,operatingCashFlow,25277000000.0,26353000000.0,27112000000.0,26114000000.0,-427161000000.0,28495000000.0,24920000000.0,28220000000.0,-5209983000000.0,-1967412000000.0,-5890000000.0,-2321958000000.0,0.0
