date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,revenue,45285000.0,0.0,0.0,0.0,0.0,522000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,45285000.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,73271000.0,89002000.0,70683000.0,53881000.0,25161300.0,12730000.0
,GeneralAndAdministrativeExpenses,68490000.0,40039000.0,18603000.0,7087000.0,5229640.0,3216000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-542000.0,6594000.0,3998000.0,888000.0,182372.0,18000.0
,operatingExpenses,141761000.0,129041000.0,89286000.0,60968000.0,0.0,0.0
,costAndExpenses,141761000.0,129041000.0,89286000.0,60968000.0,30390940.0,15946000.0
,interestExpense,1778000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,582000.0,356000.0,175000.0,89000.0,67226.0,42000.0
,EBITDA,-95894000.0,-128685000.0,-89111000.0,-60879000.0,-30241483.0,-15382000.0
,EBITDARatio,-2.11756652313128,0.0,0.0,0.0,0.0,-29.4674329501916
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-96476000.0,-129041000.0,-89286000.0,-60968000.0,-30390940.0,-15424000.0
,operatingIncomeRatio,-2.130418460859,0.0,0.0,0.0,0.0,-29.5478927203065
,totalOtherIncomeExpensesNet,-542000.0,6594000.0,3998000.0,847000.0,100141.0,-4839000.0
,incomeBeforeTax,-97844000.0,-122447000.0,-85288000.0,-60121000.0,-30290799.0,-20263000.0
,incomeBeforeTaxRatio,-2.16062713922933,0.0,0.0,0.0,0.0,-38.8180076628352
,incomeTaxExpense,1410000.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-99254000.0,-122447000.0,-85288000.0,-60121000.0,-30290799.0,-20263000.0
,netIncomeRatio,-2.1917632770233,0.0,0.0,0.0,0.0,-38.8180076628352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.62,-3.27,-2.56,-3.57,-1.63,-1.061706
,EPSDiluted,-2.62,-3.27,-2.56,-3.57,-1.63,-1.061706
,weightedAverageShsOut,38009204.0,37499256.0,33316719.0,18197970.0,18549167.0,20429389.0
,weightedAverageShsOutDil,38009204.0,37499256.0,33316719.0,18197970.0,18549167.0,20429389.0
