Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,4089900000.0,4090000000.0,4046200000.0,4046000000.0,4004400000.0,4004000000.0,4071400000.0,4071000000.0,4343500000.0,4344000000.0,4476600000.0,4583600000.0,5322700000.0,4835000000.0,3514586000.0
Revenue Growth,0.0108,,0.0104,,-0.0165,,-0.0626,,-0.0297,,-0.0233,-0.1389,0.1009,0.3757,-0.0701
Cost of Revenue,3284800000.0,3285000000.0,3260000000.0,3261000000.0,3137900000.0,3138000000.0,3198000000.0,3198000000.0,3484400000.0,3484000000.0,3601200000.0,3731900000.0,4412500000.0,3941800000.0,2814412000.0
Gross Profit,805100000.0,805000000.0,786200000.0,785000000.0,866500000.0,866000000.0,873400000.0,873000000.0,859100000.0,859000000.0,875400000.0,851700000.0,910200000.0,893200000.0,700174000.0
R&D Expenses,38000000.0,38000000.0,42900000.0,43000000.0,46500000.0,46000000.0,44100000.0,44000000.0,44100000.0,44000000.0,40500000.0,35700000.0,38700000.0,34300000.0,24342000.0
SG&A Expense,377900000.0,378000000.0,385200000.0,380000000.0,390500000.0,392000000.0,420000000.0,420000000.0,416600000.0,417000000.0,448500000.0,454200000.0,483400000.0,459100000.0,370926000.0
Operating Expenses,446100000.0,384000000.0,664200000.0,402000000.0,455200000.0,428000000.0,463800000.0,452000000.0,451400000.0,451000000.0,525200000.0,543400000.0,542800000.0,492400000.0,419951000.0
Operating Income,359000000.0,421000000.0,122000000.0,383000000.0,411300000.0,438000000.0,409600000.0,422000000.0,407700000.0,408000000.0,350200000.0,308300000.0,367400000.0,400800000.0,280223000.0
Interest Expense,76100000.0,76000000.0,65800000.0,66000000.0,60200000.0,60000000.0,51700000.0,52000000.0,60800000.0,61000000.0,68200000.0,70900000.0,76800000.0,73500000.0,42052000.0
Earnings before Tax,285700000.0,286000000.0,52700000.0,53000000.0,350900000.0,351000000.0,361300000.0,364000000.0,315700000.0,364000000.0,309800000.0,266100000.0,289000000.0,322700000.0,235021000.0
Income Tax Expense,60000000.0,60000000.0,-41300000.0,-41000000.0,114700000.0,115000000.0,122000000.0,122000000.0,124600000.0,125000000.0,97200000.0,92300000.0,104900000.0,117600000.0,87800000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,3200000.0,6400000.0,5289000.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,2600000.0,,48000000.0,,-20100000.0,-24900000.0,0.0,-1800000.0,0.0
