date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-83065000.0,-103686000.0,-49205000.0,-36658000.0,-31778000.0,-67431000.0,-30680000.0,-26014000.0,-18967000.0
,depreciationAndAmortization,4794000.0,7800000.0,3887000.0,2507000.0,1717000.0,614000.0,96000.0,47000.0,39000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,42655000.0,41697000.0,36637000.0,26143000.0,15760000.0,7325000.0,1998000.0,1577000.0,1125000.0
,changeInWorkingCapital,162500000.0,-30004000.0,-1732000.0,5084000.0,131851000.0,55915000.0,123457000.0,23298000.0,-5382000.0
,accountsReceivables,3369000.0,-2153000.0,-12214000.0,-13899000.0,-32181000.0,-16233000.0,167000.0,-748000.0,-2427000.0
,inventory,5366000.0,-938000.0,3846000.0,-16297000.0,-27031000.0,-49407000.0,-5487000.0,-1600000.0,-3597000.0
,accountsPayables,7678000.0,-7472000.0,5170000.0,2162000.0,-5586000.0,17051000.0,1283000.0,1227000.0,624000.0
,otherWorkingCapital,513941000.0,351441000.0,381445000.0,383177000.0,378093000.0,246242000.0,190327000.0,66870000.0,43572000.0
,otherNonCashItems,0.0,7912000.0,7382000.0,6884000.0,2181000.0,231000.0,534000.0,0.0,0.0
,netCashProvidedByOperatingActivites,1191000.0,-50225000.0,-5708000.0,-14273000.0,-58503000.0,-100430000.0,-31148000.0,-21095000.0,-22467000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-6025000.0,-3472000.0,-8217000.0,-4327000.0,-3368000.0,-5008000.0,-625000.0,-55000.0,-30000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-668371000.0,-218506000.0,-213723000.0,-287938000.0,-372309000.0,-190000000.0,-159265000.0,-70404000.0,-40350000.0
,salesMaturitiesOfInvestments,0.0,254308000.0,228373000.0,296334000.0,243890000.0,235272000.0,51835000.0,50760000.0,55706000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,100000.0,-606000.0,0.0,-200000.0,-50000.0
,netCashUsedForInvestingActivites,-369868000.0,32330000.0,6433000.0,4069000.0,-131687000.0,39658000.0,-108055000.0,-19899000.0,15276000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,1307000.0,0.0,0.0,0.0,-19500000.0,0.0,0.0,0.0,0.0
,commonStockIssued,147144000.0,35150000.0,9496000.0,12190000.0,10307000.0,118439000.0,131617000.0,111000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-3057000.0,-1742000.0,-991000.0,-51263000.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,346905000.0,32093000.0,7754000.0,11199000.0,145164000.0,122827000.0,152081000.0,47785000.0,1532000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,646000.0,259000.0,-258000.0,444000.0,-604000.0,-306000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-21126000.0,14457000.0,8221000.0,1439000.0,-45630000.0,61749000.0,12878000.0,6791000.0,-5659000.0
,cashAtEndOfPeriod,45203000.0,66329000.0,51872000.0,42845000.0,41406000.0,87036000.0,25287000.0,12409000.0,5618000.0
,cashAtBeginningOfPeriod,66329000.0,51872000.0,43651000.0,41406000.0,87036000.0,25287000.0,12409000.0,5618000.0,11277000.0
,operatingCashFlow,1191000.0,-50225000.0,-5708000.0,-14273000.0,-58503000.0,-100430000.0,-31148000.0,-21095000.0,-22467000.0
,capitalExpenditure,-6025000.0,-3472000.0,-8217000.0,-4327000.0,-3368000.0,-5008000.0,-625000.0,-55000.0,-30000.0
,freeCashFlow,-4834000.0,-53697000.0,-13925000.0,-18600000.0,-61871000.0,-105438000.0,-31773000.0,-21150000.0,-22497000.0
