Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,9856000.0,1944000.0,11840000.0,25829000.0,11709000.0
Short-term investments,12331000.0,0.0,13786000.0,325000.0,1196000.0
Cash and short-term investments,22187000.0,1944000.0,25626000.0,26154000.0,12905000.0
Receivables,2168000.0,4326000.0,3722000.0,4378000.0,48000.0
Inventories,0.0,50000.0,481000.0,1476000.0,0.0
Total current assets,24358000.0,6482000.0,30247000.0,33820000.0,13585000.0
Property Plant & Equipment Net,1016000.0,1388000.0,1588000.0,757000.0,712000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,12143000.0,0.0,11900000.0,0.0
Tax assets,3000.0,162000.0,267000.0,0.0,0.0
Total non-current assets,1016000.0,13531000.0,1588000.0,12769000.0,870000.0
Total assets,25374000.0,20013000.0,31835000.0,46589000.0,14455000.0
Payables,3910000.0,4056000.0,4952000.0,2556000.0,1641000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0
Total current liabilities,21658000.0,7038000.0,21888000.0,16552000.0,12473000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,32000.0,6062000.0,614000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,167000.0,12384000.0,245000.0,12282000.0,257000.0
Total liabilities,21825000.0,19422000.0,22133000.0,28834000.0,12730000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-28161000.0,-17972000.0,-8861000.0,-808000.0,1690000.0
Total shareholders equity,3549000.0,591000.0,9702000.0,17755000.0,1725000.0
Investments,12331000.0,12143000.0,13786000.0,12225000.0,1196000.0
Net Debt,-9856000.0,,,,
Other Assets,3000.0,162000.0,,,
Other Liabilities,17748000.0,2982000.0,16936000.0,13996000.0,10832000.0
