Date,2018-12-31,2017-12-31,2016-12-31
Revenue,213861259.6237,116288996.5236,51088559.8272
Revenue Growth,0.839049832890238,1.27622381442991,
Cost of Revenue,185116620.4052,108021420.4958,52928365.5868
Gross Profit,28744639.2185,8267576.0278,-1839805.7595
R&D Expenses,13286815.0507,5969277.9625,4764516.1987
SG&A Expense,61398194.7902,24104710.5502,26003343.8445
Operating Expenses,74685009.8408,30073988.5127,30767860.0432
Operating Income,-45940370.6223,-21806412.4849,-32607665.8027
Interest Expense,1117463.8205,476650.6953,334077.6098
Earnings before Tax,-50510488.5673,-27911558.4946,-33509132.0374
Income Tax Expense,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,-50510488.5673,-27911558.4946,-33509132.0374
Preferred Dividends,0.0,0.0,0.0
Net Income Com,-50510488.5673,-27911558.4946,-33509132.0374
EPS,-0.767,-1.0611,-3.2181
EPS Diluted,-0.767,-1.0611,-3.2181
Weighted Average Shs Out,21892048.9146,65316000.0,65316000.0
Weighted Average Shs Out (Dil),9527478.437,3974483.2225,1499542.8366
Dividend per Share,0.0,0.0,0.0
Gross Margin,0.1344,0.0711,-0.036
EBITDA Margin,-0.0315,-0.0337,-0.0914
EBIT Margin,-0.231,-0.2359,-0.6494
Profit Margin,-0.0342,-0.0363,-0.0945
Free Cash Flow margin,-0.0247,0.0739,-0.3759
EBITDA,-46660553.5456,-25961726.2696,-32428075.018
EBIT,-49393024.7467,-27434907.7993,-33175054.4276
Consolidated Income,-50510488.5673,-27911558.4946,-33509132.0374
Earnings Before Tax Margin,-0.2362,-0.24,-0.6559
Net Profit Margin,-0.2362,-0.24,-0.6559
