date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,278678000.0,353880000.0,353571000.0,323149000.0,277507000.0,259838000.0,206649000.0,133958000.0,79889000.0,76330000.0
,costOfRevenue,21549000.0,33427000.0,31154000.0,28227000.0,25167000.0,23657000.0,17513000.0,15295000.0,13559000.0,7660000.0
,grossProfit,257129000.0,320453000.0,322417000.0,294922000.0,252340000.0,236181000.0,189136000.0,118663000.0,66330000.0,68670000.0
,grossProfitRatio,0.922674197460869,0.90554142647225,0.911887569964731,0.912650201609784,0.9093103957738,0.908954810304882,0.915252432869261,0.88582242195315,0.830277009350474,0.899646272763003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,44930000.0,57188000.0,61348000.0,59070000.0,53580000.0,48021000.0,36563000.0,23685000.0,21960000.0,18457000.0
,GeneralAndAdministrativeExpenses,49989000.0,65148000.0,54140000.0,61646000.0,59908000.0,83494000.0,58296000.0,30857000.0,34228000.0,21912000.0
,SellingAndMarketingExpenses,151915000.0,229342000.0,213415000.0,185397000.0,154406000.0,151002000.0,128569000.0,75180000.0,70327000.0,41992000.0
,otherExpenses,198000.0,0.0,0.0,0.0,0.0,13000.0,37000.0,18000.0,-18000.0,-1902000.0
,operatingExpenses,267381000.0,377269000.0,351580000.0,328585000.0,291239000.0,300163000.0,236641000.0,0.0,0.0,0.0
,costAndExpenses,288930000.0,410696000.0,382734000.0,356812000.0,316406000.0,323820000.0,254154000.0,156586000.0,151842000.0,94169000.0
,interestExpense,0.0,0.0,2649000.0,2610000.0,2530000.0,443000.0,380000.0,1988000.0,3359000.0,66000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,20547000.0,25591000.0,22677000.0,22472000.0,23345000.0,17646000.0,13213000.0,11569000.0,11768000.0,4148000.0
,EBITDA,10295000.0,-31225000.0,-6486000.0,-11191000.0,-15554000.0,-46336000.0,-34292000.0,-11059000.0,-60185000.0,-13691000.0
,EBITDARatio,0.0369422774671843,-0.0882361252401944,-0.0183442646597147,-0.0346310834939919,-0.0560490366008785,-0.178326495739653,-0.165943217726677,-0.0825557264217143,-0.753357783925196,-0.17936591117516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-10252000.0,-56816000.0,-29163000.0,-33663000.0,-38899000.0,-63982000.0,-47505000.0,-22628000.0,-71953000.0,-17839000.0
,operatingIncomeRatio,-0.0367879775224453,-0.16055159941223,-0.0824813120985601,-0.10417175977645,-0.140173040680055,-0.246238040625313,-0.229882554476431,-0.168918616282715,-0.900662168759153,-0.23370889558496
,totalOtherIncomeExpensesNet,-10055000.0,-1280000.0,0.0,0.0,0.0,13000.0,37000.0,18000.0,-18000.0,-1902000.0
,incomeBeforeTax,-19845000.0,-54601000.0,-28498000.0,-35013000.0,-41053000.0,-64305000.0,-47789000.0,-24477000.0,-75101000.0,-19608000.0
,incomeBeforeTaxRatio,-0.0712112186824938,-0.154292415508082,-0.0806005017379819,-0.108349399193561,-0.147935007044867,-0.24748112285347,-0.231256865506245,-0.182721450006719,-0.940066842744308,-0.256884580112669
,incomeTaxExpense,-6000.0,289000.0,-177000.0,-2164000.0,655000.0,606000.0,640000.0,579000.0,-606000.0,-10690000.0
,netIncome,76544000.0,-54890000.0,-28321000.0,-32849000.0,-41708000.0,-64911000.0,-48429000.0,-25056000.0,-74495000.0,-8918000.0
,netIncomeRatio,0.274668255118811,-0.155109076523115,-0.0800998950705799,-0.101652797935318,-0.150295307866108,-0.249813345238187,-0.23435390444667,-0.187043700264262,-0.932481317828487,-0.116834796279314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.723444071641227,-0.52,-0.28,-0.35,-0.49,-0.79,-0.68,-0.43,-1.18323,-0.15153
,EPSDiluted,0.723444071641227,-0.52,-0.28,-0.35,-0.49,-0.79,-0.68,-0.43,-1.18323,-0.15153
,weightedAverageShsOut,105805000.0,105805000.0,102149000.0,94865000.0,84483000.0,81914000.0,70837000.0,58853000.0,62959000.0,58853000.0
,weightedAverageShsOutDil,105805000.0,105805000.0,102149000.0,94865000.0,84483000.0,81914000.0,70837000.0,58853000.0,62959000.0,58853000.0
