date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,revenue,317220000.0,289016000.0,297141000.0,357451000.0,445738000.0,351049000.0,243657000.0,130682000.0,94787000.0,126416000.0,124370000.0,228000000.0,186986000.0,175520000.0,117110178.0,67451598.0,37370756.0,18057989.0,28359568.0,36577262.0,14782500.0,16006199.0,5265880.0
,costOfRevenue,271768000.0,306118000.0,330797000.0,297142000.0,307855000.0,342461000.0,312709000.0,171854000.0,69780000.0,47113000.0,52098000.0,35593000.0,47122000.0,40172000.0,30980916.0,6902119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,45452000.0,-17102000.0,-33656000.0,60309000.0,137883000.0,8588000.0,-69052000.0,-41172000.0,25007000.0,79303000.0,72272000.0,192407000.0,139864000.0,135348000.0,86129262.0,60549479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.143282264674358,-0.0591731945636228,-0.113266092528463,0.168719628704354,0.309336426331163,0.0244638212899054,-0.283398383793611,-0.315054866010621,0.26382309810417,0.627317744589292,0.581104768030876,0.843890350877193,0.747991828265218,0.7711257976299,0.735454966177235,0.897673009911492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,13481000.0,12727000.0,12575000.0,12296000.0,9790000.0,10787000.0,15341000.0,12982000.0,15394000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353739.0,373291.0,411504.0,412779.0,461674.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
