date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2006-10-31_FY,2005-10-31_FY,2004-10-31_FY,2003-10-31_FY,2002-10-31_FY,2001-10-31_FY,2000-10-31_FY,1999-10-31_FY,1998-10-31_FY,1997-10-31_FY,1996-10-31_FY,1995-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-14840000.0,14756000.0,32243000.0,53000.0,7230000.0,7709000.0,1376000.0,2120000.0,64517000.0,7231000.0,-12852000.0,-2267000.0,-12836000.0,-18131000.0,-11000000.0,-6894000.0,-3135000.0,-14576000.0,-2267000.0,-5551000.0,14501000.0,2614031.0,-9000000.0,-29321832.0,-748095.0,-8361096.0,-61428779.0
,depreciationAndAmortization,154710000.0,147449000.0,72899000.0,66796000.0,66610000.0,60611000.0,59258000.0,58890000.0,57740000.0,57481000.0,53997000.0,53800000.0,53548000.0,45281000.0,5900000.0,16394000.0,16937000.0,17762000.0,16937000.0,15309000.0,10705000.0,8772590.0,7500000.0,8642584.0,8783419.0,6040256.0,8625336.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5235000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,12405000.0,8730000.0,7662000.0,6787000.0,5826000.0,7647000.0,2500000.0,2574000.0,2736000.0,3110000.0,3718000.0,3607000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,54862000.0,-53386000.0,-74572000.0,-18828000.0,-10297000.0,14124000.0,791000.0,20668000.0,7340000.0,24186000.0,-3443000.0,7242000.0,-21218000.0,-8020000.0,29383000.0,145247000.0,-111258000.0,12443000.0,53000.0,-17681000.0,17600808.0,-6587808.0,-17808748.0,-8164219.0,10599616.0,-669928.0,-2971317.0
,accountsReceivables,25206000.0,-17482000.0,2145000.0,-37164000.0,-47055000.0,-34514000.0,-43973000.0,-31531000.0,-17350000.0,-57354000.0,-35985000.0,-24432000.0,0.0,0.0,-42000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,31905000.0,-84213000.0,-30827000.0,43745000.0,62573000.0,72870000.0,58746000.0,57955000.0,37287000.0,29947000.0,5761000.0,9204000.0,1962000.0,23180000.0,31200000.0,1817000.0,-143430000.0,-32172000.0,-44615000.0,-44668000.0,-26987000.0,-44587808.0,-38000000.0,-20191252.0,-12027033.0,-22626649.0,0.0
,otherNonCashItems,4655000.0,690000.0,3898000.0,4530000.0,13000.0,5369000.0,7912000.0,8436000.0,8163000.0,2282000.0,12765000.0,8761000.0,43442000.0,36800000.0,13200000.0,10182000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11877319.0,-11263605.0,-5193530.0,3357547.0
,netCashProvidedByOperatingActivites,233759000.0,104322000.0,116754000.0,142225000.0,91641000.0,67037000.0,61004000.0,66422000.0,75269000.0,57636000.0,66884000.0,76618000.0,45201000.0,29201000.0,400000.0,10251000.0,22002000.0,17054000.0,20271000.0,13696000.0,13586000.0,8106665.0,1100000.0,-1486695.0,-2869512.0,-973019.0,11883996.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-125437000.0,-101303000.0,-145372000.0,-88948000.0,-65892000.0,-133756000.0,-51168000.0,-55846000.0,-89941000.0,-85710000.0,-102067000.0,-36837000.0,-58058000.0,-45672000.0,-2500000.0,-9452000.0,-3069000.0,-3774000.0,-3069000.0,-7815000.0,-7469000.0,-4558698.0,-6800000.0,-3089632.0,-3098179.0,-682472.0,-592707.0
,acquisitionsNet,0.0,-27000000.0,-73000000.0,-19000000.0,-7000000.0,-55000000.0,-9000000.0,-9000000.0,-45000000.0,-43000000.0,-62000000.0,-6000000.0,-29000000.0,-17000000.0,13000000.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-143000.0,-2200000.0,-500000.0,-1374000.0,-265000.0,-3562000.0,-2009000.0,-2756000.0,-5094000.0,0.0,-315000.0,-938000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-235000.0,-30000.0,0.0,-2478707.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2640000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3202142.0,0.0,3935958.0,522000.0
,otherInvestingActivites,0.0,792000.0,248000.0,8429000.0,994000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-667000.0,0.0,0.0,0.0,0.0,0.0,-61000.0,-353000.0,-175000.0,-200000.0,0.0,0.0,-1100000.0,0.0
,netCashUsedForInvestingActivites,-126244000.0,-99465000.0,-146749000.0,-79320000.0,-65490000.0,-96796000.0,-53642000.0,-50660000.0,-87048000.0,-87739000.0,-101382000.0,-36283000.0,-56035000.0,-45864000.0,10200000.0,-13497000.0,-1702000.0,-3809000.0,-1702000.0,-6176000.0,-2833000.0,-3294198.0,-5900000.0,1282607.0,20741396.0,1565076.0,-3625510.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
