date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,revenue,666980000.0,633057000.0,409015000.0,345915000.0,296100000.0,255055000.0,222785000.0,211739000.0,213692000.0,189625000.0,170786000.0,154885000.0,135208000.0,130175000.0,118204000.0,108295000.0,98814000.0,84164000.0,185329000.0,106421000.0,82051000.0,65444000.0,61800000.0,59700000.0,53900000.0,64500000.0,43200000.0,41800000.0,38900000.0,60600000.0,53500000.0,64000000.0,0.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,48979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,7.34339860265675e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,213393000.0,253117000.0,139313000.0,124249000.0,113393000.0,100330000.0,89176000.0,80999000.0,77286000.0,71112000.0,61394000.0,59940000.0,46654000.0,43662000.0,39369000.0,35172000.0,30723000.0,26544000.0,25653000.0,40199000.0,29991000.0,20100000.0,15800000.0,17100000.0,17500000.0,20300000.0,15500000.0,13500000.0,14000000.0,20000000.0,25500000.0,21800000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,5677000.0,6714000.0,4586000.0,3083000.0,3020000.0,3002000.0,2403000.0,2428000.0,2656000.0,4302000.0,3193000.0,3304000.0,3920000.0,3911000.0,2713000.0,2745000.0,2329000.0,1602000.0,1427000.0,2714000.0,2893000.0,1575000.0,1300000.0,1200000.0,700000.0,1100000.0,1500000.0,900000.0,300000.0,2000000.0,4300000.0,4100000.0,0.0,0.0,0.0
,otherExpenses,59753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,65430.0,499000000.0,285000000.0,271000000.0,224000000.0,189000000.0,166000000.0,154000000.0,189000000.0,187000000.0,191000000.0,209000000.0,189000000.0,195000000.0,171000000.0,128000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
