Date,2018-12,2017-12,2016-12,2015-12,2014-12
Cash and cash equivalents,237000000.0,83000000.0,109000000.0,242000000.0,301000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,27000000.0,26000000.0,30000000.0,32000000.0,32000000.0
Inventories,26000000.0,32000000.0,33000000.0,28000000.0,32000000.0
Total current assets,1048000000.0,1037000000.0,1036000000.0,1063000000.0,1087000000.0
Property, Plant & Equipment Net,52000000.0,48000000.0,50000000.0,58000000.0,75000000.0
Goodwill and Intangible Assets,961000000,957000000,973000000,973000000,975000000
Long-term investments,,,,,
Tax assets,16000000.0,000000.0,000000.0,000000.0,000000.0
Total non-current assets,1882000000.0,1919000000.0,2186000000.0,2209000000.0,2528000000.0
Total assets,1415000000.0,1246000000.0,1271000000.0,1422000000.0,1515000000.0
Payables,27000000.0,24000000.0,41000000.0,38000000.0,54000000.0
Short-term debt,77000000.0,83000000.0,21000000.0,213000000.0,24000000.0
Total current liabilities,341000000.0,343000000.0,292000000.0,503000000.0,377000000.0
Long-term debt,1670000000.0,1741000000.0,1981000000.0,2021000000.0,2334000000.0
Total debt,1670000000.0,1741000000.0,1981000000.0,2021000000.0,2334000000.0
Deferred revenue,54000000.0,74000000.0,63000000.0,62000000.0,66000000.0
Tax Liabilities,190000000.0,144000000.0,175000000.0,160000000.0,172000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,1882000000.0,1919000000.0,2186000000.0,2209000000.0,2528000000.0
Total liabilities,2223000000.0,2262000000.0,2479000000.0,2712000000.0,2905000000.0
Other comprehensive income,-16000000.0,-10000000.0,-27000000.0,-37000000.0,-20000000.0
Retained earnings (deficit),2382000000.0,2203000000.0,2057000000.0,1995000000.0,1883000000.0
Total shareholders equity,-809000000.0,-1016000000.0,-1208000000.0,-1290000000.0,-1390000000.0
Investments,,,,,
Net Debt,1510000000,1741000000,1893000000,1992000000,2057000000
Other Assets,19000000,30000000,10000000,30000000,38000000
Other Liabilities,92000000,104000000,107000000,115000000,124000000
