date,,2021-01-31_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-04-04_FY,2012-03-27_FY,2012-01-28_FY,2011-03-29_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-02-01_FY,2002-02-02_FY,2001-02-03_FY,2000-01-29_FY,1999-01-30_FY,1998-01-31_FY,1997-02-01_FY,1996-02-03_FY,1995-01-28_FY,1994-01-31_FY,1993-01-31_FY,1992-01-31_FY,1991-01-31_FY,1990-01-31_FY,1989-01-31_FY,1988-01-31_FY,1987-01-31_FY
,revenue,575111000.0,825335000.0,829664000.0,849981000.0,956569000.0,1011091000.0,986914000.0,920000000.0,944000000.0,0.0,925528000.0,931500000.0,925528000.0,925500000.0,884000000.0,857718000.0,846400000.0,875900000.0,836400000.0,789600000.0,747267000.0,748300000.0,705700000.0,669100000.0,605000000.0,543700000.0,496900000.0,491500000.0,490000000.0,476200000.0,407900000.0,331300000.0,265100000.0,230300000.0,246200000.0,223200000.0,207900000.0,185700000.0
,costOfRevenue,433187000.0,508906000.0,522535000.0,553058000.0,601985000.0,616480000.0,600569000.0,571200000.0,582000000.0,0.0,565710000.0,574200000.0,565710000.0,565700000.0,552000000.0,562056000.0,572300000.0,572700000.0,547000000.0,528900000.0,508401000.0,496300000.0,466400000.0,445400000.0,403700000.0,371000000.0,354500000.0,344900000.0,341100000.0,324300000.0,274400000.0,220700000.0,180600000.0,160100000.0,172100000.0,154600000.0,134700000.0,109000000.0
,grossProfit,141924000.0,316429000.0,307129000.0,296923000.0,354584000.0,394611000.0,386345000.0,348800000.0,362100000.0,0.0,359818000.0,357300000.0,359818000.0,359800000.0,332000000.0,295662000.0,274100000.0,303200000.0,289400000.0,260700000.0,238866000.0,252000000.0,239300000.0,223700000.0,201400000.0,172700000.0,142400000.0,146600000.0,148900000.0,151900000.0,133500000.0,110600000.0,84500000.0,70200000.0,74100000.0,68600000.0,73200000.0,76700000.0
,grossProfitRatio,0.246776709191791,0.383394621577905,0.370184797701238,0.349328985000841,0.37068313942852,0.390282378144005,0.39146774693641,0.379130434782609,0.383580508474576,0.0,0.388770518017823,0.383574879227053,0.388770518017823,0.388762830902215,0.375565610859729,0.34470770113254,0.323842155009452,0.346158237241694,0.346006695361071,0.33016717325228,0.31965281485734,0.336763330215154,0.339095933116055,0.334329696607383,0.332892561983471,0.317638403531359,0.28657677601127,0.298270600203459,0.303877551020408,0.318983620327593,0.3272860995342,0.33383640205252,0.318747642399095,0.30481980026053,0.300974817221771,0.307347670250896,0.352092352092352,0.413031771674744
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,263627000.0,260962000.0,258606000.0,276058000.0,273796000.0,0.0,243200000.0,244300000.0,0.0,251121000.0,239000000.0,0.0,251100000.0,245500000.0,0.0,210900000.0,212200000.0,203200000.0,187600000.0,0.0,168900000.0,162100000.0,154200000.0,140700000.0,128000000.0,124400000.0,121600000.0,122700000.0,116100000.0,100800000.0,85000000.0,70500000.0,74400000.0,84800000.0,78600000.0,65900000.0,56500000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,14681000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,221173000.0,279258000.0,278973000.0,285947000.0,312335000.0,298676000.0,298260000.0,267700000.0,266700000.0,0.0,251121000.0,260800000.0,836000000.0,836000000.0,266900000.0,250217000.0,233100000.0,230300000.0,223400000.0,208000000.0,192897000.0,183900000.0,172900000.0,163600000.0,149300000.0,135600000.0,132200000.0,135400000.0,130500000.0,123000000.0,107000000.0,89100000.0,74800000.0,79300000.0,89300000.0,83100000.0,69100000.0,59000000.0
,costAndExpenses,654360000.0,788164000.0,801508000.0,839005000.0,914320000.0,915156000.0,898829000.0,838900000.0,848700000.0,0.0,816831000.0,835000000.0,565710000.0,838600000.0,818900000.0,812273000.0,805400000.0,803000000.0,770400000.0,736900000.0,701298000.0,680200000.0,639300000.0,609000000.0,553000000.0,506600000.0,486700000.0,480300000.0,471600000.0,447300000.0,381400000.0,309800000.0,255400000.0,239400000.0,261400000.0,237700000.0,203800000.0,168000000.0
,interestExpense,187000.0,29000.0,96000.0,114000.0,176000.0,264000.0,57000.0,75000.0,116000.0,0.0,0.0,1900000.0,-37000.0,1600000.0,-66000.0,53000.0,-9000.0,-41000.0,-183000.0,-717000.0,0.0,1300000.0,0.0,0.0,0.0,-200000.0,0.0,-300000.0,-300000.0,-400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,14681000.0,15485000.0,16463000.0,19643000.0,22716000.0,22963000.0,22026000.0,21800000.0,22500000.0,0.0,21825000.0,21800000.0,21822000.0,21800000.0,21800000.0,22572000.0,22200000.0,20900000.0,20300000.0,20400000.0,18695000.0,14900000.0,10900000.0,9500000.0,8600000.0,7600000.0,7800000.0,8300000.0,7800000.0,6800000.0,6200000.0,4100000.0,4300000.0,4900000.0,4500000.0,4500000.0,3200000.0,2500000.0
,EBITDA,-57938000.0,58721000.0,50110000.0,23430000.0,72006000.0,122354000.0,113556000.0,106175000.0,121616000.0,0.0,112634000.0,123900000.0,112594000.0,114200000.0,90634000.0,75235000.0,71391000.0,100559000.0,90417000.0,74383000.0,67972000.0,88000000.0,77200000.0,69500000.0,60700000.0,44200000.0,33200000.0,18900000.0,25600000.0,34900000.0,44500000.0,33100000.0,19400000.0,-10100000.0,-5900000.0,-3500000.0,4400000.0,18300000.0
,EBITDARatio,-0.100742291488078,0.0711480792647834,0.0603979442280248,0.0275653220483752,0.0752752807168119,0.121011857488594,0.115061697371807,0.115407608695652,0.128830508474576,0.0,0.121697020511535,0.133011272141707,0.121653801937921,0.123392760669908,0.102527149321267,0.0877153096938621,0.0843466446124764,0.114806484758534,0.108102582496413,0.0942033941236069,0.0909607944683761,0.117599893091006,0.109394927022814,0.103870871319683,0.100330578512397,0.0812948317086629,0.0668142483397062,0.0384537131230926,0.0522448979591837,0.0732885342293154,0.1090953665114,0.0999094476305463,0.0731799321010939,-0.0438558402084238,-0.0239642567018684,-0.0156810035842294,0.0211640211640212,0.098546042003231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
