Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-28,2013-12-29
Depreciation & Amortization,229311000.0,231737000.0,269678000.0,266797000.0,88890000.0,75516000.0
Stock-based compensation,23033000.0,32933000.0,37189000.0,32493000.0,27050000.0,7319000.0
Operating Cash Flow,469205000.0,222502000.0,284163000.0,25944000.0,378455000.0,359571000.0
Capital Expenditure,76188000.0,66832000.0,99659000.0,89084000.0,-89438000.0,-70869000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-74959000.0,-77911000.0,-2752332000.0
Investment purchases and sales,0.0,-5065000.0,-238058000.0,-362984000.0,837586000.0,53228000.0
Investing Cash flow,10974000.0,956340000.0,402337000.0,-125733000.0,718998000.0,-2759234000.0
Issuance (repayment) of debt,-0.0,-703527000.0,-27842000.0,-1114262000.0,-125022000.0,2609786000.0
Issuance (buybacks) of shares,0.0,0.0,-232065000.0,-339942000.0,-58903000.0,0.0
Dividend payments,-87709000.0,-586336000.0,-90296000.0,-719919000.0,0.0,0.0
Financing Cash Flow,-91782000.0,-1095566000.0,-358735000.0,-1092750000.0,-282967000.0,2609786000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,1063041000.0,83276000.0,327765000.0,-1192539000.0,814486000.0,210123000.0
Free Cash Flow,393017000.0,155670000.0,184504000.0,-63140000.0,289017000.0,288702000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,-0.3581,-0.3581
