date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,revenue,238645000.0,173317000.0,99239000.0,22112000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,17201000.0,16085000.0,8426000.0,1332000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,221444000.0,157232000.0,90813000.0,20780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.927922227576526,0.907193177818679,0.915093864307379,0.939761215629522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,159712000.0,116757000.0,99911000.0,83076000.0,107406000.0,68280000.0,45719000.0,60536000.0,54961000.0,36179000.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,144154000.0,152704000.0,184164000.0,186677000.0,77542000.0,30797000.0,13674000.0,6829000.0,9469000.0,5330000.0,46782.0,31993.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-212000.0,242000.0,59000.0,-192000.0,-293000.0,-35000.0,-510000.0,9085000.0,-2095000.0,0.0,0.0,0.0,0.0
,operatingExpenses,303866000.0,269461000.0,294876000.0,269753000.0,184948000.0,99077000.0,59393000.0,67365000.0,64430000.0,41509000.0,46782.0,31993.0,0.0
,costAndExpenses,321067000.0,285546000.0,303302000.0,271085000.0,184948000.0,99077000.0,59393000.0,67365000.0,64430000.0,41509000.0,46782.0,31993.0,0.0
,interestExpense,26574000.0,24363000.0,22450000.0,8298000.0,0.0,1885000.0,2467000.0,2440000.0,2667000.0,758000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1693000.0,2308000.0,2867000.0,1951000.0,586000.0,176000.0,77000.0,27000.0,44000.0,40000.0,0.0,0.0,0.0
