date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY,1986-03-31_FY
,revenue,44974000000.0,43666000000.0,46571000000.0,47631000000.0,81023000000.0,81023000000.0,81023000000.0,75868000000.0,70154000000.0,63919000000.0,62131000000.0,49332000000.0,44553781160.0,49919000000.0,41319000000.0,0.0,0.0,0.0,37357235300.0,24271708022.1633,13124384449.9323,5027363131.19111,3836969624.19093,2469390464.80396,1703663688.95877,1405941993.60651,1095935428.14594,826758404.686122,818483588.547559,774519079.014621,552352638.600526,368555127.147418,206765274.0534,94857217.16515,54684516.340539
,costOfRevenue,30682000000.0,30160000000.0,32771000000.0,34576000000.0,23648000000.0,23648000000.0,23648000000.0,24490000000.0,24086000000.0,19765000000.0,19944000000.0,15720000000.0,27489310660.0,58246000000.0,48920000000.0,0.0,0.0,0.0,21988004500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,14292000000.0,13506000000.0,13800000000.0,13055000000.0,57375000000.0,57375000000.0,57375000000.0,51378000000.0,46068000000.0,44154000000.0,42187000000.0,33612000000.0,17064470500.0,-8327000000.0,-7601000000.0,0.0,0.0,0.0,15369230800.0,10197466150.0,7122164100.0,2766197532.0,0.0,1394743053.0,967771287.0,804251040.0,706155008.0,588182720.0,0.0,429462900.0,350378588.0,169995318.0,98156318.0,27602775.0,0.0
,grossProfitRatio,0.317783608307022,0.3093024320982,0.296321745292135,0.274086204362705,0.708132258741345,0.708132258741345,0.708132258741345,0.677202509621975,0.656669612566639,0.690780519094479,0.679000820846276,0.681342738992946,0.383008356545961,-0.166810232576774,-0.183958953508071,0.0,0.0,0.0,0.411412425908295,0.420137970541189,0.542666524831703,0.5502283125,0.0,0.564812682675815,0.568053010269576,0.572037142113482,0.644339976484421,0.71143240475832,0.0,0.554489762274653,0.634338579223122,0.461248007362556,0.474723419826531,0.290992881985379,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294016073.342065,0.0,0.0,0.0,0.0,0.0,179991727.993611,116473139.00265,76682546.004939,55061596.19876,52178314.462043,47015839.038291,32926320.047627,24761949.04582,21648107.222636,18085106.678023,13922989.818119,33256660.836912,14721581.225361,6189805.807531,2744744.701833,1894180.754226,2125669.705973
,GeneralAndAdministrativeExpenses,5810000000.0,5410000000.0,5644000000.0,6080000000.0,22663000000.0,22663000000.0,22663000000.0,21696000000.0,19655000000.0,18727000000.0,18289000000.0,14220000000.0,4868131856.82938,-8574000000.0,-7552000000.0,0.0,0.0,0.0,14413529900.0,5106153150.0,2972538300.0,1054068218.0,0.0,476552296.0,280326546.0,249623808.0,166047232.0,110221776.0,0.0,0.0,80550612.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,3814000000.0,3891000000.0,4011000000.0,4349000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3155018633.17062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-3000000.0,-7000000.0,-32000000.0,-1000000.0,31850000000.0,31850000000.0,31850000000.0,32450000000.0,32048000000.0,27223000000.0,27291000000.0,21125000000.0,3432700480.2159,8948000000.0,6401000000.0,0.0,0.0,0.0,-5172028400.0,-2679217850.0,562909400.0,132466844.0,0.0,61896626.0,31678014.0,12843840.0,29506048.0,15496032.0,0.0,-912868.0,745839.0,-8994942.0,-20130500.0,-18634050.0,0.0
,operatingExpenses,43579000000.0,47585000000.0,56082000000.0,48182000000.0,11101619314.5074,12737484192.445,9676028662.73844,10033885620.5178,5517121259.66603,9523062640.61194,9327542777.48474,8108403292.12212,56784000000.0,20545726320.0,37830833550.0,27238421870.0,28233593100.0,25709372500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,36025000000.0,39609000000.0,42213000000.0,43953000000.0,54513000000.0,54513000000.0,54513000000.0,54146000000.0,51703000000.0,45950000000.0,45580000000.0,35345000000.0,31933671270.0,58620000000.0,47769000000.0,0.0,0.0,0.0,54325802300.0,18794235124.0665,11877459571.4172,3848326777.80462,2871670806.64314,1806650679.68161,1146467734.20446,960592850.915432,679080506.329114,444004494.852139,450025653.119833,774519079.014621,552352638.600526,368555127.147418,206765274.0534,94857217.16515,54684516.340539
,interestExpense,2806000000.0,1902000000.0,1191000000.0,1709000000.0,65000000.0,65000000.0,65000000.0,442000000.0,610000000.0,316000000.0,1141000000.0,161000000.0,1535417271.89745,0.0,0.0,0.0,0.0,752000000.0,1588836071.65269,1870040953.98699,646800605.432964,135559255.858903,102182532.488167,51675066.330374,20168889.770871,3537421.29226,902004.46761,1559898.029019,1928271.864938,1511994.297735,656107.457293,16061571.479248,20654503.525909,229258.777633,53854.523102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,11971000000.0,9795000000.0,10409000000.0,11086000000.0,8202000000.0,8202000000.0,8202000000.0,7960000000.0,7962000000.0,7458000000.0,7347000000.0,5405000000.0,7424534091.36008,0.0,0.0,0.0,0.0,0.0,17925415200.0,2615792580.10118,1263594997.21182,422388277.361682,369751686.708702,217854173.081333,142032723.747882,112587581.129517,102828509.30752,85697287.010057,84978199.982595,73119640.27051,45363977.431012,31354213.449552,21342187.924458,12774187.256177,7349558.44688
,EBITDA,20920000000.0,13852000000.0,14767000000.0,14764000000.0,34712000000.0,34712000000.0,34712000000.0,29682000000.0,26413000000.0,25427000000.0,23898000000.0,19392000000.0,20044643981.3601,374000000.0,-1151000000.0,-11000000.0,0.0,0.0,956848200.0,8093265478.19802,2510519875.72692,1601424630.74817,1335050504.25649,880593958.203676,699228678.502191,557936723.820595,519683431.124348,468451196.84404,453436135.410321,427610165.956781,270318994.842313,177151536.208382,97522337.408131,7740279.583875,-20298403.339822
,EBITDARatio,0.465157646640281,0.317226217194156,0.317085740052823,0.30996619848418,0.428421559310319,0.428421559310319,0.428421559310319,0.391232140032688,0.376500270832739,0.39780034105665,0.384638908113502,0.393091705181221,0.449897706984205,0.00749213726236503,-0.0278564340860137,0.0,0.0,0.0,0.0256134639599521,0.333444414822714,0.191286675981202,0.318541666666667,0.347943985753602,0.356603773584906,0.41042647268578,0.396841922609752,0.474191651969429,0.566611956030719,0.553995390689466,0.55209765329578,0.48939567941091,0.480664962062849,0.471657234777947,0.0815992690403186,-0.371191055497629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,8949000000.0,4057000000.0,4358000000.0,3678000000.0,26510000000.0,26510000000.0,26510000000.0,21722000000.0,18451000000.0,17969000000.0,16551000000.0,13987000000.0,12620109890.0,374000000.0,-1151000000.0,-11000000.0,0.0,0.0,-16968567000.0,5477472898.09684,1246924878.5151,1179036353.38649,965298817.547791,662739785.122343,557195954.754309,445349142.691078,416854921.816828,382753909.833983,368457935.427726,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.198981633832881,0.0929098154170293,0.0935775482596466,0.0772186181268502,0.327191044518223,0.327191044518223,0.327191044518223,0.286313070069067,0.263007098668643,0.281121419296297,0.266388759234521,0.283527933187383,0.283255642089705,0.00749213726236503,-0.0278564340860137,0.0,0.0,0.0,-0.454224378858143,0.225673153825646,0.0950082560650324,0.234523809523809,0.251578436134046,0.268381932532876,0.327057481101127,0.316762103071317,0.380364491475603,0.462957385935853,0.450171439700548,0.45573897525883,0.406079186155977,0.352011793415342,0.268544349199681,-0.0554851450129686,-0.506575136137173
