date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-04-04_FY,2007-12-31_FY,2006-12-31_FY
,revenue,140865000.0,108374000.0,279254000.0,249115000.0,241620000.0,220344000.0,192777000.0,171494000.0,153950000.0,130316000.0,124592000.0,123477000.0,131514000.0,72543000.0,72543000.0,15077000.0
,costOfRevenue,86427000.0,62740000.0,218458000.0,175303000.0,159680000.0,139930000.0,125750000.0,113621000.0,99663000.0,47195000.0,38304000.0,31653000.0,30184000.0,0.0,16249000.0,2688000.0
,grossProfit,54438000.0,45634000.0,60796000.0,73812000.0,81940000.0,80414000.0,67027000.0,57873000.0,54287000.0,83121000.0,86288000.0,91824000.0,101330000.0,72543000.0,56294000.0,12389000.0
,grossProfitRatio,0.386455116601001,0.42107885655231,0.217708609366383,0.296296890994119,0.339127555665922,0.364947536579167,0.347691892705043,0.337463701353983,0.352627476453394,0.63784186132171,0.69256453062797,0.743652664058894,0.770488313031312,1.0,0.776008712074218,0.821715195330636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,7195000.0,5502000.0,5716000.0,6234000.0,6253000.0,6608000.0,6316000.0,9477000.0,9159000.0,10609000.0,3506000.0,2876000.0,2817000.0,1477000.0,1477000.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,7195000.0,5502000.0,5716000.0,6234000.0,6253000.0,6608000.0,6316000.0,9477000.0,9159000.0,47823000.0,34970000.0,31140000.0,27848000.0,12283000.0,14586000.0,3633000.0
,costAndExpenses,93622000.0,68242000.0,224174000.0,181537000.0,165933000.0,146538000.0,132066000.0,123098000.0,108822000.0,95018000.0,73274000.0,62793000.0,58032000.0,12283000.0,30835000.0,6321000.0
,interestExpense,16741000.0,17036000.0,27397000.0,26605000.0,24302000.0,20143000.0,19225000.0,15991000.0,26658000.0,33820000.0,33259000.0,32115000.0,25448000.0,10809000.0,10809000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,41405000.0,29261000.0,73089000.0,73993000.0,71897000.0,62707000.0,57476000.0,52208000.0,48235000.0,37214000.0,31464000.0,28264000.0,25031000.0,13017000.0,13109000.0,2977000.0
,EBITDA,88648000.0,69393000.0,128169000.0,141571000.0,147584000.0,136513000.0,118187000.0,100604000.0,93363000.0,72512000.0,82782000.0,88948000.0,98513000.0,54725000.0,54817000.0,11733000.0
,EBITDARatio,0.629311752387037,0.640310406555078,0.458969253797618,0.568295767015234,0.610810363380515,0.619544893439349,0.613076248722617,0.586632768493358,0.606450146151348,0.556432057460327,0.664424682162579,0.720360876924448,0.749068540231458,0.754380160732255,0.755648374067794,0.778205213238708
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,47243000.0,40132000.0,55080000.0,67578000.0,75687000.0,73806000.0,60711000.0,48396000.0,45128000.0,35298000.0,51318000.0,60684000.0,73482000.0,41708000.0,41708000.0,8756000.0
,operatingIncomeRatio,0.335377844035069,0.370310222008969,0.19723978886605,0.271272303956004,0.31324807549044,0.334958065570199,0.314928648127111,0.282202292791585,0.29313413445924,0.270864667423801,0.411888403749839,0.491459948006511,0.558738993567225,0.574941758681058,0.574941758681058,0.580752139019699
,totalOtherIncomeExpensesNet,16876000.0,15711000.0,55184000.0,29095000.0,23198000.0,18396000.0,16699000.0,-51085000.0,66317000.0,-51822000.0,32399000.0,-12000.0,-54000.0,13881000.0,-3782000.0,-42000.0
,incomeBeforeTax,30367000.0,24421000.0,-104000.0,38483000.0,52489000.0,55410000.0,44012000.0,99481000.0,-21189000.0,87120000.0,18919000.0,0.0,0.0,27827000.0,0.0,0.0
,incomeBeforeTaxRatio,0.21557519610975,0.225340026205547,-0.000372420806864002,0.154478855147221,0.21723781143945,0.251470428057946,0.228305243882828,0.580084434440855,-0.137635595972718,0.66852880690015,0.151847630666495,0.0,0.0,0.383593179217843,0.0,0.0
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,30367000.0,-122455000.0,-104000.0,38483000.0,52489000.0,55410000.0,44012000.0,99481000.0,-21189000.0,87120000.0,17936000.0,29225000.0,49263000.0,27827000.0,27827000.0,4628000.0
,netIncomeRatio,0.21557519610975,-1.12992968793253,-0.000372420806864002,0.154478855147221,0.21723781143945,0.251470428057946,0.228305243882828,0.580084434440855,-0.137635595972718,0.66852880690015,0.143957878515475,0.236683754869328,0.374583694511611,0.383593179217843,0.383593179217843,0.306957617563176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.67052257920281,-7.1,-0.599999,1.540002,2.380002,3.37188064528339,2.170002,7.280007,-3.220003,12.460012,3.780004,8.050008,14.000014,2.05935245143386,6.650007,1.444308
,EPSDiluted,1.67052257920281,-7.1,-0.599999,1.540002,2.380002,3.37126641826824,2.170002,7.070007,-3.220003,12.460012,3.780004,8.050008,14.000014,3.16017608041863,6.650007,1.444308
,weightedAverageShsOut,18178144.0,18178144.0,18100455.0,17692174.0,17114744.0,16432966.0,13336153.0,10806447.0,9750857.0,6734041.0,4633897.0,3545303.0,3454958.0,13512500.0,3188285.0,3204303.0
,weightedAverageShsOutDil,18178144.0,18178144.0,18100455.0,17692174.0,17114744.0,16435960.0,13336153.0,13909862.0,9750857.0,6734041.0,4633897.0,3545303.0,3454958.0,8805522.0,3188285.0,3204303.0
