date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-30_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY,1983-12-31_FY
,revenue,15506000000.0,15434000000.0,15366000000.0,14904000000.0,14832000000.0,14813000000.0,15264000000.0,14548000000.0,14134000000.0,14730000000.0,13875000000.0,7687000000.0,13652000000.0,11331000000.0,6821000000.0,6865000000.0,6336000000.0,5615000000.0,4808000000.0,5221000000.0,4979000000.0,5194000000.0,3934000000.0,3992000000.0,4091000000.0,3525000000.0,3006000000.0,2816000000.0,2357000000.0,2234000000.0,2254600000.0,2173000000.0,0.0,0.0,0.0,0.0,648000000.0,593000000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3325000000.0,0.0,0.0,0.0,0.0,929000000.0,747000000.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173000000.0,0.0,0.0,0.0,0.0,648000000.0,593000000.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,5966000000.0,6276000000.0,6373000000.0,6201000000.0,5978000000.0,6104000000.0,6113000000.0,6336000000.0,6036000000.0,6211000000.0,5625000000.0,5717000000.0,5115000000.0,4120000000.0,2640000000.0,2549000000.0,2324000000.0,2002000000.0,1581000000.0,1588000000.0,1488000000.0,1251000000.0,1178000000.0,1066000000.0,1014000000.0,913000000.0,852000000.0,813000000.0,668000000.0,594000000.0,679500000.0,2108000000.0,0.0,0.0,0.0,0.0,501000000.0,445000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416000000.0,377000000.0,426000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,15235000000.0,14021000000.0,12007000000.0,10949000000.0,11174000000.0,11353000000.0,11544000000.0,11228000000.0,11327000000.0,10342000000.0,10072000000.0,13628000000.0,11104000000.0,6803000000.0,5406000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5433000000.0,0.0,0.0,0.0,0.0,1430000000.0,1192000000.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,1147000000.0,4360000000.0,2821000000.0,1074000000.0,437000000.0,300000000.0,354000000.0,343000000.0,534000000.0,604000000.0,608000000.0,592000000.0,2687000000.0,3451000000.0,2241000000.0,1447000000.0,808000000.0,721000000.0,948000000.0,1939000000.0,2507000000.0,1772000000.0,1859000000.0,1705000000.0,1622000000.0,1802000000.0,1245000000.0,1006000000.0,1226000000.0,1990000000.0,3078500000.0,3325000000.0,0.0,0.0,0.0,0.0,929000000.0,747000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,104000000.0,117000000.0,180000000.0,209000000.0,237000000.0,261000000.0,298000000.0,342000000.0,384000000.0,428000000.0,421000000.0,426000000.0,887000000.0,826000000.0,494000000.0,526000000.0,480000000.0,430000000.0,232000000.0,284000000.0,247000000.0,215000000.0,187000000.0,200000000.0,237000000.0,198000000.0,200000000.0,187000000.0,165000000.0,155000000.0,148600000.0,114700000.0,59400000.0,48500000.0,32200000.0,0.0,0.0,0.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179700000.0,0.0,0.0,0.0,0.0,1076000000.0,895000000.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0826967326277036,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000000.0,0.0,0.0,0.0,0.0,147000000.0,148000000.0
,operatingIncomeRatio,0.288146523926222,0.361993002462097,0.337888845503059,0.30931293612453,0.318567961165049,0.2858975224465,0.233425052410901,0.255155347814133,0.233621055610584,0.245553292600136,0.266234234234234,-0.287238194354104,0.142030471725754,0.284617421233783,0.318135170796071,0.344792425345958,0.347064393939394,0.31380231522707,0.285357737104825,0.394177360658878,0.452098815023097,0.546784751636504,0.480681240467717,0.444138276553106,0.404302126619408,0.420425531914894,0.39853626081171,0.314630681818182,0.237165888841748,0.0792300805729633,0.191696975073184,0.0299125632765762,0.0,0.0,0.0,0.0,0.226851851851852,0.249578414839798
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,4468000000.0,5587000000.0,5192000000.0,4610000000.0,4725000000.0,4235000000.0,3563000000.0,3712000000.0,3302000000.0,3617000000.0,3694000000.0,-2208000000.0,1939000000.0,3225000000.0,2170000000.0,2367000000.0,2199000000.0,1762000000.0,1372000000.0,2058000000.0,2251000000.0,2840000000.0,1891000000.0,1773000000.0,1654000000.0,1482000000.0,1198000000.0,886000000.0,559000000.0,177000000.0,432200000.0,65000000.0,0.0,0.0,0.0,0.0,147000000.0,148000000.0
,incomeBeforeTaxRatio,0.288146523926222,0.361993002462097,0.337888845503059,0.30931293612453,0.318567961165049,0.2858975224465,0.233425052410901,0.255155347814133,0.233621055610584,0.245553292600136,0.266234234234234,-0.287238194354104,0.142030471725754,0.284617421233783,0.318135170796071,0.344792425345958,0.347064393939394,0.31380231522707,0.285357737104825,0.394177360658878,0.452098815023097,0.546784751636504,0.480681240467717,0.444138276553106,0.404302126619408,0.420425531914894,0.39853626081171,0.314630681818182,0.237165888841748,0.0792300805729633,0.191696975073184,0.0299125632765762,0.0,0.0,0.0,0.0,0.226851851851852,0.249578414839798
,incomeTaxExpense,842000000.0,1120000000.0,938000000.0,496000000.0,1177000000.0,1013000000.0,912000000.0,1520000000.0,779000000.0,1048000000.0,1047000000.0,-1395000000.0,497000000.0,998000000.0,694000000.0,796000000.0,759000000.0,605000000.0,470000000.0,715000000.0,822000000.0,1101000000.0,699000000.0,669000000.0,634000000.0,568000000.0,449000000.0,327000000.0,190000000.0,55000000.0,123900000.0,14000000.0,0.0,0.0,0.0,0.0,39000000.0,57000000.0
,netIncome,3617000000.0,4441000000.0,4266000000.0,4090000000.0,3547000000.0,3158000000.0,2567000000.0,2111000000.0,2445000000.0,2516000000.0,2518000000.0,-1084000000.0,1419000000.0,2039000000.0,3011000000.0,1571000000.0,1440000000.0,1157000000.0,902000000.0,1343000000.0,1429000000.0,1739000000.0,1192000000.0,1104000000.0,1020000000.0,914000000.0,749000000.0,559000000.0,369000000.0,122000000.0,308300000.0,51000000.0,213000000.0,103400000.0,155200000.0,130300000.0,108000000.0,91000000.0
,netIncomeRatio,0.233264542757642,0.287741350265647,0.27762592737212,0.274422973698336,0.239145091693635,0.213191115911699,0.168173480083857,0.145105856475117,0.172987123248903,0.170807875084861,0.181477477477477,-0.141017301938337,0.103940814532669,0.17994881299091,0.441430875238235,0.22884195193008,0.227272727272727,0.206055209260908,0.187603993344426,0.25723041562919,0.287005422775658,0.334809395456296,0.302999491611591,0.276553106212425,0.249327792715717,0.259290780141844,0.249168330006653,0.198508522727273,0.156554942723801,0.0546105640107431,0.136742659451787,0.0234698573400828,0.0,0.0,0.0,0.0,0.166666666666667,0.153456998313659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,3.84941620202996,4.53,3.74,3.74,3.16,2.73,2.69,1.75,2.085965,2.06093689077034,2.06,-1.16,1.21,2.21,3.98,2.05,1.87,1.54,1.25,1.84,1.95,2.31,1.59,1.44,1.235,1.1425,0.98,0.72,0.56,0.16,0.5,0.1018,0.71,0.38,0.63,0.54,0.62069,0.54819
,EPSDiluted,3.84941620202996,4.51,3.72,3.72,3.15,2.71,2.67,1.74,2.085965,2.05719256990448,2.05,-1.16,1.2,2.18,3.93,2.03,1.85,1.52,1.24,1.81,1.92,2.27,1.53,1.355,1.205,1.075,0.925,0.68,0.53,0.16,0.5,0.1018,0.66,0.36,0.57,0.51,0.62069,0.54819
,weightedAverageShsOut,939623000.0,939623000.0,1034281000.0,1034281000.0,1066286000.0,1104719000.0,1129897000.0,1150689000.0,1163490341.0,1220804000.0,1222330097.0,1178907000.0,1142239000.0,923199000.0,756000000.0,765000000.0,772000000.0,752000000.0,721000000.0,731000000.0,733000000.0,751000000.0,751000000.0,760000000.0,817813765.0,790371991.0,751556000.0,738888889.0,601785714.0,486923077.0,616600000.0,501000000.0,506464000.0,272105263.0,236507937.0,226666667.0,174000000.0,166000000.0
,weightedAverageShsOutDil,939623000.0,943109000.0,1040290000.0,1040290000.0,1072013000.0,1112511000.0,1137480000.0,1154441000.0,1163490341.0,1223026000.0,1228292683.0,1178907000.0,1152621000.0,934704000.0,766000000.0,773000000.0,778000000.0,759000000.0,728000000.0,741000000.0,745000000.0,765000000.0,781000000.0,808000000.0,840000000.0,848000000.0,794594595.0,782352941.0,635849057.0,486923077.0,616600000.0,501000000.0,506464000.0,287222222.0,261403509.0,240000000.0,174000000.0,166000000.0
