Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,14101955.5556,6764333.0715,2913901.0417,76903.1092
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,14101955.5556,6764333.0715,2913901.0417,76903.1092
Receivables,881991.8519,191389.6308,201848.2143,20707.8814
Inventories,311657.037,182956.0094,0.0,10821.4027
Total current assets,16894174.0741,7861495.6795,3301452.381,142667.3897
Property Plant & Equipment Net,3943530.3704,1094802.0424,167610.8631,11430.9472
Goodwill and Intangible Assets,917868.8889,989798.9002,18857.8869,0.0
Long-term investments,0.0,0.0,74404.7619,0.0
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,4943404.4444,2084600.9427,260873.5119,11430.9472
Total assets,21837578.5185,9946096.6222,3562325.8929,154098.3369
Payables,935452.5926,882788.6881,348214.2857,96102.6753
Short-term debt,4614.8148,1283597.8005,181306.5476,133767.1728
Total current liabilities,1349383.7037,2635251.3747,655636.9048,250481.5618
Long-term debt,0.0,0.0,0.0,0.0
Total debt,4614.8148,1283597.8005,181306.5476,133767.1728
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,110958.5185,117670.0707,0.0,0.0
Deposit Liabilities,224500.7407,285018.8531,126116.0714,20611.7137
Total non-current liabilities,3520648.1481,2871712.4902,0.0,0.0
Total liabilities,4870031.8519,5506963.8649,655636.9048,250481.5618
Other comprehensive income,0.0,0.0,0.0,0.0
Retained earnings (deficit),-23239775.5556,-16760056.5593,-7417544.6429,-720052.7838
Total shareholders equity,16967546.6667,4439132.7573,2906688.9881,-96383.2249
Investments,0.0,0.0,74404.7619,0.0
Net Debt,-14097340.7408,,,
Other Assets,7511395.5555,,,
Other Liabilities,409316.2963,468864.8861,126116.0715,20611.7137
