date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,revenue,1153000000.0,1593900000.0,1590100000.0,1445400000.0,1456600000.0,1570100000.0,1581300000.0,1541800000.0,1486200000.0
,costOfRevenue,743000000.0,1027000000.0,1020900000.0,908500000.0,923800000.0,1068400000.0,1073300000.0,1030900000.0,997600000.0
,grossProfit,410000000.0,566900000.0,569200000.0,536900000.0,532800000.0,501700000.0,508000000.0,510900000.0,488600000.0
,grossProfitRatio,0.355594102341717,0.355668486103269,0.35796490786743,0.371454268714543,0.365783331044899,0.319533787656837,0.321254663884146,0.331365935919056,0.32875790606917
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,285000000.0,348800000.0,309700000.0,278200000.0,290100000.0,291600000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,10000000.0,4400000.0,-4200000.0,-3600000.0,-4300000.0,1800000.0,-600000.0,700000.0,1200000.0
,operatingExpenses,285000000.0,387500000.0,346700000.0,309400000.0,321300000.0,323900000.0,0.0,0.0,0.0
,costAndExpenses,1028000000.0,1414500000.0,1367600000.0,1217900000.0,1245100000.0,1392300000.0,1405100000.0,1351200000.0,1309200000.0
,interestExpense,-81000000.0,92600000.0,89000000.0,86900000.0,85300000.0,1400000.0,0.0,1000000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,21000000.0,38700000.0,37000000.0,31200000.0,31200000.0,31400000.0,31800000.0,31400000.0,31300000.0
,EBITDA,84000000.0,218100000.0,259500000.0,258700000.0,242700000.0,209200000.0,208000000.0,222000000.0,208300000.0
,EBITDARatio,0.0728534258456201,0.136834180312441,0.163197283189737,0.178981596789816,0.166620897981601,0.133239921024139,0.131537342692721,0.14398754702296,0.140156102812542
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,63000000.0,179400000.0,222500000.0,227500000.0,211500000.0,177800000.0,176200000.0,190600000.0,177000000.0
,operatingIncomeRatio,0.0546400693842151,0.112554112554113,0.139928306395824,0.157395876573959,0.145201153370864,0.113241194828355,0.11142730664643,0.123621740822415,0.119095680258377
,totalOtherIncomeExpensesNet,-4000000.0,-6400000.0,-39000000.0,-16400000.0,-16600000.0,4100000.0,-4300000.0,-2200000.0,-1000000.0
,incomeBeforeTax,-13000000.0,75700000.0,89000000.0,118800000.0,104800000.0,196300000.0,187200000.0,204600000.0,179500000.0
,incomeBeforeTaxRatio,-0.0112749349522984,0.0474935692326997,0.0559713225583297,0.0821917808219178,0.0719483729232459,0.125023883829055,0.118383608423449,0.13270203658062,0.120777822634908
,incomeTaxExpense,-6000000.0,19800000.0,10800000.0,-15200000.0,25300000.0,39300000.0,25900000.0,55300000.0,47500000.0
,netIncome,-7000000.0,55900000.0,78200000.0,134000000.0,79500000.0,157100000.0,161300000.0,146100000.0,132000000.0
,netIncomeRatio,-0.00607111882046834,0.0350712089842525,0.0491792968995661,0.092707900927079,0.0545791569408211,0.100057321189733,0.102004679693923,0.0947593721624076,0.0888171174808236
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.0494656973302664,0.4,0.54,0.96,0.58,1.147379,0.607651,1.06704,0.964061
,EPSDiluted,-0.0494487359550314,0.39,0.53,0.95,0.57,1.147379,0.607651,1.06704,0.964061
,weightedAverageShsOut,141512207.0,140953496.0,140023635.0,138995541.0,137906284.0,136920805.0,136920805.0,136920805.0,136920805.0
,weightedAverageShsOutDil,141560747.0,141567785.0,141388785.0,140707092.0,139714120.0,136920805.0,136920805.0,136920805.0,136920805.0
