Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2012-12-31
Cash and cash equivalents,6215000.0,6000000.0,7834000.0,8000000.0,4530000.0,5000000.0,7000000.0,8000000.0,4739000.0
Short-term investments,0.0,70000000.0,0.0,61000000.0,0.0,60000000.0,68000000.0,82000000.0,0.0
Cash and short-term investments,6215000.0,70000000.0,7834000.0,61000000.0,4530000.0,60000000.0,68000000.0,82000000.0,4739000.0
Receivables,20735000.0,21000000.0,19569000.0,20000000.0,24997000.0,25000000.0,17000000.0,20000000.0,24611000.0
Inventories,4926000.0,5000000.0,6215000.0,6000000.0,10742000.0,11000000.0,13000000.0,16000000.0,23029000.0
Total current assets,31876000.0,45000000.0,33618000.0,41000000.0,40269000.0,48000000.0,85000000.0,94000000.0,52379000.0
Property Plant & Equipment Net,1185000.0,1000000.0,1336000.0,1000000.0,2485000.0,2000000.0,2000000.0,2000000.0,1800000.0
Goodwill and Intangible Assets,21737000.0,22000000,23000000.0,23000000,25400000.0,26000000,60000000,67000000,71265000.0
Long-term investments,0.0,22000000.0,0.0,16000000.0,0.0,20000000.0,22000000.0,25000000.0,0.0
Tax assets,0.0,,0.0,,0.0,,,,0.0
Total non-current assets,115713000.0,69000000.0,102362000.0,54000000.0,111191000.0,96000000.0,84000000.0,83000000.0,190249000.0
Total assets,147589000.0,148000000.0,135980000.0,136000000.0,151460000.0,151000000.0,192000000.0,221000000.0,242628000.0
Payables,12516000.0,,11995000.0,,23233000.0,,,,18968000.0
Short-term debt,0.0,,0.0,,0.0,,,,7551000.0
Total current liabilities,15375000.0,63000000.0,14147000.0,70000000.0,25133000.0,77000000.0,72000000.0,80000000.0,30858000.0
Long-term debt,52639000.0,53000000.0,42053000.0,42000000.0,62082000.0,62000000.0,81000000.0,78000000.0,7551000.0
Total debt,52639000.0,53000000.0,42053000.0,42000000.0,62082000.0,62000000.0,81000000.0,78000000.0,15102000.0
Deferred revenue,2859000.0,3000000.0,2152000.0,2000000.0,1900000.0,2000000.0,5000000.0,4000000.0,4339000.0
Tax Liabilities,0.0,3000000.0,0.0,2000000.0,0.0,2000000.0,2000000.0,2000000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,,,0.0
Total non-current liabilities,55572000.0,69000000.0,43768000.0,54000000.0,63921000.0,96000000.0,84000000.0,83000000.0,7901000.0
Total liabilities,132046000.0,132000000.0,123292000.0,123000000.0,172630000.0,173000000.0,156000000.0,164000000.0,154584000.0
Other comprehensive income,151985000,-3000000.0,144767000,-5000000.0,85391000,-1000000.0,-1000000.0,0000000.0,86133000
Retained earnings (deficit),-133514000.0,-134000000.0,-127388000.0,-127000000.0,-105514000.0,-106000000.0,-51000000.0,-29000000.0,1743000.0
Total shareholders equity,15543000.0,16000000.0,12688000.0,13000000.0,-21170000.0,-21000000.0,36000000.0,58000000.0,88044000.0
Investments,0.0,22000000.0,0.0,16000000.0,0.0,20000000.0,22000000.0,25000000.0,0.0
Net Debt,46424000.0,47000000,34219000.0,34000000,57552000.0,57000000,74000000,70000000,10363000.0
Other Assets,0.0,0,0.0,0,0.0,0,0,0,0.0
Other Liabilities,61099000.0,27000000,65377000.0,22000000,83576000.0,55000000,26000000,36000000,115825000.0
