date,,2019-12-31_FY,2019-09-30_FY,2019-06-30_FY,2019-03-31_FY,2018-12-31_FY,2018-09-30_FY,2018-06-30_FY,2018-03-31_FY,2017-12-31_FY,2017-09-30_FY,2017-06-30_FY,2017-03-31_FY,2016-12-31_FY,2016-09-30_FY,2016-06-30_FY,2016-03-31_FY,2015-12-31_FY,2015-09-30_FY,2015-06-30_FY,2015-03-31_FY,2014-12-31_FY,2014-09-30_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-09-30_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2012-09-30_FY,2012-06-30_FY,2012-03-31_FY,2011-12-31_FY,2011-09-30_FY,2011-06-30_FY,2011-03-31_FY,2010-12-31_FY,2010-09-30_FY,2010-06-30_FY,2010-03-31_FY,2009-12-31_FY,2009-09-30_FY,2009-06-30_FY,2009-03-31_FY,2008-12-31_FY,2008-09-30_FY,2008-06-30_FY,2008-03-31_FY,2007-12-31_FY,2007-09-30_FY,2007-06-30_FY,2007-03-31_FY,2006-12-31_FY,2006-09-30_FY,2006-06-30_FY,2006-03-31_FY,2005-12-31_FY,2005-09-30_FY,2005-06-30_FY,2005-03-31_FY,2004-12-31_FY,2004-09-30_FY,2004-06-30_FY,2004-03-31_FY,2003-12-31_FY,2003-09-30_FY,2003-06-30_FY,2003-03-31_FY,2002-12-31_FY,2002-09-30_FY,2002-06-30_FY,2002-03-31_FY,2001-12-31_FY,2001-09-30_FY,2001-06-30_FY,2001-03-31_FY,2000-12-31_FY,2000-09-30_FY,2000-06-30_FY,2000-03-31_FY,1999-12-31_FY,1999-09-30_FY,1999-06-30_FY,1999-03-31_FY,1998-12-31_FY,1998-09-30_FY,1998-06-30_FY,1998-03-31_FY,1997-12-31_FY,1996-12-31_FY
,revenue,67826000000.0,17875000000.0,16924000000.0,15208000000.0,56771000000.0,14858000000.0,13276000000.0,12631000000.0,40786000000.0,12276000000.0,9444000000.0,6001000000.0,24411000000.0,6285000000.0,5973000000.0,5218000000.0,19913000000.0,5056000000.0,4923000000.0,4396000000.0,18364000000.0,4659000000.0,4673000000.0,4338000000.0,20830000000.0,4501000000.0,5148000000.0,4951000000.0,18697000000.0,4661000000.0,4425000000.0,4039000000.0,15921000000.0,4423000000.0,3963000000.0,3413000000.0,13988000000.0,3550000000.0,3376000000.0,3031000000.0,12082000000.0,2844000000.0,2549000000.0,2033000000.0,12868000000.0,3216000000.0,3436000000.0,3210000000.0,9343000000.0,2219000000.0,2125000000.0,1841000000.0,6897000000.0,1405000000.0,1405000000.0,1183000000.0,5256000000.0,1356000000.0,1150000000.0,974000000.0,4027000000.0,994000000.0,838000000.0,768000000.0,3370000000.0,835000000.0,728000000.0,667000000.0,3055032856.29895,691000000.0,727000000.0,703000000.0,771936827.723966,224000000.0,183000000.0,209000000.0,9019203161.72057,254000000.0,282000000.0,262000000.0,980935003.072504,197000000.0,218000000.0,211000000.0,1045271419.38,289000000.0,205000000.0,243000000.0,1165852218.72816,4500186043.49095
,costOfRevenue,52728000000.0,13910000000.0,13385000000.0,11585000000.0,45519000000.0,11967000000.0,10781000000.0,10091000000.0,32388000000.0,10034000000.0,7332000000.0,4387000000.0,17718000000.0,4590000000.0,4330000000.0,3648000000.0,14433000000.0,3740000000.0,3595000000.0,3006000000.0,13118000000.0,3467000000.0,3229000000.0,2990000000.0,13928000000.0,3230000000.0,3606000000.0,3420000000.0,13909000000.0,3420000000.0,3284000000.0,2864000000.0,11821000000.0,3418000000.0,2898000000.0,2519000000.0,10564000000.0,2660000000.0,2560000000.0,2251000000.0,7567000000.0,2325000000.0,1917000000.0,1273000000.0,8059000000.0,2169000000.0,2202000000.0,1890000000.0,5691000000.0,1310000000.0,1031000000.0,707000000.0,0.0,550000000.0,705000000.0,472000000.0,2950000000.0,805000000.0,538000000.0,547000000.0,2323000000.0,445000000.0,505000000.0,409000000.0,1935000000.0,545000000.0,452000000.0,388000000.0,1844416106.10363,400000000.0,460000000.0,417000000.0,389968086.282491,115000000.0,73000000.0,96000000.0,8223096960.987,97000000.0,95000000.0,98000000.0,0.0,75000000.0,86000000.0,102000000.0,0.0,187000000.0,93000000.0,127000000.0,0.0,0.0
,grossProfit,15098000000.0,3965000000.0,3539000000.0,3623000000.0,11252000000.0,2891000000.0,2495000000.0,2540000000.0,8398000000.0,2242000000.0,2112000000.0,1614000000.0,6693000000.0,1695000000.0,1643000000.0,1570000000.0,5480000000.0,1316000000.0,1328000000.0,1390000000.0,5246000000.0,1192000000.0,1444000000.0,1348000000.0,6902000000.0,1271000000.0,1542000000.0,1531000000.0,4788000000.0,1241000000.0,1141000000.0,1175000000.0,4100000000.0,1005000000.0,1065000000.0,894000000.0,3424000000.0,890000000.0,816000000.0,780000000.0,4515000000.0,519000000.0,632000000.0,760000000.0,4809000000.0,1047000000.0,1234000000.0,1320000000.0,3652000000.0,909000000.0,1094000000.0,1134000000.0,0.0,855000000.0,700000000.0,711000000.0,2306000000.0,551000000.0,612000000.0,427000000.0,1704000000.0,549000000.0,333000000.0,359000000.0,1435000000.0,290000000.0,276000000.0,279000000.0,1210616750.19532,291000000.0,267000000.0,286000000.0,381968741.441475,109000000.0,110000000.0,114000000.0,796106200.733578,103000000.0,99000000.0,90000000.0,0.0,122000000.0,132000000.0,109000000.0,0.0,102000000.0,112000000.0,117000000.0,0.0,0.0
,grossProfitRatio,0.222599003332056,0.221818181818182,0.209111321200662,0.238229879011047,0.198199785101548,0.194575312962714,0.187933112383248,0.201092550075212,0.20590398666209,0.182632779406973,0.223634053367217,0.268955174137644,0.274179673098193,0.269689737470167,0.275071153524192,0.300881563817555,0.275197107417265,0.260284810126582,0.269754214909608,0.316196542311192,0.285667610542366,0.255848894612578,0.30900920179756,0.310742277547257,0.331349015842535,0.282381692957121,0.2995337995338,0.309230458493234,0.256083863721453,0.266251877279554,0.257853107344633,0.290913592473384,0.25752151246781,0.227221342979878,0.268735806207419,0.261939642543217,0.244781241063769,0.250704225352113,0.241706161137441,0.257340811613329,0.37369640787949,0.182489451476793,0.247940368772067,0.373831775700935,0.373717749456015,0.325559701492537,0.359138533178114,0.411214953271028,0.390880873381141,0.409643983776476,0.514823529411765,0.615969581749049,0.0,0.608540925266904,0.498220640569395,0.601014370245139,0.438736681887367,0.406342182890855,0.532173913043478,0.438398357289528,0.423143779488453,0.552313883299799,0.397374701670644,0.467447916666667,0.425816023738872,0.347305389221557,0.379120879120879,0.418290854572714,0.396269633467032,0.421128798842258,0.36726272352132,0.406827880512091,0.494818653189146,0.486607142857143,0.601092896174863,0.545454545454545,0.0882679086454581,0.405511811023622,0.351063829787234,0.343511450381679,0.0,0.619289340101523,0.605504587155963,0.516587677725118,0.0,0.352941176470588,0.546341463414634,0.481481481481481,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,23000000.0,23000000.0,26000000.0,0.0,25000000.0,24000000.0,27000000.0,0.0,24000000.0,20000000.0,25000000.0,0.0,20000000.0,25000000.0,23000000.0,0.0,25000000.0,29000000.0,29000000.0,0.0,27000000.0,33000000.0,33000000.0,0.0,36000000.0,36000000.0,44000000.0,0.0,41000000.0,35000000.0,42000000.0,0.0,115000000.0,116000000.0,112000000.0,0.0,94000000.0,109000000.0,93000000.0,0.0,87000000.0,91000000.0,96000000.0,0.0,167000000.0,148000000.0,165000000.0,0.0,108000000.0,105000000.0,110000000.0,0.0,70000000.0,84000000.0,71000000.0,0.0,60000000.0,39000000.0,65000000.0,0.0,22000000.0,13000000.0,18000000.0,0.0,16000000.0,19000000.0,14000000.0,0.0,12000000.0,14000000.0,13000000.0,6999427.128482,3000000.0,5000000.0,3000000.0,405054034.011337,14000000.0,45000000.0,35000000.0,0.0,3000000.0,12000000.0,5000000.0,0.0,1000000.0,8000000.0,8000000.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-389000000.0,-51000000.0,-889000000.0,-32000000.0,1062000000.0,-144000000.0,-95000000.0,-342000000.0,1085000000.0,29000000.0,0.0,-265000000.0,390000000.0,-325000000.0,-31000000.0,-35000000.0,39000000.0,-133000000.0,-12000000.0,0.0,67000000.0,7000000.0,-162000000.0,-35000000.0,373000000.0,-1200000000.0,0.0,0.0,-158000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334000000.0,0.0,-104000000.0,46000000.0,63000000.0,0.0,33000000.0,-11000000.0,-5000000.0,0.0,-4000000.0,-75000000.0,-20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
