Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,3389537.0,4391979.0,4899835.0,6960761.0,7649389.0,6895487.0
Revenue Growth,-0.2282,-0.1036,-0.2961,-0.09,0.1093,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,3389537.0,4391979.0,4899835.0,6960761.0,7649389.0,6895487.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,6888.0
SG&A Expense,968378.0,1372353.0,1641781.0,1025860.0,1009722.0,591463.0
Operating Expenses,3801304.0,7722446.0,7986584.0,4193189.0,4118033.0,3825885.0
Operating Income,-411767.0,-3330467.0,-3086749.0,2767572.0,3531356.0,3069602.0
Interest Expense,464811.0,614111.0,594600.0,917485.0,985023.0,1213422.0
Earnings before Tax,-472159.0,-5195643.0,-3681349.0,-166711.0,0.0,1731268.0
Income Tax Expense,0.0,3431536.0,-1310959.0,-146555.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,1891798.0,2546333.0,124912.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-472159.0,-8627179.0,-2370390.0,-20156.0,0.0,1731268.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-472159.0,-8627179.0,-2370390.0,-20156.0,0.0,1731268.0
EPS,-0.47,-25.68,-7.2,-0.1,0.0,
EPS Diluted,-0.47,-25.68,-7.2,-0.1,0.0,
Weighted Average Shs Out,2300000.0,330000.0,330000.0,330000.0,330000.0,
Weighted Average Shs Out (Dil),996710.0,335997.0,330000.0,330000.0,330000.0,
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0
EBITDA Margin,0.018,-1.021,-0.63,0.108,0.129,0.427
EBIT Margin,-0.0022,-1.0432,-0.63,0.1079,0.1288,0.427
Profit Margin,-0.139,-1.964,-0.484,-0.003,0.0,0.251
Free Cash Flow margin,-0.2237,-0.4142,-0.7389,0.317,0.2976,0.2718
EBITDA,60915.0,-4486085.0,-3086749.0,750774.0,985023.0,2944690.0
EBIT,-7348.0,-4581532.0,-3086749.0,750774.0,985023.0,2944690.0
Consolidated Income,-472159.0,-8627179.0,-2370390.0,1871642.0,2546333.0,1856180.0
Earnings Before Tax Margin,-0.1393,-1.183,-0.7513,-0.024,0.0,0.2511
Net Profit Margin,-0.1393,-1.9643,-0.4838,-0.0029,0.0,0.2511
