date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-02-01_FY,2002-02-02_FY,2001-02-03_FY,2000-01-29_FY,1999-01-30_FY,1998-01-31_FY,1997-02-01_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,revenue,1324000.0,2037875000.0,2131140000.0,2282379000.0,2476410000.0,2660635000.0,2675211000.0,2586000000.0,2581100000.0,2196400000.0,1905000000.0,1713200000.0,1582405000.0,1714300000.0,1646500000.0,1404600000.0,1066900000.0,768499000.0,531100000.0,378100000.0,259400000.0,155000000.0,106700000.0,75300000.0,67800000.0,60300000.0,59300000.0,46800000.0,32500000.0
,costOfRevenue,0.0,1335997000.0,1367726000.0,1417602000.0,1529574000.0,1633764000.0,1248889000.0,1169400000.0,1129300000.0,970000000.0,836400000.0,753400000.0,762913000.0,745300000.0,679400000.0,547500000.0,411900000.0,297477000.0,209800000.0,153900000.0,108700000.0,65000000.0,44200000.0,31100000.0,28600000.0,24400000.0,21300000.0,16200000.0,12400000.0
,grossProfit,1324000.0,701878000.0,763414000.0,864777000.0,946836000.0,1026871000.0,1426322000.0,1416600000.0,1451800000.0,1226400000.0,1068600000.0,959700000.0,819492000.0,969100000.0,967100000.0,857000000.0,655000000.0,471022000.0,321300000.0,224100000.0,150800000.0,90100000.0,62500000.0,44200000.0,39200000.0,35900000.0,38000000.0,30600000.0,20100000.0
,grossProfitRatio,1.0,0.344416610439796,0.358218606004298,0.378892813156798,0.382342180818201,0.385949594739602,0.533162430926009,0.547795823665893,0.562473364069583,0.558368238936441,0.560944881889764,0.560179780527667,0.51787753451234,0.565303622469813,0.587367142423322,0.610138117613555,0.613928203205549,0.612911662864883,0.604970815289023,0.592700343824385,0.581341557440247,0.581290322580645,0.585754451733833,0.586985391766268,0.578171091445428,0.595356550580431,0.640809443507589,0.653846153846154,0.618461538461539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,713951000.0,719748000.0,719607000.0,775107000.0,878699000.0,1263134000.0,1202100000.0,1161100000.0,996800000.0,787119000.0,758525000.0,835422000.0,764864000.0,647400000.0,514500000.0,398100000.0,289118000.0,199500000.0,146600000.0,99400000.0,62100000.0,45300000.0,37200000.0,36100000.0,30700000.0,31200000.0,22000000.0,15000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102481000.0,78075000.0,0.0,82736000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
