Date,2018-12-31,2017-12-31
Cash and cash equivalents,436086000.0,91995000.0
Short-term investments,0.0,0.0
Cash and short-term investments,436086000.0,91995000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,445223000.0,97131000.0
Property Plant & Equipment Net,1575000.0,440000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,17050000.0,0.0
Tax assets,0.0,0.0
Total non-current assets,19718000.0,913000.0
Total assets,464941000.0,98044000.0
Payables,13509000.0,1885000.0
Short-term debt,0.0,0.0
Total current liabilities,32577000.0,8550000.0
Long-term debt,54507000.0,0.0
Total debt,54507000.0,0.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,55002000.0,312000.0
Total liabilities,87579000.0,8862000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-179444000.0,-61427000.0
Total shareholders equity,314879000.0,-61427000.0
Investments,17050000.0,0.0
Net Debt,-381579000.0,-91995000.0
Other Assets,9137000.0,5136000.0
Other Liabilities,19068000.0,6665000.0
