date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,24956000000.0,85649000000.0,75177000000.0,36357000000.0,-5275000000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,4534000000.0,-3078000000.0,753000000.0,1173000000.0,593000000.0
,accountsReceivables,5621000000.0,-3213000000.0,-988000000.0,-1073000000.0,-2820000000.0
,inventory,2248000000.0,-1304000000.0,1720000000.0,1464000000.0,922000000.0
,accountsPayables,0.0,0.0,0.0,782000000.0,2491000000.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,52848000000.0,40950000000.0,47953000000.0,57204000000.0,77545000000.0
,netCashProvidedByOperatingActivites,82338000000.0,123521000000.0,123883000000.0,94734000000.0,72863000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4418000000.0,-5619000000.0,-264000000.0,0.0,0.0
,acquisitionsNet,-6427000000.0,-7707000000.0,-86000000.0,-212000000.0,-251000000.0
,purchasesOfInvestments,-164611000000.0,-190900000000.0,-176480000000.0,-122267000000.0,-62900000000.0
,salesMaturitiesOfInvestments,194217000000.0,201774000000.0,130624000000.0,104667000000.0,84868000000.0
,otherInvestingActivites,-69611000000.0,-65005000000.0,-48655000000.0,-46599000000.0,-49670000000.0
,netCashUsedForInvestingActivites,-50850000000.0,-67457000000.0,-94861000000.0,-64411000000.0,-27953000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-14447000000.0,-11724000000.0,-10864000000.0,-21921000000.0,-28278000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-25851000000.0,-28973000000.0,-23523000000.0,-16448000000.0,-14153000000.0
,otherFinancingActivites,1600000000.0,3006000000.0,7017000000.0,7098000000.0,-809000000.0
,netCashUsedProvidedByFinancingActivities,-38698000000.0,-37691000000.0,-27370000000.0,-31271000000.0,-43240000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-2450000000.0,311000000.0,208000000.0,-215000000.0,198000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-9660000000.0,18684000000.0,1860000000.0,-1163000000.0,1868000000.0
,cashAtEndOfPeriod,24019000000.0,33679000000.0,14432000000.0,12572000000.0,13735000000.0
,cashAtBeginningOfPeriod,33679000000.0,14995000000.0,12572000000.0,13735000000.0,11867000000.0
,operatingCashFlow,82338000000.0,123521000000.0,123883000000.0,94734000000.0,72863000000.0
,capitalExpenditure,-75418000000.0,-72014000000.0,-50675000000.0,-47734000000.0,-51347000000.0
,freeCashFlow,6920000000.0,51507000000.0,73208000000.0,47000000000.0,21516000000.0
