date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,462500000.0,482100000.0,427900000.0,326800000.0,307500000.0,287100000.0,263000000.0,212100000.0,123600000.0,169600000.0,190000000.0,223300000.0,192200000.0,197100000.0,166700000.0
,depreciationAndAmortization,299300000.0,260000000.0,212000000.0,173100000.0,111000000.0,104300000.0,97400000.0,93400000.0,73200000.0,57400000.0,57000000.0,56300000.0,51500000.0,62500000.0,48200000.0
,deferredIncomeTax,29000000.0,-3500000.0,-9300000.0,-14700000.0,-5900000.0,600000.0,-11600000.0,14100000.0,-8400000.0,12800000.0,3400000.0,7700000.0,-15000000.0,6100000.0,0.0
,stockBasedCompensation,60800000.0,58400000.0,55100000.0,46100000.0,43100000.0,38600000.0,34600000.0,27100000.0,28300000.0,30000000.0,27300000.0,29700000.0,34700000.0,24300000.0,24600000.0
,changeInWorkingCapital,-253000000.0,26000000.0,-30900000.0,-351600000.0,243700000.0,-43700000.0,58700000.0,-29600000.0,398400000.0,-537300000.0,-76900000.0,29100000.0,22400000.0,115800000.0,136000000.0
,accountsReceivables,-33500000.0,-34900000.0,-18600000.0,-44400000.0,-5300000.0,-4200000.0,19100000.0,-73200000.0,34700000.0,-39800000.0,27800000.0,31700000.0,87000000.0,-99200000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,43000000.0,16200000.0,6200000.0,1900000.0,-26800000.0,41300000.0,-12400000.0,8500000.0,9900000.0,-14000000.0,-2200000.0,13200000.0,0.0
,otherWorkingCapital,-13300000.0,239700000.0,213700000.0,244600000.0,596200000.0,352500000.0,396200000.0,337500000.0,367100000.0,-31300000.0,506000000.0,582900000.0,553800000.0,531400000.0,415600000.0
,otherNonCashItems,-26900000.0,-37600000.0,-21100000.0,600000.0,-4600000.0,8800000.0,2700000.0,11400000.0,126600000.0,164200000.0,1100000.0,-1400000.0,7000000.0,3500000.0,48900000.0
,netCashProvidedByOperatingActivites,598200000.0,616900000.0,693600000.0,515900000.0,437700000.0,431400000.0,387700000.0,270900000.0,284200000.0,214300000.0,493600000.0,358800000.0,482000000.0,160500000.0,426100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,-339000000.0,-355000000.0,-108000000.0,-449000000.0,-53000000.0,-203000000.0,-97000000.0,0.0,-72000000.0,-294000000.0,-35000000.0,-61000000.0,-6000000.0,0.0,20000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-3900000.0,-6200000.0,-3100000.0,-900000.0,-3500000.0,0.0,0.0,-1100000.0,6500000.0,0.0,0.0,0.0,-6100000.0,0.0,12400000.0
,netCashUsedForInvestingActivites,-441700000.0,-433500000.0,-249300000.0,-659300000.0,-136900000.0,-276400000.0,-150300000.0,-52000000.0,-110500000.0,-340800000.0,-88300000.0,-90700000.0,-52600000.0,-37900000.0,-20800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1292800000.0,-387400000.0,-390000000.0,-416800000.0,-475000000.0,-156900000.0,-400000000.0,0.0,-490000000.0,-40000000.0,0.0,-122600000.0,-306600000.0,-151000000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-69300000.0,-397800000.0,-277100000.0,-342800000.0,-119800000.0,-301700000.0,-129700000.0,-238500000.0,-51600000.0,-222100000.0,-268900000.0,-35500000.0,-1900000.0,0.0,0.0
,dividendsPaid,-241000000.0,-211200000.0,-165800000.0,-152200000.0,-138200000.0,-122300000.0,-96700000.0,-85800000.0,-78100000.0,-74800000.0,-66600000.0,-37900000.0,-33600000.0,0.0,0.0
,otherFinancingActivites,-9400000.0,-10800000.0,-9000000.0,39200000.0,8900000.0,40500000.0,18500000.0,4800000.0,-2600000.0,3800000.0,200000.0,400000.0,1700000.0,-836100000.0,-387900000.0
,netCashUsedProvidedByFinancingActivities,51200000.0,-173000000.0,-449900000.0,-311700000.0,108600000.0,-158300000.0,-158900000.0,-273200000.0,-88700000.0,-52500000.0,-273700000.0,-188600000.0,-320400000.0,-84000000.0,-387900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-4300000.0,-1100000.0,-1600000.0,-1600000.0,-5700000.0,-20200000.0,3100000.0,-200000.0,-6000000.0,7900000.0,100000.0,3100000.0,700000.0,-100000.0,200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
