date,,2021-06-30_FY,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY
,revenue,478925000.0,366926000.0,443588000.0,489180000.0,468764000.0
,costOfRevenue,382195000.0,313873000.0,373648000.0,390961000.0,360113000.0
,grossProfit,96730000.0,53053000.0,69940000.0,98219000.0,108651000.0
,grossProfitRatio,0.201973169076578,0.144587737036896,0.157668827831231,0.20078294288401,0.231781877447927
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,81298000.0,71949000.0,72562000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,67977000.0,72442000.0,81298000.0,75549000.0,72562000.0
,costAndExpenses,450172000.0,386315000.0,454946000.0,466510000.0,432675000.0
,interestExpense,10000.0,82000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,5210000.0,8370000.0,7440000.0,7367000.0,7936000.0
,EBITDA,36687000.0,-25305000.0,-35168000.0,32493000.0,45522000.0
,EBITDARatio,0.0766028083729185,-0.0689648593994429,-0.0792807740515974,0.0664234024285539,0.0971106996271045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,28753000.0,-19389000.0,-11358000.0,22670000.0,36089000.0
,operatingIncomeRatio,0.0657033982356319,-0.0919994767337283,-0.0256048405276969,0.0463428594791283,0.0769875673046565
,totalOtherIncomeExpensesNet,-2714000.0,14368000.0,31250000.0,-2456000.0,-1497000.0
,incomeBeforeTax,31467000.0,-33757000.0,-42608000.0,25126000.0,37586000.0
,incomeBeforeTaxRatio,0.0657033982356319,-0.0919994767337283,-0.0960530943127406,0.0513635062758085,0.0801810719253185
,incomeTaxExpense,8419000.0,-6913000.0,-10003000.0,7460000.0,13800000.0
,netIncome,23048000.0,-26844000.0,-32605000.0,17666000.0,23786000.0
,netIncomeRatio,0.0481244453724487,-0.0731591656083243,-0.0735028900691633,0.036113496054622,0.0507419511737249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,3.2,-3.37,-4.13,2.25,3.06
,EPSDiluted,3.09,-3.37,-4.13,2.23,3.02
,weightedAverageShsOut,7200000.0,7956000.0,7889000.0,7848000.0,7782000.0
,weightedAverageShsOutDil,7468000.0,7956000.0,7889000.0,7919000.0,7886000.0
