date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,revenue,-1992136000.0,275215000.0,1684265000.0,1564827000.0,734200000.0,-614879000.0,3997394000.0,2169711000.0,639716000.0,1471616000.0,2110828000.0,1245694000.0,490217000.0,147678000.0,118873000.0,279939000.0,196336000.0,233470000.0,99588893.0,18873914.0,20420570.0,17500000.0,5700000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,301634000.0,329873000.0,224124000.0,250356000.0,200240000.0,209338000.0,232081000.0,235559000.0,237344000.0,171487000.0,130152000.0,103622000.0,62666000.0,40063000.0,26278000.0,24029000.0,16233000.0,13963000.0,7311208.0,2286626.0,2281290.0,2100000.0,900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,1756000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,136413000.0,109927000.0,115857000.0,44144000.0,-47201000.0,-12737000.0,15481000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,3087000000.0,2228000000.0,1232000000.0,908000000.0,672000000.0,722000000.0,857000000.0,903000000.0,718000000.0,600000000.0,708000000.0,1994000000.0,1993000000.0,1099000000.0,603000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,2784875000.0,1897860000.0,1008354000.0,657752000.0,471596000.0,512659000.0,624714000.0,667172000.0,480326000.0,1163332000.0,1295762000.0,1888912000.0,1926465000.0,1055013000.0,568560000.0,270116000.0,182004000.0,191758000.0,168055304.0,92901697.0,69846206.0,75800000.0,19700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,31559000.0,72364000.0,26550000.0,34761000.0,19970000.0,4595000.0,2614000.0,4080000.0,2300000.0,1600000.0,2316000.0,4133000.0,66551000.0,65214000.0,154880000.0,179732000.0,216570000.0,106198000.0,36865112.0,2646753.0,6125909.0,8200000.0,2600000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,1.09125380998084,0.188118380175499,0.935718547853218,0.914600144297101,0.631698447289567,1.36116862016755,0.935086959153889,0.816611981964418,0.6289853622545,0.88322565125685,0.945530379547741,0.298754750364054,0.863401310032088,0.686317528677257,0.0125932718110925,0.903946931295747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,-2173926000.0,51773000.0,1575998000.0,1431191000.0,463793000.0,-836954000.0,3737911000.0,1771812000.0,402372000.0,1299769000.0,1995852000.0,372157000.0,423254000.0,101354000.0,1497000.0,253050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,1.09125380998084,0.188118380175499,0.935718547853218,0.914600144297101,0.631698447289567,1.36116862016755,0.935086959153889,0.816611981964418,0.6289853622545,0.88322565125685,0.945530379547741,0.298754750364054,0.863401310032088,0.686317528677257,0.0125932718110925,0.903946931295747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,-10835000.0,-2375000.0,6982000.0,-1595000.0,-1954000.0,5325000.0,8213000.0,35912000.0,59051000.0,35434000.0,34381000.0,25977000.0,8870000.0,7538000.0,10744000.0,4458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-2162865000.0,54408000.0,1569604000.0,1433756000.0,466556000.0,-842083000.0,3729698000.0,1735900000.0,344461000.0,1267280000.0,1961471000.0,346180000.0,414384000.0,93816000.0,-9247000.0,248592000.0,180103000.0,219507000.0,92277685.0,16587288.0,18139280.0,15500000.0,4900000.0
,netIncomeRatio,1.08570147821233,0.19769271296986,0.931922233140272,0.916239303130634,0.63546172704985,1.36951009873487,0.933032370589439,0.800060468882722,0.538459253793871,0.861148560494042,0.929242458409686,0.277901314448011,0.845307282285192,0.635274042172835,-0.0777889007596342,0.888022033371556,0.917320308043354,0.940193600890907,0.926586110360721,0.878847280961437,0.888284705079241,0.885714285714286,0.859649122807018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.6,-0.06,1.47252947906254,1.47842272383477,0.49263506637277,-0.96,3.86,1.74,0.394024543969933,2.12,3.55,0.64,1.32,0.559538886422785,-0.19,2.04,1.95,2.68,2.23,1.18,1.41,1.22,0.83
,EPSDiluted,-1.6,-0.06,1.47193850175588,1.47794301865795,0.492523440420329,-0.96,3.74,1.71,0.393886267103343,2.04,3.52,0.64,1.31,0.55927285038932,-0.19,2.03,1.94,2.67,2.21,1.15,1.35,1.19,0.78
,weightedAverageShsOut,1434912682.0,1209601809.0,1065923652.0,969787583.0,947062099.0,947539294.0,947337915.0,972902459.0,874212039.0,588192659.0,546973036.0,507024596.0,297488394.0,167666631.0,122475032.0,118223330.0,92215352.0,82044141.0,41439631.0,14089436.0,12889510.0,12709116.0,12714000.0
,weightedAverageShsOutDil,1434912682.0,1209601809.0,1066351616.0,970102353.0,947276742.0,947539294.0,995557026.0,1005755057.0,874518938.0,625307174.0,553130643.0,507024596.0,306263766.0,167746387.0,122475032.0,118459145.0,93031253.0,82282883.0,41857498.0,14377459.0,13454007.0,13020648.0,12714000.0
