date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-24374000.0,27143000.0,28020000.0,-17499000.0,-24258000.0,-21450000.0,-20329000.0
,depreciationAndAmortization,12101000.0,8292000.0,3836000.0,3957000.0,1677000.0,759000.0,345000.0
,deferredIncomeTax,-4945000.0,-22844000.0,-3434000.0,-1425000.0,-27000.0,-12000.0,-1000.0
,stockBasedCompensation,74916000.0,33125000.0,16647000.0,8886000.0,3284000.0,1482000.0,10677000.0
,changeInWorkingCapital,-24698000.0,387922000.0,225734000.0,96638000.0,19000.0,7187000.0,5911000.0
,accountsReceivables,-7368000.0,-35325000.0,-45640000.0,-15325000.0,-14248000.0,-6216000.0,-2718000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-2746000.0,2319000.0,4530000.0,-1483000.0,2134000.0,-802000.0,590000.0
,otherWorkingCapital,18871000.0,725155000.0,337233000.0,111499000.0,14861000.0,14842000.0,7655000.0
,otherNonCashItems,40696000.0,22385000.0,7276000.0,190000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,74782000.0,34192000.0,26089000.0,18943000.0,-6031000.0,-8035000.0,-3428000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-26358000.0,-11453000.0,-6728000.0,-3669000.0,-4307000.0,-2714000.0,-531000.0
,acquisitionsNet,0.0,-41000000.0,-4000000.0,-9000000.0,0.0,0.0,0.0
,purchasesOfInvestments,-1141598000.0,-602703000.0,-445705000.0,-91517000.0,-5720000.0,-36445000.0,-1050000.0
,salesMaturitiesOfInvestments,856110000.0,377974000.0,185112000.0,37862000.0,20762000.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,1000000.0,-1200000.0,0.0
,netCashUsedForInvestingActivites,-311846000.0,-277131000.0,-270858000.0,-66421000.0,11735000.0,-40359000.0,-1581000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-11000.0,-145241000.0,-327000.0,-328000.0,-274000.0,-3875000.0,-466000.0
,commonStockIssued,0.0,0.0,0.0,134757000.0,0.0,35000000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-606000.0,-34756000.0,-240000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-24610000.0,-94390000.0,-22093000.0,-2908000.0,-947000.0,26000.0,19914000.0
,netCashUsedProvidedByFinancingActivities,-1496000.0,563846000.0,215980000.0,135863000.0,823000.0,48531000.0,20693000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,801000.0,-444000.0,-166000.0,25000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-237759000.0,320463000.0,-28955000.0,88410000.0,6527000.0,137000.0,15684000.0
,cashAtEndOfPeriod,173665000.0,411424000.0,90961000.0,119716000.0,31306000.0,24779000.0,24642000.0
,cashAtBeginningOfPeriod,411424000.0,90961000.0,119916000.0,31306000.0,24779000.0,24642000.0,8958000.0
,operatingCashFlow,74782000.0,34192000.0,26089000.0,18943000.0,-6031000.0,-8035000.0,-3428000.0
,capitalExpenditure,-26358000.0,-11453000.0,-6728000.0,-3669000.0,-4307000.0,-2714000.0,-531000.0
,freeCashFlow,48424000.0,22739000.0,19361000.0,15274000.0,-10338000.0,-10749000.0,-3959000.0
