date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3929000000.0,-18749000000.0,5392000000.0,1511000000.0,-1038000000.0,-249619000.0,-1067880000.0,-26907000.0,78263000.0,212565000.0,185406000.0,124616000.0,22921048.89063,48237687.5486,32919803.36154,76765682.0853,32212257.91836,65378172.25643,-40600352.60752,3834472.5144,1354482.0494,1040820.3295,18868438.5574
,depreciationAndAmortization,16425000000.0,7605000000.0,3764000000.0,4857000000.0,2769000000.0,257822000.0,296919000.0,279738000.0,181967000.0,124718000.0,136864000.0,87595000.0,6466231.08089,4357478.7454,5117766.3715,4167335.26266,3603275.36952,3573171.39298,3629268.32295,1687811.202,1689892.9538,1541581.8235,1172913.3704
,deferredIncomeTax,8107000000.0,1830000000.0,233000000.0,2862000000.0,-197000000.0,303350000.0,-389415000.0,33519000.0,13419000.0,125443000.0,145952000.0,92682000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,211000000.0,44000000.0,33000000.0,101000000.0,54000000.0,30823000.0,68614000.0,10549000.0,2799000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,7572000000.0,92000000.0,1386000000.0,1332000000.0,-169000000.0,-275097000.0,259252000.0,183654000.0,-106483000.0,-299956000.0,-298845000.0,-84217000.0,-60120265.73294,-59891722.6963,-22501773.94372,-13653058.12842,-19958307.39858,21513040.4025,12197697.9692,9434881.4175,9577791.0586,-1237788.796,-35579768.6228
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202896000.0,-156883000.0,-143336000.0,-122966000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,722000000.0,485000000.0,-103000000.0,79000000.0,150000000.0,-131634000.0,-189686000.0,-52463000.0,279930000.0,-58549000.0,-36908000.0,92991000.0,-71005592.50437,-27629899.0242,9951668.57755,-8817176.0382,-17150946.45006,19095238.41307,-3379004.2926,5450926.8528,6056465.4646,7874190.935,-28100957.6842
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51317000.0,8963000.0,25105000.0,51101000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-3712000000.0,-331000000.0,-304000000.0,74000000.0,-149000000.0,-7887000.0,-7561000.0,-25014000.0,-1127000.0,-47236000.0,-102181000.0,-12612000.0,-5714678.84619,-1794285.46,11829817.98947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,38245000000.0,9362000000.0,22180000000.0,3962000000.0,5215000000.0,703036000.0,207922000.0,212425000.0,712393000.0,735339000.0,-37813000.0,34028000.0,11626606.5121,7328589.444,0.0,2.88642,-2.95989,2.78513,0.0,0.9999,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,35734000000.0,17874000000.0,13775000000.0,9241000000.0,4055000000.0,494514000.0,883163000.0,648519000.0,857038000.0,553237000.0,167609000.0,299536000.0,-76193697.92388,-54861782.7461,-21493890.23066,-10096503.76986,-333751.27662,11491557.7852,20797752.26161,7882127.7084,9994963.6074,-1559169.0255,-18072162.8444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-6116000000.0,-5711000000.0,-2436000000.0,-3646000000.0,-1145000000.0,-234628000.0,-169118000.0,-153314000.0,-242437000.0,-169952000.0,-211604000.0,-317188000.0,-27985718.06233,-28658497.791,-55832572.97988,0.0,0.0,-31166596.20628,-843785.28586,-1436166.369,-2674724.948,-6031499.7415,-20637706.633
,acquisitionsNet,-257000000.0,-15000000.0,-153000000.0,-341000000.0,-377000000.0,-681000000.0,-177000000.0,-42000000.0,0.0,-87000000.0,-3000000.0,51000000.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-12837000000.0,-36949000000.0,-27128000000.0,-6317000000.0,-13513000000.0,-4609605000.0,-3682960000.0,-1070005000.0,-482824000.0,-356337000.0,-323010000.0,-60519000.0,-407037149.22123,-710244.5416,-64680062.27831,-34403014.83924,-1203751.74432,0.0,-59361325.94571,-70073797.9194,0.0,0.0,0.0
,salesMaturitiesOfInvestments,36619000000.0,49915000000.0,26057000000.0,6789000000.0,14129000000.0,4486616000.0,3866661000.0,1193417000.0,0.0,67260000.0,19951000.0,0.0,0.0,0.0,0.0,93487671.43674,0.0,0.0,44021186.82898,34973650.2852,0.0,0.0,0.0
,otherInvestingActivites,5356000000.0,1403000000.0,-3043000000.0,-13000000.0,-779000000.0,10443000.0,-177000.0,-58062000.0,-10000000.0,0.0,6924000.0,-9755000.0,-3.02399,3763077.1167,0.0,1126650.54576,-13602556.32081,2557072.41508,3885264.51592,57859.2135,-2136007.713,213779.057,-7771339.4212
,netCashUsedForInvestingActivites,37856000000.0,7845000000.0,-8853000000.0,-6358000000.0,8652000000.0,873910000.0,-885945000.0,-93012000.0,-728777000.0,-791512000.0,-523439000.0,-367179000.0,-406167839.79194,-847127.5516,-110989088.97578,62706885.67032,-24618115.5036,-201572168.3746,35395298.70408,-29251640.5434,-5414191.945,18136440.2435,-30307139.3596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-86234000000.0,-49833000000.0,-23380000000.0,-22165000000.0,-15609000000.0,-2832503000.0,-1562453000.0,-957955000.0,-1079673000.0,-480841000.0,-335428000.0,-234671000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
