date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-897890000.0,-19025000.0,-21350000.0,-1068576000.0,211337000.0,-75574000.0,86162000.0,242251926.316662,308323855.370699,224408009.850301,654342.332757,160974840.965098,191928613.191525,154495749.923455,1084876.400639,135296277.433644,82960091.09641,37188511.769077,3620077.232232
,depreciationAndAmortization,776626000.0,713457000.0,705460000.0,802440000.0,882469000.0,779828000.0,472552000.0,613622303.84711,576509641.071759,555590694.057417,484287804.229286,474240644.162989,433716624.43968,410930642.83319,180117198.326492,55596877.923985,160496421.21245,163343954.258655,231611698.164685
,deferredIncomeTax,-78207000.0,-68293000.0,-34494000.0,-296265000.0,-153649000.0,-149241000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10818408.583986,0.0,0.0,0.0,0.0
,stockBasedCompensation,-6877000.0,26514000.0,33086000.0,0.0,0.0,0.0,0.0,11890690.159905,16331631.708414,11598729.829564,-357760.340471,1312396.125852,20438789.431189,31122515.928675,10297087.19925,0.0,0.0,0.0,0.0
,changeInWorkingCapital,125877000.0,52122000.0,-1103785000.0,-292321000.0,-809930000.0,-120655000.0,175251000.0,-206693087.353973,-122150659.930701,-90382995.269263,131630535.975529,113980743.882171,63485257.677423,-238297344.977911,-113981971.518695,-13275929.45719,127070003.253443,-59143861.063184,-34257111.976243
,accountsReceivables,0.0,-58213000.0,-54356000.0,45465000.0,0.0,0.0,323394000.0,-149954431.218758,-190015076.573121,65933510.465945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,16628000.0,84472000.0,12556000.0,51406000.0,0.0,0.0,16407000.0,19916319.147173,-26415743.116354,34828591.795736,-27575475.462163,-4912888.990773,49437592.226522,-46526309.650517,-29423642.914648,0.0,0.0,0.0,0.0
,accountsPayables,4595000.0,7180000.0,-51990000.0,-3031000.0,0.0,0.0,103963000.0,-62443039.023447,0.0,0.0,32320787.338742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,31076000.0,165686000.0,1071386000.0,-612160000.0,-52225000.0,1379440000.0,0.0,-11497141.594631,48894384.637765,33411962.931761,-13433967.282883,0.0,0.0,0.0,40690783.829798,0.0,0.0,0.0,0.0
,otherNonCashItems,-17029000.0,284191000.0,347798000.0,1397045000.0,98235000.0,315563000.0,318303000.0,241314314.120799,211968683.048113,220751733.523427,71369863.013699,28296750.530116,171988195.005151,244350970.300494,156168089.85205,183008610.581422,84872844.593862,38231552.963994,4757757.327093
,netCashProvidedByOperatingActivites,865631000.0,1093135000.0,29626000.0,663388000.0,281332000.0,769568000.0,1065910000.0,961430859.731006,1009507498.61137,1101704361.35053,1021814071.02008,996392343.400768,947746192.610741,734481753.1019,271867122.437936,225913467.802111,371741134.367205,181596413.233757,202155366.905569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,-242943479.741233,-268231655.11337,-293630809.109424,-411036225.779275,-346280090.437558,-385275660.496304,-308146560.124732,-280179917.477073,-133290659.768507,-101937676.919615,-30822307.775729,-47189652.7839,-48487360.567489
,acquisitionsNet,0.0,0.0,0.0,824000000.0,-283024000.0,-253467000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27341268.74534,0.0,0.0,-47171166.378508,0.0,0.0,-20272063.218977,0.0,0.0,-2802027.979612,-107422893.341561,-113276388.55368
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36087318.032441,0.0,0.0,0.0,0.0
,otherInvestingActivites,21402000.0,0.0,0.0,0.0,0.0,0.0,0.0,10712806.208401,-1776126.114212,-859309.182814,-9305758.744514,-9152386.956273,-5404126.179803,7637015.761004,-180704509.759928,3027324.087124,90987962.260059,1630920.746068,295916.975351
,netCashUsedForInvestingActivites,-268571000.0,-312190000.0,-511537000.0,295566000.0,-315985000.0,-3335410000.0,-320125000.0,-471665884.172443,-332341894.358188,-438570410.213207,-1602586780.15694,-597719066.995243,-640894284.043768,-189048945.135376,-4508906016.97264,-108133268.586183,15467411.343672,-167176303.162349,-847582820.025814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1013379000.0,-1264647000.0,-1899888000.0,-1754259000.0,-357513000.0,-79526000.0,0.0,-142202214.918943,-423761472.743143,-284251182.684207,-1656371857.95984,-1007236804.4014,-1333045632.98716,-59667283.887617,-576877086.93529,-177659864.267864,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10939018.858143,0.0,0.0,0.0,0.0,1926879066.63675,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3810511.308405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-40887000.0,-163503000.0,-163236000.0,-162528000.0,-161179000.0,-209589000.0,-177608000.0,-173879422.243089,-161636733.93816,0.0,-165999468.014364,-207031921.600092,-218211431.912465,-174515578.753991,-157605353.112751,-80519003.683481,-240780555.254311,-368031434.580557,0.0
,otherFinancingActivites,-126458000.0,0.0,0.0,0.0,0.0,0.0,0.0,-30253528.128366,-114942999.97355,-93484544.09954,374200026.599282,480670812.080922,-112391068.29635,12398851.094231,979040240.731698,94378841.894565,2578353.757727,4181202.221579,637409362.309412
