date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2004-02-18_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1187000000.0,1173000000.0,1097000000.0,1870000000.0,1491000000.0,659000000.0,411000000.0,1172000000.0,231000000.0,-1291000000.0,1452000000.0,424000000.0,-186000000.0,4168000000.0,5383000000.0,2868000000.0,2836000000.0,695000000.0,693188190.0,-3208649990.0
,depreciationAndAmortization,1520000000.0,1402000000.0,1089000000.0,1025000000.0,1267000000.0,1281000000.0,1187000000.0,1349000000.0,1433000000.0,1456000000.0,1422000000.0,1469000000.0,1190000000.0,851000000.0,834000000.0,1508000000.0,2293000000.0,0.0,2011277990.0,2186113180.0
,deferredIncomeTax,284000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,115000000.0,98000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-133000000.0,852000000.0,-1622000000.0,-351000000.0,977000000.0,-554000000.0,181000000.0,425000000.0,-564000000.0,-702000000.0,-4200000000.0,4101000000.0,-4260000000.0,2366000000.0,34000000.0,1650000000.0,1886000000.0,0.0,-90519420.0,565111210.0
,accountsReceivables,0.0,-274000000.0,-97000000.0,64000000.0,-220000000.0,161000000.0,-48000000.0,-530000000.0,-245000000.0,-339000000.0,-194000000.0,496000000.0,276000000.0,-439000000.0,-1335000000.0,-198000000.0,-435000000.0,-243000000.0,0.0,0.0
,inventory,-584000000.0,-175000000.0,-394000000.0,-144000000.0,44000000.0,22000000.0,-77000000.0,-165000000.0,-19000000.0,-81000000.0,-705000000.0,687000000.0,41000000.0,-389000000.0,2000000.0,-196000000.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,-369000000.0,311000000.0,181000000.0,570000000.0,-116000000.0,715000000.0,-722000000.0,806000000.0,-259000000.0,915000000.0,-479000000.0,-165000000.0,186000000.0,-33000000.0,279000000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-47000000.0,2481000000.0,1629000000.0,3251000000.0,3602000000.0,2625000000.0,3179000000.0,2998000000.0,2573000000.0,3137000000.0,3839000000.0,8039000000.0,3938000000.0,8198000000.0,5832000000.0,5798000000.0,4148000000.0,2262000000.0,306495580.0,815742320.0
,otherNonCashItems,159000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107194050.0,-12388610.0
,netCashProvidedByOperatingActivites,2777000000.0,2031000000.0,1780000000.0,1870000000.0,1904000000.0,1167000000.0,1303000000.0,1138000000.0,2198000000.0,836000000.0,2156000000.0,1545000000.0,1495000000.0,1519000000.0,342000000.0,2090000000.0,2697000000.0,1992000000.0,1988251120.0,2229949800.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-725000000.0,0.0,-524000000.0,-771000000.0,-780520060.0,-803151400.0,-996285800.0,-1388313760.0,-980000000.0,-978244960.0,-1161670430.0
,acquisitionsNet,-358000000.0,-122000000.0,-659000000.0,-2577000000.0,-189000000.0,-1176000000.0,-262000000.0,90000000.0,-291000000.0,-682000000.0,-296000000.0,-410000000.0,-7767000000.0,265000000.0,5589000000.0,-1478000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-144000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,65000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598698620.0,355457810.0
,netCashUsedForInvestingActivites,-1316000000.0,-603000000.0,-1486000000.0,-3199000000.0,-1167000000.0,-1941000000.0,-984000000.0,-997000000.0,-912000000.0,-1458000000.0,-702000000.0,-219000000.0,-3089000000.0,3973930780.0,3787692310.0,1296860160.0,652846800.0,742000000.0,740829990.0,-247772200.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-298000000.0,-363000000.0,-301000000.0,-284000000.0,-420000000.0,-280000000.0,-344000000.0,-285000000.0,133000000.0,-217000000.0,143000000.0,-51000000.0,-1726000000.0,-152000000.0,-543000000.0,-362000000.0,-1920000000.0,-1304000000.0,0.0,0.0
,commonStockIssued,46000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49229860.0,0.0
,commonStockRepurchased,-343000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19059400.0
,dividendsPaid,-1000000.0,-12000000.0,-20000000.0,-6000000.0,-48000000.0,-17000000.0,-41000000.0,-6000000.0,-15000000.0,-44000000.0,-19000000.0,-35000000.0,-65000000.0,-48000000.0,-4000000.0,-312000000.0,-1178000000.0,-569000000.0,-458949340.0,-459331540.0
,otherFinancingActivites,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1588060.0,0.0
