Date,2018-12,2017-12,2016-12,2015-12,2014-12
Cash and cash equivalents,131000000.0,167000000.0,134000000.0,222000000.0,40000000.0
Short-term investments,000000.0,000000.0,155000000.0,75000000.0,424000000.0
Cash and short-term investments,000000.0,000000.0,155000000.0,75000000.0,424000000.0
Receivables,000000.0,1000000.0,4000000.0,4000000.0,1000000.0
Inventories,,,,,
Total current assets,4000000.0,4000000.0,4000000.0,122000000.0,25000000.0
Property Plant & Equipment Net,0000000.0,1000000.0,3000000.0,3000000.0,2000000.0
Goodwill and Intangible Assets,0,0,0,0,0
Long-term investments,000000.0,000000.0,000000.0,95000000.0,000000.0
Tax assets,000000.0,4000000.0,000000.0,23000000.0,23000000.0
Total non-current assets,000000.0,125000000.0,328000000.0,331000000.0,331000000.0
Total assets,137000000.0,176000000.0,300000000.0,429000000.0,498000000.0
Payables,6000000.0,000000.0,000000.0,000000.0,000000.0
Short-term debt,,,,,
Total current liabilities,13000000.0,13000000.0,66000000.0,38000000.0,20000000.0
Long-term debt,,,,,
Total debt,,,,,
Deferred revenue,000000.0,000000.0,203000000.0,206000000.0,206000000.0
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,000000.0,125000000.0,328000000.0,331000000.0,331000000.0
Total liabilities,13000000.0,138000000.0,394000000.0,369000000.0,351000000.0
Other comprehensive income,000000.0,000000.0,-0000000.0,-0000000.0,-0000000.0
Retained earnings (deficit),-422000000.0,-485000000.0,-599000000.0,-406000000.0,-281000000.0
Total shareholders equity,124000000.0,38000000.0,-95000000.0,60000000.0,147000000.0
Investments,000000.0,000000.0,000000.0,95000000.0,000000.0
Net Debt,-131000000,-167000000,-134000000,-222000000,-40000000
Other Assets,4000000,0,0,0,0
Other Liabilities,0,133000000,137000000,137000000,134000000
