Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,8493000.0,8000000.0,4930000.0,5000000.0,8645000.0,9000000.0,34387000.0,34000000.0,67993000.0,68000000.0,51904000.0,0.0
Short-term investments,200000.0,,200000.0,,900000.0,,2700000.0,,1100000.0,,1100000.0,0.0
Cash and short-term investments,8693000.0,,5130000.0,,9545000.0,,37087000.0,,69093000.0,,53004000.0,0.0
Receivables,12937000.0,13000000.0,13378000.0,13000000.0,14640000.0,15000000.0,14304000.0,14000000.0,15767000.0,16000000.0,17813000.0,0.0
Inventories,2382000.0,2000000.0,2864000.0,3000000.0,4694000.0,5000000.0,5337000.0,5000000.0,9221000.0,9000000.0,16620000.0,0.0
Total current assets,35966000.0,123000000.0,33395000.0,99000000.0,39225000.0,102000000.0,63541000.0,108000000.0,101197000.0,115000000.0,109230000.0,0.0
Property Plant & Equipment Net,22086000.0,22000000.0,23507000.0,24000000.0,22540000.0,23000000.0,20856000.0,21000000.0,20315000.0,20000000.0,21021000.0,0.0
Goodwill and Intangible Assets,43518000.0,48000000,49992000.0,52000000,51073000.0,55000000,52341000.0,60000000,54093000.0,68000000,55240000.0,0.0
Long-term investments,0.0,1000000.0,0.0,1000000.0,0.0,2000000.0,0.0,000000.0,0.0,2000000.0,0.0,0.0
Tax assets,30614000.0,31000000.0,2534000.0,000000.0,2442000.0,000000.0,546000.0,000000.0,536000.0,000000.0,12234000.0,0.0
Total non-current assets,122588000.0,65000000.0,98545000.0,89000000.0,102160000.0,121000000.0,108025000.0,165000000.0,115013000.0,198000000.0,121229000.0,0.0
Total assets,158554000.0,159000000.0,131940000.0,132000000.0,141385000.0,141000000.0,171566000.0,172000000.0,216210000.0,216000000.0,230459000.0,0.0
Payables,2388000.0,2000000.0,2172000.0,2000000.0,1993000.0,2000000.0,1612000.0,2000000.0,1301000.0,1000000.0,3007000.0,0.0
Short-term debt,5958000.0,6000000.0,7350000.0,7000000.0,3850000.0,4000000.0,1076000.0,000000.0,995000.0,000000.0,1290000.0,0.0
Total current liabilities,107380000.0,107000000.0,104560000.0,105000000.0,94174000.0,94000000.0,81908000.0,82000000.0,81107000.0,81000000.0,78400000.0,0.0
Long-term debt,41841000.0,42000000.0,67130000.0,67000000.0,97872000.0,98000000.0,139723000.0,140000000.0,174491000.0,174000000.0,174328000.0,0.0
Total debt,47799000.0,42000000.0,74480000.0,67000000.0,101722000.0,98000000.0,140799000.0,140000000.0,175486000.0,174000000.0,175618000.0,0.0
Deferred revenue,86913000.0,14000000.0,83318000.0,11000000.0,74107000.0,11000000.0,61788000.0,9000000.0,53532000.0,8000000.0,45974000.0,0.0
Tax Liabilities,2631000.0,000000.0,5936000.0,000000.0,6236000.0,000000.0,6464000.0,000000.0,6389000.0,1000000.0,7141000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,65466000.0,65000000.0,88642000.0,89000000.0,121380000.0,121000000.0,164713000.0,165000000.0,198293000.0,198000000.0,198104000.0,0.0
Total liabilities,172846000.0,173000000.0,193202000.0,193000000.0,215554000.0,216000000.0,246621000.0,247000000.0,279400000.0,279000000.0,276504000.0,0.0
Other comprehensive income,276238000,-2000000.0,274159000,-2000000.0,272522000,-3000000.0,271459000,-4000000.0,271526000,-2000000.0,274922000,0.0
Retained earnings (deficit),-288490000.0,-288000000.0,-333545000.0,-334000000.0,-343975000.0,-344000000.0,-342650000.0,-343000000.0,-332695000.0,-333000000.0,-318442000.0,0.0
Total shareholders equity,-14292000.0,-14000000.0,-61262000.0,-61000000.0,-74169000.0,-74000000.0,-75055000.0,-75000000.0,-63190000.0,-63000000.0,-46045000.0,0.0
Investments,200000.0,1000000.0,200000.0,1000000.0,900000.0,2000000.0,2700000.0,000000.0,1100000.0,2000000.0,1100000.0,0.0
Net Debt,39306000.0,40000000,69550000.0,69000000,93077000.0,93000000,106412000.0,106000000,107493000.0,106000000,123714000.0,0.0
Other Assets,0.0,32000000,0.0,33000000,0.0,33000000,0.0,37000000,0.0,31000000,0.0,0.0
Other Liabilities,0.0,11000000,0.0,10000000,0.0,12000000,0.0,23000000,0.0,20000000,0.0,0.0
