date,,2015-02-28_FY,2014-02-28_FY,2013-02-28_FY,2012-02-29_FY,2011-02-28_FY,2010-02-28_FY,2009-02-28_FY,2008-02-29_FY,2007-02-28_FY,2006-02-28_FY,2005-02-28_FY,2004-02-29_FY,2003-02-28_FY
,revenue,145757900.0,81667770.0,86992410.0,102307440.0,102381510.0,92400000.0,114100000.0,109000000.0,73000000.0,43200000.0,23100000.0,14100000.0,14800000.0
,costOfRevenue,9655470.0,6333740.0,7043100.0,5693270.0,4778520.0,3900000.0,4200000.0,3500000.0,2400000.0,1600000.0,900000.0,600000.0,600000.0
,grossProfit,136102430.0,75334030.0,78221610.0,94642540.0,96855900.0,86800000.0,102100000.0,104700000.0,70300000.0,41600000.0,22200000.0,13500000.0,14300000.0
,grossProfitRatio,0.933756798087788,0.922445047783232,0.899177410994821,0.925079740046276,0.946029219533879,0.939393939393939,0.894829097283085,0.960550458715596,0.963013698630137,0.962962962962963,0.961038961038961,0.957446808510638,0.966216216216216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,9655470.0,6333740.0,7043100.0,5693270.0,4778520.0,3900000.0,4200000.0,3500000.0,2400000.0,1600000.0,900000.0,600000.0,600000.0
,interestExpense,184432080.0,-221975360.0,90010900.0,396887070.0,94772020.0,-65000000.0,120600000.0,207300000.0,22900000.0,-25200000.0,-16400000.0,-100000.0,29900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,504966590.0,-368616690.0,259971100.0,890388310.0,287147030.0,-41600000.0,351100000.0,520000000.0,116400000.0,-8800000.0,-10600000.0,13300000.0,74000000.0
,EBITDARatio,3.46442,-4.513613,2.988434,8.703065,2.804677,-0.450216,3.077125,4.770642,1.594521,-0.203704,-0.458874,0.943262,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
