date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,revenue,936900000.0,1038100000.0,975300000.0,893600000.0,1234500000.0,2420000000.0,2515300000.0,2719900000.0,2618900000.0,2859500000.0,2766400000.0,2780000000.0,3393000000.0,3549700000.0,817300000.0,3558400000.0,3497300000.0,3259000000.0,3172300000.0,3135400000.0,3003800000.0,3443800000.0,2746200000.0,2198700000.0,2156400000.0,2084900000.0,2752700000.0,1865000000.0,1912000000.0,1828700000.0,1865300000.0,1832700000.0,1790700000.0,1608700000.0,1295000000.0
,costOfRevenue,603800000.0,643000000.0,641800000.0,569800000.0,863300000.0,1817200000.0,1932000000.0,2097200000.0,1985700000.0,2187900000.0,2154600000.0,2159000000.0,2632000000.0,2685300000.0,660400000.0,2821100000.0,2811000000.0,2597400000.0,2404500000.0,2361800000.0,2197700000.0,2290300000.0,1838600000.0,1461700000.0,1459900000.0,1409700000.0,1904700000.0,1286500000.0,1378400000.0,1316600000.0,1315500000.0,1273300000.0,1253700000.0,1112000000.0,889200000.0
,grossProfit,333100000.0,395100000.0,333500000.0,323800000.0,371200000.0,602800000.0,583300000.0,622700000.0,633200000.0,671600000.0,611800000.0,621000000.0,761000000.0,864400000.0,156900000.0,737300000.0,686300000.0,661600000.0,767800000.0,773600000.0,806100000.0,1153500000.0,907600000.0,737000000.0,696500000.0,675200000.0,848000000.0,578500000.0,533600000.0,512100000.0,549800000.0,559400000.0,537000000.0,496700000.0,405800000.0
,grossProfitRatio,0.355534208560145,0.380599171563433,0.341946067876551,0.362354521038496,0.300688537869583,0.249090909090909,0.231900767304099,0.228942240523549,0.241780900378021,0.234866235355831,0.221153846153846,0.223381294964029,0.22428529325081,0.243513536355185,0.191973571515967,0.207199865107914,0.19623709718926,0.203007057379564,0.242032594647417,0.246730879632583,0.268360077235502,0.334949764794704,0.330493044934819,0.335198071587756,0.322992023743276,0.323852462947863,0.308061176299633,0.310187667560322,0.27907949790795,0.280034997539235,0.294751514501689,0.305232716756698,0.299882727425029,0.308758624976689,0.313359073359073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,163300000.0,174300000.0,159000000.0,135700000.0,225200000.0,447200000.0,398500000.0,443700000.0,418300000.0,478300000.0,531300000.0,552400000.0,579900000.0,613500000.0,144000000.0,654300000.0,633400000.0,603100000.0,624900000.0,596200000.0,546300000.0,683000000.0,522000000.0,385300000.0,413200000.0,397100000.0,514800000.0,347800000.0,296900000.0,341100000.0,340600000.0,303800000.0,309000000.0,288800000.0,240300000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-357700000.0,17200000.0,28600000.0,2400000.0,200000.0,-600000.0,-2000000.0,200000.0,-200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,163300000.0,174300000.0,159000000.0,135700000.0,225200000.0,447200000.0,398500000.0,443700000.0,418300000.0,423400000.0,486300000.0,512400000.0,523900000.0,568200000.0,138700000.0,615000000.0,698500000.0,654000000.0,626800000.0,628000000.0,588200000.0,709900000.0,607300000.0,385300000.0,413200000.0,397100000.0,514800000.0,347800000.0,296900000.0,341100000.0,340600000.0,303800000.0,309000000.0,288800000.0,240300000.0
,costAndExpenses,767100000.0,817300000.0,800800000.0,705500000.0,1088500000.0,2264400000.0,2330500000.0,2540900000.0,2404000000.0,2611300000.0,2640900000.0,2671400000.0,3155900000.0,3253500000.0,799100000.0,3436100000.0,3509500000.0,3251400000.0,3031300000.0,2989800000.0,2785900000.0,3000200000.0,2445900000.0,1847000000.0,1873100000.0,1806800000.0,2419500000.0,1634300000.0,1675300000.0,1657700000.0,1656100000.0,1577100000.0,1562700000.0,1400800000.0,1129500000.0
