date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,5318763000.0,4450832000.0,4454662000.0,4757208000.0,4973076000.0,4920472000.0,4492309000.0,4175672000.0,4111471000.0,3716317000.0,3199210000.0,5151966000.0,5660286000.0,4628358000.0,3042839000.0,1733477000.0,1842315000.0,1374103000.0,1085041000.0,1553396000.0,1105660000.0,1019500000.0,1035900000.0,1324500000.0,1270300000.0,1101100000.0,1012000000.0,1100100000.0,1070900000.0,991900000.0,1011300000.0,897600000.0,848900000.0,741400000.0,801500000.0,810100000.0
,costOfRevenue,4832610000.0,4209060000.0,4000209000.0,4302803000.0,4515886000.0,4564219000.0,3986867000.0,3708768000.0,3696339000.0,3320976000.0,2861362000.0,4763919000.0,5327056000.0,4379464000.0,2873444000.0,1663773000.0,1748933000.0,1303851000.0,1026391000.0,1495834000.0,1051137000.0,965600000.0,983300000.0,1273700000.0,1213200000.0,1083400000.0,957300000.0,1043800000.0,1042400000.0,923900000.0,964600000.0,820200000.0,785400000.0,677100000.0,743900000.0,768700000.0
,grossProfit,486153000.0,241772000.0,454453000.0,454405000.0,457190000.0,356253000.0,505442000.0,466904000.0,415132000.0,395341000.0,337848000.0,388047000.0,333230000.0,248894000.0,169395000.0,69704000.0,93382000.0,70252000.0,58650000.0,57562000.0,54523000.0,53900000.0,52600000.0,50800000.0,57100000.0,17700000.0,54700000.0,56300000.0,28500000.0,68000000.0,46700000.0,77400000.0,63500000.0,64300000.0,57600000.0,41400000.0
,grossProfitRatio,0.0914033958647904,0.0543206303900035,0.102017392116394,0.0955192625590472,0.0919330410393889,0.0724022004393075,0.112512741220606,0.111815295837413,0.100969215154381,0.106379784071165,0.105603570881561,0.0753201787434156,0.0588715835206914,0.053775874727063,0.0556700502392667,0.0402105133209151,0.0506873146014661,0.051125716194492,0.0540532569736996,0.0370555865986522,0.0493126277517501,0.0528690534575772,0.0507771020368761,0.0383540958852397,0.0449500118082343,0.0160748342566524,0.0540513833992095,0.051177165712208,0.0266131291437109,0.0685552979130961,0.0461781864926332,0.0862299465240642,0.0748026858287195,0.0867278122471001,0.0718652526512789,0.0511048018763116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,223809000.0,226916000.0,262577000.0,274928000.0,255270000.0,250840000.0,263752000.0,263082000.0,260369000.0,0.0,165536000.0,176504000.0,133998000.0,0.0,0.0,0.0,0.0,0.0,0.0,28061000.0,24977000.0,26600000.0,28800000.0,30600000.0,113900000.0,37300000.0,43000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-11853000.0,6667000.0,4256000.0,43882000.0,6977000.0,12453000.0,-3873000.0,2385000.0,1475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
