Date,2018-12,2017-12,2016-12,2015-12,2014-12
Revenue,7699000000.0,5744000000.0,4264000000.0,4443000000.0,3478000000.0
Revenue Growth,,,,,
Cost of Revenue,6585000000.0,4362000000.0,3016000000.0,3245000000.0,2773000000.0
Gross Profit,1114000000.0,1382000000.0,1248000000.0,1197000000.0,706000000.0
R&D Expenses,,,,,
SG&A Expense,,,,,
Operating Expenses,584000000.0,669000000.0,623000000.0,520000000.0,375000000.0
Operating Income,530000000.0,714000000.0,625000000.0,678000000.0,331000000.0
Interest Expense,177000000.0,187000000.0,136000000.0,102000000.0,50000000.0
Earnings before Tax,,,,,
Income Tax Expense,-2000000.0,-24000000.0,1000000.0,-0000000.0,22000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,-28000000.0,161000000.0,-565000000.0,-1378000000.0,181000000.0
Preferred Dividends,,,,,
Net Income Com,-28000000.0,161000000.0,-565000000.0,-1378000000.0,181000000.0
EPS,-0.01,0.05,-1.99,-0.05,0.59
EPS Diluted,-0.01,0.05,-1.99,-0.05,0.59
Weighted Average Shs Out,351000000.0,347000000.0,333000000.0,307000000.0,233000000.0
Weighted Average Shs Out (Dil),351000000.0,348000000.0,333000000.0,307000000.0,233000000.0
Dividend per Share,,,,,
Gross Margin,0.14469411611898,0.24059888579387,0.29268292682927,0.2694125590817,0.20299022426682
EBITDA Margin,0.097934796726848,0.15024373259053,0.015947467166979,-0.20009002925951,0.19091431857389
EBIT Margin,0.019093388751786,0.056406685236769,-0.10037523452158,-0.2871933378348,0.072742955721679
Profit Margin,-0.0036368359527211,0.028029247910864,-0.13250469043152,-0.31015079900968,0.052041403105233
Free Cash Flow margin,,,,,
EBITDA,754000000.0,863000000.0,68000000.0,-889000000.0,664000000.0
EBIT,147000000,324000000,-428000000,-1276000000,253000000
Consolidated Income,-28000000.0,161000000.0,-565000000.0,-1378000000.0,181000000.0
Earnings Before Tax Margin,0,0,0,0,0
Net Profit Margin,-0.0036368359527211,0.028029247910864,-0.13250469043152,-0.31015079900968,0.052041403105233
